,Ever,Swifty2400,theRealpoBBpC,Stephen Hagan,Chris Clemens,rob_bot13,sti,JasterRogue7
14,Brainstorm,Badlands,Mystic Sanctuary,Spell Queller,Dispel,Mana Leak,Brazen Borrower,Collector Ouphe
15,Arcane Denial,"Dovin, Hand of Control",Meddling Mage,Paradoxical Outcome,Simian Spirit Guide,"Otawara, Soaring City",Abrade,"Boseiju, Who Endures"
16,Baleful Strix,Prismatic Ending,Mulldrifter,Winter Orb,Blightsteel Colossus,Dark Confidant,Ledger Shredder,Destiny Spinner
17,Vendilion Clique,Opposition Agent,Palace Jailer,Council's Judgment,Sneak Attack,Flusterstorm,Consider,Noble Hierarch
18,Birds of Paradise,Containment Priest,Peregrine Drake,Stoneforge Mystic,Prismari Command,Thought Scour,Shelldock Isle,Ignoble Hierarch
19,True-Name Nemesis,"Valki, God of Lies",Archaeomancer,"Teferi, Hero of Dominaria",Show and Tell,Demonic Consultation,Wasteland,Crucible of Worlds
20,Liliana of the Veil,Mycosynth Lattice,Soulherder,Karakas,Griselbrand,Opt,Mental Note,Crop Rotation
21,Reanimate,Rest in Peace,Cloud of Faeries,Cryptic Command,City of Traitors,Cavern of Souls,Chain Lightning,Taiga
22,Watery Grave,Bitterblossom,Standstill,March of Otherworldly Light,Defense Grid,Malevolent Hermit,Dress Down,Savannah
23,Questing Beast,Skullclamp,Chart a Course,Gush,Miscalculation,Pact of Negation,Miscast,"Laelia, the Blade Reforged"
24,Force of Vigor,Damn,Swan Song,Hallowed Fountain,An Offer You Can't Refuse,Muddle the Mixture,Subtlety,Goblin Rabblemaster
25,Hexdrinker,Godless Shrine,Seachrome Coast,"Karn, Scion of Urza",Steam Vents,Steel Sabotage,Fiery Islet,Bloodbraid Elf
26,Green Sun's Zenith,Fracture,Adarkar Wastes,"Teferi, Who Slows the Sunset",Izzet Signet,Sudden Edict,Spirebluff Canal,"Thalia, Guardian of Thraben"
27,Abrupt Decay,Blood Crypt,Nimbus Maze,Pentad Prism,Talisman of Creativity,Chain of Vapor,Dreadhorde Arcanist,Voice of Resurgence
28,Blue Elemental Blast,Faithless Looting,Irrigated Farmland,Settle the Wreckage,Riverglide Pathway,Lurrus of the Dream-Den,Shivan Reef,Aether Vial
29,Hydroblast,Young Pyromancer,Talisman of Progress,Batterskull,Through the Breach,Darkslick Shores,Umezawa's Jitte,Scavenging Ooze
30,Creeping Tar PIt,Lingering Souls,Tribute Mage,The Wandering Emperor,Sundering Titan,Urza's Bauble,Negate,Survival of the Fittest
31,Drown in the Loch,"Elspeth, Knight-Errant",Sapphire Medallion,Kaldra Compleat,Overmaster,Clearwater Pathway,Bonecrusher Giant,Grove of the Burnwillows
32,"Lutri, the Spellchaser",Savai Triome,Pearl Medallion,Moonsnare Prototype,Seat of the Synod,Underground River,Sprite Dragon,Punishing Fire
33,Fallen Shinobi,Kolaghan's Command,"Yorion, Sky Nomad",Back to Basics,Great Furnace,Shipwreck Marsh,Ethereal Forager,Ramunap Excavator
34,Nurturing Peatland,Cabal Therapy,Braingeyser,Power Artifact,Silverbluff Bridge,Night's Whisper,Grim Lavamancer,Ajani Vengeant
35,Outland Liberator,Authority of the Consuls,Reveillark,Blind Obedience,Fiery Confluence,Court of Cunning,Shattering Spree,Knight of the Reliquary
36,Baleful Mastery,Bedevil,Snap,Frantic Search,Pyroclasm,Energy Flux,Serum Visions,Ancient Grudge
37,Mindbreak Trap,Toxic Deluge,Salvager of Secrets,Lion Sash,Pyrokinesis,Manifold Key,Smash to Smithereens,Jetmir's Garden
38,Dread Fugue,Torpor Orb,Stormscape Familiar,Chill,Worldspine Wurm,River of Tears,Expressive Iteration,Horizon Canopy
39,Overgrown Tomb,"Chandra, Torch of Defiance",Sunscape Familiar,Aether Gust,Anger of the Gods,Hope of Ghirapur,Thieving Skydiver,"Domri, Anarch of Bolas"
40,"Leovold, Emissary of Trest",The Elderspell,Charming Prince,Prairie Stream,Inkwell Leviathan,Temple of Deceit,Annul,Goblin Anarchomancer
41,"Uro, Titan of Nature's Wrath",Humility,Eerie Interlude,Flashfreeze,Misdirection,Careful Study,Blood Moon,Carpet of Flowers
42,Assassin's Trophy,Court of Grace,Displace,Deserted Beach,Intuition,City of Brass,Vapor Snag,Seasoned Pyromancer
43,Breeding Pool,Plateau,Sea Gate Oracle,Hallowed Moonlight,Izzet Charm,Mana Confluence,Frostboil Snarl,Stomping Ground
44,Snuff Out,Wear // Tear,Disenchant,Trickbind,Mishra's Bauble,Doomsday,Stifle,Natural State
45,Agonizing Remorse,Murderous Rider,Azorius Charm,Supreme Verdict,Fable of the Mirror-Breaker,Tainted Pact,Tasha's Hideous Laughter,Elvish Reclaimer
46,Liliana's Triumph,Malakir Rebirth,Momentary Blink,Stasis,Trinisphere,Fetid Pools,Ensnaring Bridge,"Nahiri, the Harbinger"
