,John Milsip,Stefan Bard,Liam Coughlan,Brett Frankson,Pat Berdusco,Blake Hodson,Serge Yager,Nick Picard
27,Disfigure,Creeping Tar pit,Worldly Tutor,Diabolic Edict,Qasali Pridemage,Ajani Vengeant,Ravenous Trap,Gigadrowse
28,Snuff Out,Go for the Throat,Cunning Wish,Ulcerate,Green Sun's Zenith,Spirit of the Labyrinth,Ghost Quarter,Muddle the Mixture
29,Ill-Gotten Gains,Annul,Peer Through Depths,Shriekmaw,Dryad Arbor,Lightning Helix,Zuran Orb,Hurkyl's Recall
30,Chalice of the Void,Batterskull,Merchant Scroll,Gatekeeper of Malakir,Vapor Snag,Boil,Crop Rotation,TIME SPIRAL
31,Night of Souls' Betrayal,Disrupting Shoal,Wipe Away,Sinkhole,Glen Elendra Archmage,Boros Charm,Serum Powder,Balance
32,Memory Jar,Delver of Secrets // Insectile Aberration,Summoner's Pact,Gravecrawler,Restoration Angel,Torch Fiend,"Oboro, Palace In the Clouds",Relic of Progenitus
33,Badlands,Dig Through Time,Taiga,Bloodghast,Sword of Fire and Ice,Monastery Swiftspear,Glacial Chasm,Transmute Artifact
34,Wheel of Fortune,Adarkar Wastes,Blighted Agent,Desecration Demon,Sword of Light and Shadow,Manic Vandal,Hedron Crab,Upheaval
35,Seething Song,Underground River,Viscera Seer,Geth's Verdict,Spellstutter Sprite,Hellspark Elemental,The Tabernacle at Pendrell Vale,Treachery
36,Past in Flames,Serum Visions,Kitchen Finks,Tormented Hero,Yavimaya Coast,Ankh of Mishra,Timetwister,Snap
37,Manamorphose,Timely Reinforcements,"Melira, Sylvok Outcast",Hatred,Birthing Pod,Shattering Spree,Trade Routes,Thirst for Knowledge
38,Dragonskull Summit,Lingering Souls,Pestermite,Chains of Mephistopheles,Brushland,Clifftop Retreat,Flagstones of Trokair,Talisman of Progress
39,Desperate Ritual,Shadow of Doubt,Splinter Twin,Culling the Weak,Faerie Conclave,Ash Zealot,Bazaar of Baghdad,Seachrome Coast
40,Rite of Flame,Sword of Feast and Famine,Deceiver Exarch,Phyrexian Obliterator,Thragtusk,Flame Javelin,Life From the Loam,Azorius Signet
41,Blood Crypt,Sword of War and Peace,"Ulamog, the Infinite Gyre",Nether Void,Geist of Saint Traft,Fireblast,Exploration,Pentad Prism
42,Empty the Warrens,Ultimate Price,"Elesh Norn, Grand Cenobite",Diregraf Ghoul,Treetop Village,Flames of the Blood Hand,Archive Trap,Blightsteel Colossus
43,Pyretic Ritual,Shadowmage Infiltrator,Stronghold Gambit,Gnarled Scarhide,Judge's Familiar,Magus of the Moon,Notion Thief,Seat of the Synod
44,Infernal Tutor,Circle of Protection: Black,Blazing Shoal,Carnophage,"Venser, the Sojourner",Grim Lavamancer,Altar of the Brood,Vault of Whispers
45,Faerie Macabre,Chain of Vapor,Twinflame,Sarcomancy,Viridian Shaman,Lurking Automaton,Mesmeric Orb,Ancient Den
