,Mike,Cecile,Theo,George,John,Thommy,Charles,Maggie
12,Hagra Mauling // Hagra Broodpit,Vendilion Clique,Cryptic Command,"Jace, Vryn's Prodigy // Jace, Telepath Unbound",Abrupt Decay,Balance,Thorn of Amethyst,Simic Signet
13,Jwari Disruption // Jwari Ruins,Tropical Island,"Chandra, Torch of Defiance",Gitaxian Probe,Sylvan Library,City of Brass,Sphere of Resistance,Foundry Inspector
14,Baleful Strix,"Venser, Shaper Savant",Fact or Fiction,Mental Misstep,Red Elemental Blast,Mana Confluence,"Thalia, Guardian of Thraben",Gilded Lotus
15,"Lutri, the Spellchaser",Birds of Paradise,Steam Vents,Underworld Breach,Inquisition of Kozilek,Crucible of Worlds,Chalice of the Void,Thran Dynamo
16,"Ashiok, Dream Render",Thief of Sanity,Izzet Charm,Lotus Petal,Wooded Foothills,Bloodstained Mire,Palace Jailer,Upheaval
17,Brain Freeze,Windswept Heath,Abrade,Arid Mesa,Nurturing Peatland,Goblin Engineer,"Karn, Scion of Urza",Trinisphere
18,Tundra,Brazen Borrower // Petty Theft,Splinter Twin,Fiery Islet,Tarmogoyf,Wheel of Fortune,Containment Priest,Sensei's Divining Top
19,Path to Exile,Green Sun's Zenith,Deceiver Exarch,Gush,Ancient Grudge,Lion's Eye Diamond,Grafdigger's Cage,Winter Orb
20,Toxic Deluge,Reclamation Sage,Pestermite,Hallowed Fountain,Scavenging Ooze,Tendrils of Agony,Oblivion Ring,Metalworker
21,Brainstorm,Collector Ouphe,Fiery Confluence,Energy Flux,Murderous Rider // Swift End,Voltaic Key,Thought-Knot Seer,Mox Opal
22,"Teferi, Hero of Dominaria",Fallen Shinobi,Rakdos Signet,"Teferi, Time Raveler",Manglehorn,Manamorphose,Ghost Quarter,Thirst for Knowledge
23,Bribery,Trygon Predator,Boros Signet,Spirebluff Canal,Badlands,Scrubland,Reality Smasher,Tezzeret the Seeker
24,Ceremonious Rejection,Breeding Pool,Sulfur Falls,Young Pyromancer,Force of Vigor,Horizon Canopy,Ethersworn Canonist,Mystic Forge
25,Stony Silence,Noble Hierarch,Coalition Relic,Mystic Remora,Eternal Witness,Regrowth,Skyclave Apparition,Mystical Dispute
26,Damnation,Sorcerous Spyglass,Pact of Negation,Daze,Dismember,Carpet of Flowers,Deafening Silence,Negate
27,Leyline of the Void,"Uro, Titan of Nature's Wrath",By Force,Irrigated Farmland,Infernal Reckoning,Plateau,Eldrazi Displacer,"Emry, Lurker of the Loch"
28,Thought Scour,True-Name Nemesis,Sweltering Suns,Prairie Stream,Kolaghan's Command,Dark Petition,Adarkar Wastes,Memory Jar
29,Mission Briefing,Survival of the Fittest,Dispel,Steel Sabotage,Tireless Tracker,Wishclaw Talisman,Spirit of the Labyrinth,"Urza, Lord High Artificer"
30,Fractured Identity,Waterlogged Grove,Glen Elendra Archmage,Dreadhorde Arcanist,Hexdrinker,Faithless Looting,Aven Mindcensor,"Ulamog, the Ceaseless Hunger"
31,Ravenous Trap,Questing Beast,Dig Through Time,Shattering Spree,Liliana's Triumph,Animate Dead,Vryn Wingmare,Timetwister
32,Ruin Crab,Arbor Elf,Archmage's Charm,Miscalculation,"Liliana, the Last Hope",Unmask,Flickerwisp,Ensnaring Bridge
33,Hedron Crab,Once Upon a Time,Vandalblast,Fragmentize,Wrenn and Six,Taiga,Archon of Emeria,Painter's Servant
34,Nephalia Drownyard,Liquimetal Coating,Torrential Gearhulk,Mystic Sanctuary,Stomping Ground,Collective Brutality,Rishadan Port,Grindstone
35,Breaking // Entering,Courser of Kruphix,Sublime Epiphany,Repeal,"Kroxa, Titan of Death's Hunger",Xantid Swarm,Wastes,Transmute Artifact
36,Maddening Cacophony,Mycosynth Lattice,Merchant Scroll,Flame Slash,Blooming Marsh,Llanowar Wastes,Leonin Relic-Warder,Inventors' Fair
37,Glimpse the Unthinkable,Gilded Goose,Inkwell Leviathan,"Kozilek, Butcher of Truth",Gaea's Blessing,Rain of Filth,Talisman of Progress,Mindslaver
38,Ipnu Rivulet,Zagoth Triome,Vedalken Shackles,Raugrin Triome,Grim Flayer,Infernal Tutor,Eldrazi Temple,Seat of the Synod
39,"Oboro, Palace in the Clouds",Coiling Oracle,Zealous Conscripts,Sacred Foundry,Bloodbraid Elf,Indatha Triome,"Gideon, Ally of Zendikar",Sundering Titan
40,Serum Visions,Swan Song,Inferno Titan,Spell Snare,Plague Engineer,Disenchant,Shefet Dunes,Staff of Domination
41,"Jace, Memory Adept",Coercive Portal,Fire // Ice,"Jace, Wielder of Mysteries",Blood Crypt,Mana Tithe,Endbringer,Basalt Monolith
42,Startled Awake // Persistent Nightmare,Mystic Snake,Counterflux,Subterranean Tremors,Elves of Deep Shadow,"Ulamog, The Infinite Gyre",Forsake the Worldly,Power Artifact
43,Mind Funeral,Dryad Arbor,Witchbane Orb,Burst Lightning,Mountain Valley,Shallow Grave,Mother of Runes,Academy Ruins
44,Archive Trap,"Thrun, the Last Troll",Wandering Fumarole,Hydroblast,Cindervines,Zuran Orb,Cataclysm,Defense Grid
45,Anguished Unmaking,Sword of Fire and Ice,Fabled Passage,"Mu Yanling, Sky Dancer",Raging Ravine,Nature's Claim,Force of Virtue,Kuldotha Forgemaster
