,sti,RagingLevine,Talanthalos,Hyphen-ated,Ever,Tunalip,DedZeppelin,Rosa
32,Auriok Salvagers,Drannith Magistrate,Watery Grave,Mycosynth Lattice,Lake of the Dead,Blood Moon,Robber of the Rich,Chains of Mephistopheles
33,Omniscience,Esper Sentinel,Spellskite,Retrofitter Foundry,Baleful Mastery,Fire // Ice,Bedlam Reveler,"Yavimaya, Cradle of Growth"
34,Vineglimmer Snarl,Malevolent Hermit // Benevolent Geist,Spell Snare,"Kinnan, Bonder Prodigy",Cruel Bargain,Expressive Iteration,Lava Spike,"Vraska, Golgari Queen"
35,Hydroblast,Steel Sabotage,Diabolic Edict,Urza's Bauble,Eliminate,Izzet Charm,Boros Charm,Return to Nature
36,Hurkyl's Recall,Jace's Defeat,Vines of Vastwood,Mishra's Bauble,Specter's Shriek,Prismari Command,Inspiring Vantage,Life Goes On
37,Misdirection,Path to Exile,Scale Up,"Emry, Lurker of the Loch",Infernal Reckoning,Weather the Storm,Rift Bolt,"Davriel, Rogue Shadowmage"
38,Temple Garden,Muddle the Mixture,Groundswell,Lodestone Golem,Sudden Death,Pestermite,Roiling Vortex,Blooming Marsh
39,Time Spiral,Kor Firewalker,Ichorclaw Myr,Rings of Brighthearth,Wishclaw Talisman,Deceiver Exarch,Lightning Strike,Darkbore Pathway // Slitherbore Pathway
40,Frantic Search,"Kataki, War's Wage",Necropede,Tanglepool Bridge,Distress,Splinter Twin,Searing Spear,Witherbloom Command
41,Compost,Orim's Chant,Blossoming Defense,Metalworker,Moment of Craving,"Kiki-Jiki, Mirror Breaker",Guttural Response,Sporeweb Weaver
42,Carpet of Flowers,Circle of Protection: Red,Pendelhaven,Staff of domination,Spinning Darkness,Isochron Scepter,Boiling Seas,Hexdrinker
43,Enlightened Tutor,"Lavinia, Azorius Renegade",Phyrexian Crusader,Inventors' Fair,Sadistic Sacrament,Thassa's Oracle,Lava Dart,Grim Flayer
44,Solitary Confinement,Murktide Regent,Force of Vigor,Goblin Cannon,"Kaervek, the Spiteful",Cascade Bluffs,Battlefield Forge,Null Rod
