,Kyle Vance,Nemo Baize,Coty Gunnett,Eric Levine,Mason Lange,Brandon Curry,“Jago” Sheehan-Jago,Kevin Freeman
18,Transmute Artifact,Veil of Summer,Brain Freeze,"Ugin, the Ineffable",Eternal Witness,Sylvan Library,Sacred Foundry,Pithing Needle
19,Memory Jar,Creeping Corrosion,Infernal Tutor,Aven Mindcensor,Once Upon a Time,Mental Misstep,Steam Vents,Spellskite
20,Mindslaver,Nurturing Peatland,Dualcaster mage,Cavern of Souls,"Leovold, Emissary of Trest",Spell Pierce,Snapcaster Mage,Grafdigger's Cage
21,Rhystic Study,Dance of the Dead,Chaos Warp,Containment Priest,Time Spiral,Counterspell,Smash to Smithereens,Tormod's Crypt
22,Repeal,"Urborg, Tomb of Yawgmoth",Toxic Deluge,Spirit of the Labyrinth,Dryad Arbor,Brainstorm,Boros Charm,Damping Sphere
23,Tezzeret the Seeker,Commune with the Gods,Preordain,"Kataki, War's Wage",Dryad of the Ilysian Grove,Monastery Mentor,Goblin Guide,Hangarback Walker
24,Upheaval,Reanimate,Drowned Catacomb,Trinisphere,"Azusa, Lost but Seeking",Breeding Pool,Fury,Thought Monitor
25,"Padeem, Consul of Innovation",Unmarked Grave,Sulfur Falls,Dismember,Vesuva,Pentad Prism,Chain Lightning,Ancient Den
26,"Ashiok, Dream Render",Abrupt Decay,Nihil Spellbomb,"Thalia, Heretic Cathar",Amulet of Vigor,Karakas,Goblin Rabblemaster,Frogmite
27,Sorcerous Spyglass,Assassin's Trophy,Voltaic Key,Abolish,Trinket Mage,Birds of Paradise,Fiery Confluence,Ornithopter
28,Welding Jar,Xantid Swarm,Expressive Iteration,Adarkar Wastes,Relic of Progenitus,Noble Hierarch,Fireblast,Memnite
29,Aether Spellbomb,Reverent Silence,Brazen Borrower // Petty Theft,Brushland,Primeval Titan,"Nissa, Who Shakes the World",Mutagenic Growth,Darksteel Citadel
30,Torpor Orb,Worldgorger Dragon,Shatterstorm,Caves of Koilos,"Valakut, the Molten Pinnacle","Yavimaya, Cradle of Growth",By Force,Razortide Bridge
31,Whir of Invention,Goblin Dark-Dwellers,Remand,Battlefield Forge,Lotus Cobra,nature's claim,Lightning Helix,Mishra's Bauble
32,Tribute Mage,Bitter Ordeal,Drown in sorrow,Skyclave Apparition,Zuran Orb,Manglehorn,Shattering Spree,Dispatch
33,Cyclonic Rift,Massacre Wurm,Fatal push,Reality Smasher,Summoner's Pact,Leyline of the Void,Skewer the Critics,Mycosynth Golem
34,Blue Elemental Blast,Gemstone Mine,Lotus Bloom,Lodestone Golem,Zagoth Triome,Helm of Obedience,Lava Spike,Stonecoil Serpent
35,Witchbane Orb,Mana Confluence,Intuition,Fragmentize,Bane of Progress,Mycosynth Lattice,Vexing Devil,Myr Enforcer
36,Rise and Shine,Dauthi Voidwalker,Twinflame,Eldrazi Displacer,Endurance,Winter Orb,Faithless Looting,Sojourner's Companion
37,Buried Ruin,Archon of Cruelty,Cascade Bluffs,Celestial Purge,Simic Growth Chamber,Tangle wire,Light Up the Stage,Power Depot
38,Ghoulcaller's Bell,Twilight Mire,Agonizing Remorse,Thorn of Amethyst,Tolaria West,Karn Liberated,Shrine of Burning Rage,All That Glitters
39,Lantern of Insight,Surgical Extraction,Meekstone,Matter Reshaper,Ancient Stirrings,Ancestral Vision,Deflecting Palm,Signal Pest
40,Pyxis of Pandemonium,Forbidden Orchard,Sunken Ruins,Timely Reinforcements,Blast Zone,Oath of Nissa,Skullcrack,The Ozolith
41,Subtlety,Reflecting Pool,Sedgemoor Witch,Endbringer,Crop Rotation,Chalice of the Void,Blood Moon,Second Sunrise
42,Bottled Cloister,"Iona, Shield of Emeria",Abrade,Eldrazi Mimic,The Tabernacle at Pendrell Vale,Settle the Wreckage,Rift bolt,Rally the Ancestors
43,Trading Post,Natural State,Pact of negation,Endless One,Bojuka Bog,Spell Queller,Embereth Shieldbreaker // Battle Display,Built to Last
44,Codex Shredder,"Sidisi, Undead Vizier",Chain of vapor,Umezawa's Jitte,Gruul Turf,"Elspeth, Sun's champion",Shard Volley,Steel Overseer
45,Suspend,Damnable Pact,Pyroclasm,Eldrazi Temple,"Hanweir Battlements // Hanweir, the Writhing Township",Land Tax,Barbarian Ring,Thrumming Stone
46,Elixir of Immortality,Blooming Marsh,Opposition Agent,Gideon of the Trials,Tireless Tracker,"Dovin, Hand of Control",Ramunap Ruins,Relentless Rats
