,Tom,Bill,Garry,Andy,Georg,Cinderella,Haakon,Jonas
,Ornithopter,Council's Judgement,Beseech the Queen,Porphyry Nodes,"Leovold, Emissary of Trest",Watery grave,Stomping Ground,Recruiter of the Guard
,Frogmite,Karakas ,Lotus Bloom,Back to Basics,Academy Ruins,Entomb,"Boseiju, who Shelters All",Scrubland
,Myr Enforcer,Field of Ruin ,Cabal Coffers,Damping Sphere,Trinket Mage,Badlands,Simian Spirit Guide,Leonin Relic-Warder
,Great Furnace,Treachery,Ratchet Bomb,Rest in Peace,Seat of the Synod,Animate Dead,Sphere of Resistance,Spirit of the Labyrinth
,Darksteel Citadel,Bribery,The Abyss,Mystic Remora,Mana confluence,Inkwell Leviathan,By Force,Diabolic Edict
,The Antiquities War,Prairie Stream ,Toxic Deluge,Capsize,Paradoxical Outcome,Ancestral Vision,Worldspine Wurm,Hostage Taker
,Tree of Tales,Celestial Colonnade ,Dark Petition,Eidolon of Rethoric,Grindstone,Collective Brutality,Tormod's Crypt,Tidehollow Sculler
,Vault of Whispers,Celestial Purge ,Fatal Push,Grafdigger's Cage,City of brass,Forbid,Leyline of the Void,Liliana of the Veil
,Ancient Den,Glacial Fortress ,Culling the Weak,Commit//Memory,Breeding Pool,Chain of Vapor,Leyline of Sanctity,Geist of Saint Traft
,Glimmervoid,Batterskull,Crypt Ghast,Stoneforge Mystic,Yavimaya Coast,Exhume,Shattering Spree,"Kambal, Consul of Allocations"
,Spire of Industry,Phyrexian Metamorph ,Sadistic Sacrament,Shadow of Doubt,Orim's Chant,"Elesh Norn, Grand Cenobite",Helm of Obedience,Vindicate
,"Traxos, Scourge of Kroog",Disenchant ,Hope of Ghirapur,Nexus of Fate,"Padeem, Consul of Innovation",Necromancy,Gamble,Anguished Unmaking
,Cavern of Souls,Seachrome Coast ,Phyrexian Arena,Mana Tithe,Muddle the Mixture,Abrade,Hinterland Harbor,Countersquall
,Metallic Rebuke,Logic Knot ,Blood Pet,Rule of Law,Botanical Sanctum,Bane of Progress,Progenitus,Notion Thief
,Ray of Revelation,Ethersworn Canonist ,Basal Thrull,Arcane Laboratory,Spellskite,Sire of Insanity,Surgical Extraction,Serenity
,Natural State,Wrath of God,Peat Bog,Angel's Grace,Upheaval,Thirst for Knowledge,Tormenting Voice,Annul
,Thorn of Amethyst,"Elspeth, Sun's Champion",Hypnotic Specter,Ceremonious Rejection,Nature’s Claim,Grave Titan,Cathartic Reunion,Bayou
,Sulfuric Vortex,"Venser, Shaper Savant ",Underworld Dreams,Blessed Alliance,Xantid Swarm,Repeal,Invasive Surgery,Fracturing Gust
,Pyrostatic Pillar,Oust,Consume Spirit,Winter Orb,Sundering Titan,Ashen Rider,Spirebluff Canal,Curse of Exhaustion
,Welding Jar,Hydroblast ,Ad Nauseam,Chalice of the Void,Argivian Restoration,Careful Study,Gemstone Mine,Lingering Souls
,"Tezzeret, Agent of Bolas",Shelldock Isle,Drain Life,Plateau,Chromatic star,"Jin-Gitaxias, Core Augur",Flash,Fractured Identity
