,S.Mc.,Z.C.,R.R.,Hyphen-ated,R.P.,C.A.,S.J.,J.M.
23,Rest in Peace,Sylvan Caryatid,Leyline of Sanctity,"Iona, Shield of Emeria",Gatekeeper of Malakir,Spellskite,Lightning Bolt,Spellseeker
24,Monastery Mentor,Green Sun's Zenith,Karmic Justice,Glacial Fortress,Vampire Hexmage,Sorcerous Spyglass,Through the Breach,Eladamri's Call
25,Young Pyromancer,Acidic Slime,Leyline of the Void,Unburial Rites,Bloodghast,Phyrexian Revoker,Into the Roil,Flooded Grove
26,Humility,Reclamation Sage,Forbidden Orchard,Mystic Gate,Phyrexian Obliterator,Phyrexian Metamorph,Pestermite,Mycosynth Lattice
27,Prairie Stream,Deranged Hermit,Tidespout Tyrant,Adarkar Wastes,Cabal Therapy,Spire of Industry,Izzet Signet,Seat of the Synod
28,Detention Sphere,Lotus Cobra,Idyllic Tutor,"Search for Azcanta // Azcanta, the Sunken Ruin",Dragonskull Summit,Glimmervoid,Hurkyl's Recall,Botanical Sanctum
29,Ensnaring Bridge,Oracle of Mul Daya,Oblivion Ring,Karakas,Cabal Coffers,Great Furnace,Repeal,Gemstone Mine
30,Plateau,Breeding Pool,Words of Waste,Shelldock Isle,Torment of Hailfire,Vault of Whispers,Zealous Conscripts,Yavimaya Coast
31,Oath of Teferi,Carnage Tyrant,Ashen Rider,Celestial Colonnade,Blackcleave Cliffs,Goblin Welder,Splinter Twin,Trinket Mage
32,Gideon Jura,Lightning Greaves,Bazaar of Baghdad,Cast Out,Blood Crypt,Platinum Angel,Supreme Will,Expedition Map
33,Flood Plain,Chalice of the Void,Starfield of Nyx,Mystic Confluence,Sinkhole,Darksteel Citadel,Ceremonious Rejection,Conjurer's Bauble
34,Bad River,"Boseiju, Who Shelters All",Concordant Crossroads,Forbid,Victim of Night,Ensoul Artifact,Draining Whelk,Tree of Tales
35,Grasslands,Windfall,Aura of Silence,Opt,Necromancy,Lodestone Golem,Red Elemental Blast,Fragmentize
36,Seachrome Coast,Living Death,Vindicate,Peek,Puppeteer Clique,"Tezzeret, Artifice Master",Pyroblast,Nature's Claim
37,wear // tear,Ramunap Excavator,Sandsteppe Citadel,Boomerang,Pack Rat,Scrap Mastery,Shivan Reef,Bring to Light
38,Disenchant,"Thrun, the Last Troll",Maelstrom Pulse,Energy Flux,Gray Merchant of Asphodel,Krark-Clan Ironworks,Izzet Charm,Codex Shredder
39,Sacred Foundry,Manglehorn,City of Solitude,Talisman of Progress,Divest,Mana Confluence,Show and Tell,Autumn's Veil
40,Treasure Cruise,Survival of the Fittest,Phyrexian Arena,Wrath of God,Sadistic Sacrament,City of Brass,Worldspine Wurm,Aether Spellbomb
41,Deprive,Gaea's Cradle,Progenitus,Calciform Pools,Read the Bones,Darksteel Forge,Counterflux,Children of Korlis
42,Journey to Nowhere,Cavern of Souls,Abundance,Cyclonic Rift,Hypnotic Specter,Sundering Titan,Chart a Course,Manamorphose
43,Dispel,Back to Nature,"Nissa, Vital Force",Censor,Faerie Macabre,"Padeem, Consul of Innovation",Thing in The Ice // Awoken Horror,Sungrass Egg
44,Fracturing Gust,Heroic Intervention,Wooded Bastion,Cryptic Command,Crypt Ghast,Walking Ballista,Spirebluff Canal,Skycloud Egg
