,Harri J,Mongiello,Lewwwww,Omar,Maximus,Gedvilas,Luci,Chambers
66,Sulfur Vent,Flux,Sword of the Meek,Sharuum the Hegemon,Jilt,Land Grant,Loxodon Hierarch,Gilded Drake
67,Ancient Spring,Urza's Bauble,Squirrel Nest,Esper Charm,Magical Hack,Fiery Temper,Eladamri's Call,Imp's Mischief
68,Archaeological Dig,Mishra's Bauble,"Squee, Goblin Nabob",Mortify,Spire Golem,Chain Lightning,Living Wish,Seal of Primordium
69,Geothermal Crevice,Mana Severance,Cabal Therapy,Trickster Mage,Starstorm,Reverent Silence,Blood Moon,Augur of Skulls
70,Tormod's Crypt,Sphinx of Jwar Isle,Merfolk Looter,Flash of Insight,Submerge,Berserk,Magus of the Moon,Cabal Interrogator
71,Saprazzan Skerry,Serendib Djinn,Genesis,Ravenous Trap,Curfew,Invigorate,Golden Wish,Liliana Vess
72,Peat Bog,Wake Thrasher,Angel's Grace,Temple Bell,Coralhelm Commander,Treetop Village,World Queller,Sinkhole
73,Sandstone Needle,Goblin Charbelcher,Wargate,Deprive,Sapphire Medallion,Big Game Hunter,Cadaverous Bloom,Smother
74,Grapeshot,Meloku the Clouded Mirror,Aura Shards,Coffin Purge,Meltdown,Wild Mongrel,City of Solitude,Death Cloud
75,Ignite Memories,Calcite Snapper,Samurai of the Pale Curtain,Redirect,Repulse,Basking Rootwalla,Ring of Gix,Slaughter Pact
