,Chad,Dylan,Sam,Jeff,Stephen,Noah,Dan,Swifty
22,Force Spike,Xander's Lounge,Gravecrawler,Grand Abolisher,Seat of the Synod,Sylvan library,city of solitude,Abrade
23,Fiery Islet,Mystic Confluence,Contamination,Mystic Gate,Taiga,Punishing Fire,elvish mystic,Karakas
24,Young Pyromancer,Ketria Triome,Thespian's stage,Lurrus of the Dream-Den,Pentad Prism,Eldrazi Temple,llanowar elves,"Venser, Shaper Savant"
25,Goblin Electromancer,Memory Lapse,defense grid,Path to Exile,"Otawara, Soaring City",Once Upon a Time,glimpse of nature,Pithing Needle
26,Temple of Epiphany,Spirebluff Canal,grief,Spellstutter Sprite,Portal to Phyrexia,Fable of the Mirror-Breaker,collector ouphe,Stony Silence
27,Stormcarved Coast,Dismiss,malakir Rebirth,Glen Elendra Archmage,crop rotation,Trinisphere,fyndhorn elves,Phyrexian Metamorph
28,Third Path Iconoclast,Splinter Twin,unlicensed Hearse,Spell Queller,"Dovin, Hand of Control",Archon of Emeria,dryad arbor,Mana Confluence
29,Delver of Secrets,Deceiver Exarch,relentless dead,An Offer You Can't Refuse,Questing Beast,karplusan forest,reclamation sage,"Jace, Vryn's Prodigy"
30,Pongify,Pestermite,the Meathook Massacre,Enlightened Tutor,Thought Monitor,Bonecrusher Giant,beast within,Council's Judgment
31,Shattering Spree,Ledger Shredder,deathrite shaman,Aether Vial,Suspicious Stowaway,Haywire Mite,Natural order,Pyroclasm
32,Soul-Guide Lantern,Murktide Regent,Carrion feeder,Cephalid Illusionist,Dryad of the Ilysian Grove,Talisman of impulse,craterhoof behemoth,Torpor Orb
33,Serum Visions,Shelldock Isle,Nested Shambler,Dread Return,Dress Down,Wasteland,allosaurus shepherd,Supreme Verdict
34,Dragon's Rage Channeler,Memory Deluge,Murderous rider,Narcomoeba,Cemetery Prowler,Wrenn and Six,leaf-crowned visionary,"Teferi, Hero of Dominaria"
35,Fireblast,Shark Typhoon,Culling the weak,Nomads en-Kor,Malevolent Hermit,Stomping Ground,choke,Thought Scour
36,"Ashiok, Dream Render",Skred,diregraf Colossus,Laboratory Maniac,Tireless Tracker,Sacred Foundry,winter orb,Celestial Colonnade
37,Bomat Courier,Flame Slash,plague belcher,Cathar Commando,Active Volcano,Temple Garden,heroic intervention,Teferi's Protection
38,Expansion // Explosion,Fire // Ice,lion sash,Manifold Key,Aether Gust,Sword of Fire and Ice,acidic slime,Spara's Headquarters
39,Arcane Proxy,Snow-Covered Island,"ayara, first of Locthwain",Dovin's Veto,Fry,sorcerous spyglass,"Emrakul, the aeons torn","Karn, Scion of Urza"
40,Surgical Extraction,Castle Vantress,castle locthwain,Kayla's Reconstruction,The Mightstone and Weakstone,Mycosynth Lattice,spellseeker,Subtlety
41,Frostboil Snarl,Repeal,"Takenuma, Abandoned Mire",Fragmentize,"Teferi, Temporal Pilgrim","Jegantha, the Wellspring",priest of titania,Condescend
42,"Saheeli, Sublime Artificer",Day's Undoing,agadeem's Awakening,Serenity,Manglehorn,Liquimetal Coating,"freyalise, llanowar's fury",Triumph of Saint Katherine
43,Burst Lightning,Chain Lightning,Nurturing peatland,Rally the Ancestors,Waterlogged Grove,Abundant harvest,walking ballista,Kozilek's Return
44,Brineborn Cutthroat,"Kiki-Jiki, Mirror Breaker",tragic slip,Yuan-Ti Malison,Blightsteel Colossus,Brushland,worldly tutor,Authority of the Consuls
45,Opposition,Hall of Storm Giants,vampire Hexmage,Paradigm Shift,Flooded Grove,Relic of Progenitus,collected company,Jwari Disruption
46,"Rowan, Scholar of Sparks",Brotherhood's End,HatreD,Deputy of Detention,Cyclonic Rift,"Orvar, the All-Form",garruk wildspeaker,"Yasharn, Implacable Earth"
