,DrPeepeepoopooMD,Hyphen-ated,Joshua_Wiltse | L1,joed8004,sphagan,sti1983,masterplum,everbrink
33,Tangle Wire,Hydroblast,Spiteful Banditry,Ensnaring Bridge,Bloodbraid Elf,Blue Elemental Blast,Living Wish,Passageway Seer
34,Umezawa's Jitte,Null Rod,Cyclonic Rift,Trinisphere,Maddening Hex,Dress Down,Ghost Quarter,Concealed Courtyard
35,Goblin Welder,Chill,Engineered Explosives,Kaldra Compleat,Chalice of the Void,By Force,Elvish Reclaimer,Fracture
36,"Ob Nixilis, the Adversary","Minamo, School at Water's Edge",Pyrite Spellbomb,Inventors' Fair,Stirring Bard,Surgical Extraction,Ketria Triome,Brightclimb Pathway
37,Kolaghan's Command,Underground River,Aether Spellbomb,Lodestone Golem,Elvish Spirit Guide,Silverbluff Bridge,Ramunap Excavator,Nihil Spellbomb
38,Mind Twist,Clearwater Pathway,Expressive Iteration,Lion Sash,Light Up the Stage,Shattering Spree,Courser of Kruphix,Caves of Koilos
39,Gleeful Demolition,Founding the Third Path,Merchant Scroll,Esper Sentinel,"Samut, Vizier of Naktamun",Omniscience,Tireless Tracker,Plague Engineer
40,Bitter Ordeal,Cut Down,Thieving Skydiver,Reshape,Cankerbloom,Cast Into the Fire,Valakut Awakening,Samwise the Stouthearted
41,Devilish Valet,Darkslick Shores,Mind's Desire,Hallowed Fountain,Copperline Gorge,Counterspell,Valakut Exploration,"Kataki, War's Wage"
42,Dismember,Shipwreck Marsh,Cinderclasm,Razortide Bridge,Brotherhood's End,Pyroclasm,Bojuka Bog,Malakir Rebirth
43,"Kroxa, Titan of Death's Hunger",River of Tears,Negate,Thirst for Knowledge,Display of Dominance,Sea Gate Restoration,Blast Zone,Agonizing Remorse
44,Blood Crypt,Drowned Catacomb,Change the Equation,Relic of Progenitus,Soulless Jailer,Steel Sabotage,Geier Reach Sanitarium,Cave of the Frost Dragon
45,Grindstone,Lim-Dul's Vault,"Birgi, God of Storytelling",Azorius Signet,Destiny Spinner,Misdirection,The Tabernacle at Pendrell Vale,Noxious Grasp
46,Gingerbrute,Tainted Indulgence,Ledger Shredder,The One Ring,"Domri, Anarch of Bolas","Sokenzan, Crucible of Defiance","Uro, Titan of Nature's Wrath","Kambal, Consul of Allocation"
