,Katerberg,Patrick,Eric,Derian,Heidi,Chad,Pete,Alex
21,Umezawa's Jitte,Doom Whisperer,Hydroid Krasis,"Jace, the Mind Sculptor",mother of runes,fiery confluence,Void mirror,mindslaver
22,Jwari Disruption // Jwari Ruins,Stitcher's Supplier,Food Chain,Misdirection,"Reidane, God of the Worthy // Valkmira, Protector's Shield",skullcrack,Damnation,"emry, lurker of the loch"
23,Ponder,Collective Brutality,"Squee, the Immortal",Standstill,tithe taker,sulfuric vortex,"Venser, Shaper Savant",soul-guide lantern
24,Brazen Borrower // Petty Theft,Dark Deal,Eternal Scourge,Nexus of Fate,elite spellbinder,lava spike,Tolarian Sentinel,ensnaring bridge
25,Tormod's Crypt,"Elesh Norn, Grand Cenobite",Sneak Attack,Wilderness Reclamation,eidolon of obstruction,burst lightning,Clone,Winter Orb
26,Thieving Skydiver,Skyclave Apparition,Tainted Pact,"Search for Azcanta // Azcanta, the Sunken Ruin",disenchant,shard volley,Copy Artifact,Opposition Agent
27,Cursecatcher,Mesmeric Orb,Demonic Consultation,Mishra's Factory,hero of bladehold,smash to smithereens,Reclamation Sage,watery grave
28,Hurkyl's Recall,Yawgmoth's Will,Progenitus,The Tabernacle at Pendrell Vale,lion sash,flames of the blood hand,Man-o'-war,steam vents
29,"Ashiok, Dream Render",Serra's Emissary,Gemstone Caverns,Crop Rotation,"Adeline, Resplendent Cathar",skewer the critics,Reality acid,Phyrexian Metamorph
30,Harbinger of the Tides,Wurmcoil Engine,Badlands,Cryptic Command,charming prince,sacred foundry,Altar of the Brood,Retrofitter Foundry
31,Gilded Drake,Bitterblossom,Goryo's Vengeance,Shark Typhoon,restoration angel,burning wish,blue elemental blast,Mycosynth Lattice
32,Gut shot,Stinkweed Imp,Carpet of Flowers,Growth Spiral,"glenn, the voice of calm",fireblast,Hydroblast,Scrap trawler
33,"thada adel, acquisitor",Imp's Mischief,Force of Vigor,Regrowth,"Dennick, Pious Apprentice // Dennick, Pious Apparition",lightning helix,Sea Drake,Krark-Clan Ironworks
34,Master of Waves,Stony Silence,Gaea's Revenge,Moment's Peace,"Tomik, Distinguished Advokist",Incinerate,Damn,Spine of Ish Sah
35,Lord of Atlantis,"Akroma, Angel of Wrath",Primordial Sage,Tangle,ranger-captain of eos,wish,Gala Greeters,Wishclaw Talisman
36,"Sygg, River Cutthroat",Surgical Extraction,Veil of Summer,Long-Term Plans,Deputy of Acquittals,banefire,Stimulus Package,Moonsilver Key
37,Spreading Seas,Dark Confidant,Show and Tell,Exploration,mistmeadow witch,fragmentize,Murktide Regent,Toxic Deluge
38,Tide Shaper,Silent Clearing,Nature's Claim,Glacial Chasm,hallowed fountain,price of progress,Jund Panorama,Coveted Jewel
39,Tidebinder Mage,Caves of Koilos,Ziatora's Proving Ground,Deprive,"teferi, hero of dominaria",pulse of the forge,Cry of the Carnarium,Whir of Invention
40,Rishadan Dockhand,Phyrexian Tower,verdant Catacombs,Spell Burst,vryn wingmare,browbeat,Blood moon,Ichor Wellspring
41,Svyelun of Sea and Sky,Unmask,Stomping Ground,Mystic Sanctuary,dauntless bodyguard,flamebreak,Archive Trap,Chain of Vapor
42,Master of the Pearl Trident,Imperial Seal,Blooming Marsh,Remand,hopeful initiate,boros charm,Carth the Lion,Lotus Petal
43,Coralhelm Commander,"Tourach, Dread Cantor",Copperline Gorge,Breeding Pool,student of warfare,sunbaked canyon,Virus Beetle,Academy Ruins
44,Silvergill Adept,"Rankle, Master of Pranks",Elvish Spirit Guide,Weather the Storm,eidolon of rhetoric,hammer of bogardan,Clever Impersonator,Xander's Lounge
45,Merrow Reejerey,Orim's Chant,Simian Spirit Guide,Lifeforce,Celestial Colonnade,runeflare trap,Burglar Rat,liquimetal coating
46,Tempest Caller,Chain of Smog,Thassa's Oracle,Portcullis,dawnbringer cleric,ramunap ruins,Pack Rat,myr retriever
