,Jack,QED,hill_giant,Jsexton,Glocks,Kelvandil,rc_cola,Iteration
26,Imperial Recruiter,Mindslaver,Academy Ruins,Remand,Archetype of Endurance,Mana Confluence,Thought Scour,Fetid Heath
27,Reclamation Sage,Great Furnace,Thirst for Knowledge,Fact or Fiction,Daze,Containment Priest,Simian Spirit Guide,Leonin Arbiter
28,Faerie Macabre,Stoneforge Mystic,Compulsive Research,Frantic Search,"Jin-Gitaxias, Core Augur",Sacred Foundry,Graven Cairns,Tidehollow Sculler
29,Eternal Witness,Batterskull,Dispel,Sulfur Falls,Echoing Truth,Wild Nacatl,Cascade Bluffs,Aven Mindcensor
30,Vryn Wingmare,Azorius Signet,Relic of Progenitus,Oath of Druids,Hurkyl's Recall,Smash to Smithereens,Sunken Ruins,Caves of Koilos
31,Kitchen Finks,Boros Signet,Dimir Signet,Simic Signet,Platinum Angel,Molten Rain,Gemstone Mine,Dryad Militant
32,Murderous Redcap,Ratchet Bomb,Grindstone,Breeding Pool,River of Tears,Barbarian Ring,Forbidden Orchard,Mirran Crusader
33,"Melira, Sylvok Outcast",Everflowing Chalice,Sky Diamond,Ancient Grudge,"Elesh Norn, Grand Cenobite",Sulfuric Vortex,Blood Crypt,Leonin Relic-Warder
34,Carrion Feeder,Gifts Ungiven,Coldsteel Heart,fire // ice,Delver of Secrets // Insectile Aberration,Karplusan Forest,Elvish Spirit Guide,Asylum Visitor
35,Bloodthrone Vampire,Intuition,Pithing Needle,Tundra,Energy Flux,Temple Garden,Desperate Ritual,Rishadan Port
36,Reveillark,Wildfire,Platinum Emperion,Monastery Mentor,Hymn to Tourach,Bloodbraid Elf,Pyretic Ritual,Eidolon of Rhetoric
37,Body Double,Burning of Xinye,Grafdigger's Cage,Karakas,Massacre,Destructive Revelry,Darkwater Catacombs,Lingering Souls
38,"Rofellos, Llanowar Emissary",Triskelion,Void Snare,Flagstones of Trokair,Shriekmaw,Zurgo Bellstriker,Tainted Pact,"Urborg, Tomb of Yawgmoth"
39,Joraga Treespeaker,Fiery Temper,Sphinx of the Steel Wind,"Jace, Memory Adept",Grave Titan,Rakdos Cackler,Chain of Vapor,Dauthi Horror
40,Protean Hulk,Lightning Greaves,Master Transmuter,Hallowed Fountain,Hapless Researcher,Become Immense,Empty the Warrens,Soltari Trooper
41,Flash,Ancient Den,Vault of Whispers,Firespout,Empyrial Archangel,Searing Blaze,Yawgmoth's Bargain,Mesmeric Fiend
42,Diabolic Intent,DEAL BROKER,Tree of Tales,"Kozilek, Butcher of Truth",Necromancy,Price of Progress,Izzet Charm,Sinkhole
