,A.M.,C.A.,Z.C.,S.J.,R.P.,Hyphen-ated,S.M.,S.F.
18,Thespian's Stage,Fabricate,Mindbreak Trap,Swords to Plowshares,Sunken Hollow,Wurmcoil Engine,"Jace, Memory Adept",Into the Roil
19,"Thalia, Heretic Cathar",Sorcerous Spyglass,Abrupt Decay,Path to Exile,Batterskull,Faithless Looting,Daze,Izzet Charm
20,Umezawa's Jitte,Omniscience,Birds of Paradise,Balance,Supreme Verdict,Grim Monolith,Mind Funeral,Soulfire Grand Master
21,Tidehollow Sculler,Compulsive Research,Natural Order,Pack Rat,Port Town,Walking Ballista,Drowned Catacomb,Plateau
22,Wasteland,Careful Study,Craterhoof Behemoth,Recruiter of the Guard,Land Tax,Blightsteel Colossus,Chain of Vapor,Sacred Foundry
23,Rishadan Port,Lion's Eye Diamond,Green Sun's Zenith,Crucible of Worlds,Selfless Spirit,Memory Jar,Brain Freeze,Manamorphose
24,Phyrexian Revoker,Yawgmoth's Bargain,Sylvan Library,Shambling Vent,Spell Queller,Muddle the Mixture,Black Sun's Zenith,Pact of Negation
25,Armageddon,Fact or Fiction,Primeval Titan,Sinkhole,Wrath of God,Tolarian Academy,Nihil Spellbomb,Goblin Rabblemaster
26,Vindicate,City of Brass,Noble Hierarch,Ravages of War,Leyline of Anticipation,Transmute Artifact,Breaking // Entering,Grim Lavamancer
27,Mana Confluence,Ancestral Vision,Courser of Kruphix,Karakas,Sword of Feast and Famine,"Thada Adel, Acquisitor",Stroke of Genius,Mystic Gate
28,Tainted Pact,Cabal Ritual,Oracle of Mul Daya,Brain Maggot,Grand Abolisher,Metalworker,Shelldock Isle,Cascade Bluffs
29,Fetid Heath,Tendrils of Agony,Dryad Arbor,Mana Tithe,Settle The Wreckage,Basalt Monolith,Sunken Ruins,Rugged Prairie
30,Seachrome Coast,Darkslick Shores,Carnage Tyrant,Concealed Courtyard,Twincast,Cyclonic Rift,Leyline of Sanctity,Lightning Strike
31,Kitesail Freebooter,Bazaar of Baghdad,Cavern of Souls,Raven's Crime,Opt,Spirebluff Canal,far // away,Thought Scour
32,Baleful Strix,Hurkyl's Recall,Null Rod,Stony Silence,Phyrexian Metamorph,Staff of Domination,Visions of Beyond,Rescind
33,Elvish Spirit Guide,Burning Wish,Gaea's Cradle,Hypnotic Specter,Dismember,Mishra's Workshop,Startled Awake // Persistent Nightmare,Pestermite
34,Gifts Ungiven,Ensnaring Bridge,Deranged Hermit,Oblivion Ring,Spellskite,Academy Ruins,Go For The Throat,Splinter Twin
35,Unburial Rites,Death Wish,Beast Within,Smuggler's Copter,Anguished Unmaking,Power Artifact,Recoil,Time Warp
36,"Iona, Shield of Emeria",Gemstone Mine,"Boseiju, Who Shelters All",Caves of Koilos,Siren Stormtamer,Mox Opal,chancellor of the spires,Reverberate
37,Chart a Course,Tolaria West,Consuming Vapors,Containment Priest,Mentor of the Meek,Lightning Greaves,Damping Matrix,"Kiki-Jiki, Mirror Breaker"
38,Life from the Loam,The Tabernacle At Pendrell Vale,"Kozilek, Butcher of Truth",Vryn Wingmare,Sword of Light and Shadow,Inkwell Leviathan,Fraying Sanity,Deceiver Exarch
39,"Elesh Norn, Grand Cenobite",Vesuva,Reclamation sage,Maralen of the Mornsong,Split Decision,Kuldotha Forgemaster,Wheel and Deal,Peek
40,"Urborg, Tomb of Yawgmoth",Lotus Bloom,Acidic slime,Leonin Relic-Warder,Praetor's Grasp,Seat of the Synod,Pithing Needle,Mystic Monastery
41,Dryad Militant,Serum visions,"Rofellos, Llanowar Emissary",Smallpox,Glacial Fortress,Great Furnace,Underground River,incinerate
42,Opulent Palace,Serum powder,"Thrun, the last troll",Banisher Priest,Sen Triplets,Master Transmuter,The Abyss,searing spear
43,Sandsteppe Citadel,Noxious revival,grafdigger's cage,Aether Vial,Memory Plunder,Shivan Reef,Shared Trauma,"Ulamog, The Infinite Gyre"
44,Fetid Pools,Chromatic Star,heroic intervention,"Kaya, ghost assassin",Desertion,Inventors' Fair,Lethal Vapors,Blink of an Eye
