,Talanthalos,ssrego,RagingLevine,sti,becurry,JasterRogue7,CommonOpponent,Stephen Hagan
24,Karakas,Curse of Opulence,Sunken Hollow,Brain Freeze,Council's Judgment,Knowledge Pool,Seachrome Coast,Vault of Whispers
25,Sacred Foundry,"Xenagos, The Reveler",Mirage Mirror,Mental Note,Raugrin Triome,Mystic Gate,Phyrexian Revoker,Thopter Foundry
26,Ceremonious Rejection,Grove of the Burnwillows,Mycosynth Lattice,Miscast,Rest in Peace,Prairie Stream,Stony Silence,Sword of the Meek
27,Energy Flux,"Dargo, The Shipwrecker",Manifold Key,Omniscience,Lion's Eye Diamond,"Katilda, Dawnhart Martyr // Katilda's Rising Dawn","Kaya, Orzhov Usurper",Zagoth Triome
28,Condemn,Magus of the Moon,Delay,Arcane Denial,Harsh Mentor,Strict Proctor,"Kambal, Consul of Allocation",Overgrown Tomb
29,"Jace, Vryn's Prodigy // Jace, Telepath Unbound","Klothys, God of Destiny","Padeem, Consul of Innovation",Cryptic Command,Umezawa's Jitte,Suspend,Countersquall,Assassin's Trophy
30,Mystic Confluence,Burning-Tree Emissary,Feed the Swarm,Archmage's Charm,tormod's Crypt,Selfless Spirit,Kaldra Compleat,"Lier, Disciple of the Drowned"
31,Fire // Ice,By Force,Ensnaring Bridge,Mystic Sanctuary,"Laelia, the blade reforged",Spirit of the Labyrinth,Memory Lapse,Fact or Fiction
32,Wear // Tear,Noxious Revival,Reshape,Natural State,Goblin Rabblemaster,"Kira, Great Glass-Spinner",Grief,Nature's Claim
33,"Lutri, the Spellchaser",Dragonmaster Outcast,Whir of Invention,Cyclonic Rift,Robber of The Rich,Drogskol Captain,"Sygg, River Cutthroat",Carpet of Flowers
34,Settle the Wreckage,Vexing Shusher,Miscalculation,Chromatic Star,"Chandra, Acolyte of Flame",Supreme Phantom,Bloodghast,Poppet Stitcher // Poppet Factory
35,Celestial Colonnade,Fire-Lit Thicket,Fabricate,Chill,"Nahiri, the Harbinger",Mausoleum Wanderer,Grand Abolisher,Arcum's Astrolabe
36,Sprite Dragon,Dryad Arbor,Darksteel Citadel,Time Spiral,Gorilla Shaman,Rattlechains,Creeping Tar Pit,Snow-Covered Forest
37,Murktide Regent,Force of Vigor,Damping Sphere,Hurkyl's Recall,Wheel of Fortune,Cavern of Souls,Underground River,Field of the Dead
38,Glacial Fortress,The Tabernacle at Pendrell Vale,Jwari Disruption // Jwari Ruins,Misdirection,Blood moon,Empyrean Eagle,Prohibit,Crop Rotation
39,Nimbus Maze,Unleash Fury,Drowned Catacomb,Back to Basics,"Chandra, Torch of Defiance",Shacklegeist,Ethersworn Canonist,"Leovold, Emissary of Trest"
40,Submerge,Stomping Ground,Ratchet Bomb,Mindbreak Trap,Chain lightning,Patrician Geist,"Kataki, War's Wage",Opposition Agent
41,Sulfur Falls,Allosaurus Shepherd,Wurmcoil Engine,Hydroblast,Bonecrusher Giant // Stomp,Abolish,Deafening Silence,Snow-Covered Island
42,Supreme Verdict,"Domri, Anarch of Bolas",Chalice of the Void,Gigadrowse,Embereth Shieldbreaker // Battle Display,Aura of Silence,Flashfreeze,Stifle
43,Into the Roil,Emberwilde Captain,Defense Grid,Snap,Zealous Conscripts,Nebelgast Herald,Adarkar Wastes,Toxic Deluge
44,Soulfire Grand Master,Zuran Orb,Mistvault Bridge,Forbidden Orchard,Runaway Steam-Kin,Disrupt,Castigate,Ice-Fang Coatl
45,Dispel,Once Upon a Time,Brainstone,"Kozilek, Butcher of Truth",Maddening Hex,Dreamshackle Geist,Annul,Smokestack
46,Sudden Shock,"Ghalta, Primal Hunger",Argivian Restoration,Pithing Needle,Sarkhan the Masterless,Cemetery Illuminator,hindering light,Hullbreaker Horror
