,DJ 3-4 6th,Morse 6-1 1st,Cam 0-7 8th,Ben 5-2 3rd,Fil 3-4 5th,Nathan 4-3 4th,Leigh 2-5 7th,Austen 5-2 2nd
24,Bloodghast,Reverent Silence,Savannah,Grand Abolisher,Story Circle,Mystical Tutor,Jace Beleren,Craterhoof Behemoth
25,Nether Spirit,"Thassa, God of the Sea",Seal of Primordium,Eidolon of Rhetoric,Aura Thief,Gloom,Wurmcoil Engine,Fyndhorn Elves
26,Perish,Trygon Predator,Temple Garden,Peace and Quiet,Enchanted Evening,Engineered Plague,Pentad Prism,Elvish Mystic
27,Virtue's Ruin,"Thrun, the Last Troll",Horizon Canopy,Hallowed Fountain,Wrath of God,Notion Thief,Vraska the Unseen,Gleeful Sabotage
28,Smallpox,Cyclonic Rift,Soul Snare,Armageddon,Supreme Verdict,Void Snare,"Nicol Bolas, Planeswalker",Lifeforce
29,Pox,Wooded Foothills,Lignify,Geist of Saint Traft,Copy Enchantment,fire // ice,Mana Confluence,Priest of Titania
30,Sinkhole,"Venser, Shaper Savant",Bow of Nylea,"Brimaz, King of Oreskos",Dispel,Negate,City of Brass,Arbor Elf
31,Entomb,Mystic Snake,Seal of Cleansing,Ravages of War,"Heliod, God of the Sun",Badlands,Tezzeret's Gambit,Regal Force
32,Crucible of Worlds,Karakas,Auratog,Meddling Mage,Omniscience,Counterbalance,Contagion Clasp,Elvish Archdruid
33,Chains of Mephistopheles,Riptide Laboratory,Abundant Growth,Leonin Relic-Warder,Detention Sphere,Lightning Bolt,"Garruk, Apex Predator",Sylvan Library
34,Cursed Scroll,Master of Waves,Blind Obedience,Tariff,High Market,Ponder,Damnation,Multani's Acolyte
35,Contagion,Flooded Grove,Compost,Hibernation,Aura of Silence,Dismember,Mind Twist,Imperious Perfect
36,Slaughter Pact,Preordain,Brushland,Wilt-Leaf Liege,Scrying Sheets,Delver of Secrets // Insectile Aberration,Inexorable Tide,beck // call
37,Bojuka Bog,Bayou,Sunpetal Grove,Seachrome Coast,"Nykthos, Shrine to Nyx",Pack Rat,Wheel of Fortune,Yavimaya Coast
38,Contamination,Elves of Deep Shadow,Runed Halo,Aether Vial,Cantivore,Splinter Twin,Contagion Engine,Boreal Druid
39,Rain of Tears,Bitterblossom,Spreading Algae,Null Rod,Golden Wish,Pestermite,Tempest of Light,Essence Warden
40,Dread of Night,Watery Grave,Tormod's Crypt,Black Vise,Circle of Protection: Green,Inkwell Leviathan,Gemstone Mine,Joraga Warcaller
41,Massacre,Abrupt Decay,Ivory Mask,Glowrider,Leyline of Anticipation,Nihil Spellbomb,The Chain Veil,Bane of Progress
42,Chainer's Edict,Nimble Mongoose,Open the Vaults,"Isamaru, Hound of Konda",Second Sunrise,Shattering Spree,Coalition Relic,Elvish Champion
43,Cabal Pit,Maelstrom Pulse,Femeref Enchantress,Soldier of the Pantheon,Envelop,Seat of the Synod,"Keranos, God of Storms",Wren's Run Packmaster
44,Spinning Darkness,Chalice of the Void,Courser of Kruphix,Aether Spellbomb,Circle of Protection: Blue,Vault of Whispers,Volcanic Fallout,Summoning Trap
45,Soul Spike,"Kiora, the Crashing Wave",Ancestral Mask,Banisher Priest,Aura Fracture,Galvanic Key,Obelisk of Alara,Seedtime
