,ZeroSuitSamus,Paralos,waki,TheKniphoon*,sphagan,alex,TrashBoat,kelvin
28,Skyclave Apparition,Seat of the Synod,Anointed Peacekeeper,Troll of Khazad-dum,Ruin Crab,Steel Sabotage,Containment Priest,Cut Down
29,Goblin Rabblemaster,Tezzeret the Seeker,Mother of Runes,Bloodchief's Thirst,Hedron Crab,Botanical Sanctum,Celestial Colonnade,Doomsday
30,Inspiring Vantage,Voltaic Key,Plague Engineer,Hymn to Tourach,Tasha's Hideous Laughter,Gaea's Blessing,Sacred Foundry,Wishclaw Talisman
31,Seasoned Pyromancer,Blightsteel Colossus,Endurance,Bonecrusher Giant,"Yavimaya, Cradle of Growth",Hydroblast,Izzet Charm,Demonic Consultation
32,Dovin's Veto,Muddle the Mixture,Eladamri's Call,Mawloc,"Ashiok, Dream Render",Flusterstorm,"Lavinia, Azorius Renegade",Defense Grid
33,"Sokenzan, Crucible of Defiance",Balance,Scrubland,Abrupt Decay,"Ugin, the Ineffable",Null Rod,Riverglide Pathway,Darkslick Shores
34,Brotherhood's End,Spire of Industry,Razorverge Thicket,Llanowar Wastes,Finale of Devastation,Yavimaya Coast,Rip Apart,Underground River
35,Cast into the Fire,Glimmervoid,Temple Garden,Blightstep Pathway,The Tabernacle at Pendrell Vale,Barkchannel Pathway,Hengegate Pathway,Infernal Tutor
36,Shivan Reef,Mycosynth Lattice,Aven Mindcensor,Tear Asunder,Pest Infestation,Annul,Mana Leak,Sheoldred's Edict
37,Supreme Verdict,Touch the Spirit Realm,"Thalia, Heretic Cathar",Liliana of the Veil,Ketria Triome,Miscast,Adarkar Wastes,Street Wraith
38,Mindbreak Trap,Mystic Gate,Archon of Emeria,Force of Vigor,Dryad of the Ilysian Grove,Lose Focus,Archmage's Charm,Wrenn's Resolve
39,Leyline of Sanctity,Phyrexian Revoker,Grand Abolisher,Mistcutter Hydra,Glacial Chasm,Gilded Goose,Glacial Fortress,Cabal Ritual
40,Cascade Bluffs,Deserted Beach,Elven Farsight,Vendetta,Sylvan Scrying,Lair of the Hydra,Lithomantic Barrage,Void Snare
41,"Eiganjo, Seat of the Empire",Reshape,"Boromir, Warden of the Tower","Tourach, Dread Cantor",Dreamroot Cascade,Fyndhorn Elves,An Offer You Can't Refuse,Xander's Lounge
42,Frantic Search,Conjurer's Bauble,Avacyn's Pilgrim,Elvish Mystic,Living Wish,"Jolrael, Mwonvuli Recluse",Sprite Dragon,Pact of Negation
43,Unholy Heat,Metallic Rebuke,Flumph,Oliphaunt,Ramunap Excavator,Nature's Claim,Blood Sun,Massacre
44,Sweltering Suns,Lodestone Golem,Sevinne's Reclamation,Cankerbloom,Simic Growth Chamber,Voracious Hydra,Fiery Confluence,Burning Wish
45,Rugged Prairie,Academy Ruins,Ephemeral Shields,Bloodtithe Harvester,Pithing Needle,Divert,Stormchaser Mage,Peer into the Abyss
46,Wheel of Sun and Moon,"Saheeli, Sublime Artificer","Kambal, Consul of Allocation",Maddening Hex,Gruul Turf,Horribly Awry,Expansion // Explosion,Unmask
