,Brandon Curry,Mason Lange,Cody Owen,Jeff Blyden,Sam Rego,Andrew Swift,Dan Zielinski,Alec Dishaw
9,Mana Vault,Treasure Cruise,Lion's Eye Diamond,Lim-Dul's Vault,Isochron Scepter,Scrubland,Flusterstorm,Dispel
10,"Emry, Lurker of the Loch",Archmage's Charm,Time Vault,Demonic Consultation,Skullclamp,Veil of Summer,Solitude,swan song
11,Walking ballista,Cryptic Command,Pentad Prism,Mystical Dispute,Esper Sentinel,Savannah,Wooded foothills,"jace, wielder of mysteries"
12,"Emrakul, the Aeons Torn",Vendilion Clique,Muddle the Mixture,Thought Lash,Kaldra Compleat,Birds of Paradise,Brainstorm,paradigm shift
13,Lotus Petal,Preordain,Brain Freeze,Imperial Seal,Phyrexian Metamorph,Noble Hierarch,tasha's hideous laughter,Negate
14,Channel,Mystic Sanctuary,Underworld Breach,Duress,Swords to Plowshares,Ignoble Hierarch,miscalculation,Mana leak
15,Memory Jar,"Venser, Shaper Savant",Wheel of Fortune,Inverter of Truth,Leyline of the Void,Breeding Pool,Botanical sanctum,lose focus
16,Crucible of Worlds,Thought Scour,Bloodstained Mire,Watery Grave,Balance,Birthing Pod,"Uro, titan of nature's wrath",quench
17,Reality Smasher,Karakas,Mirage Mirror,Laboratory Maniac,Zuran Orb,"Boseiju, Who Endures",Spell snare,portent
18,Mystical Tutor,Cavern of Souls,Otherworldly Gaze,Serum Visions,Fracture,Reclamation Sage,Pact of negation,annul
19,Show and Tell,Spellseeker,Blightsteel Colossus,Impulse,Thieves' Guild Enforcer,Academy Rector,Waterlogged grove,fiery islet
20,Worldly Tutor,Tundra,Painter's Servant,Cabal Therapy,Vanishing Verse,Baleful Strix,test of talents,"Otawara, Soaring city"
21,Shelldock Isle,Hallowed Fountain,Grindstone,Keen Duelist,"TinyBONES, Trinket Thief",Eternal Witness,Frantic search,archive trap
22,"Nissa, Who Shakes the World",Spellstutter Sprite,Prismari Command,Dimir Signet,Unexpectedly Absent,Ice-fang Coatl,peek,fractured sanity
23,"Yavimaya, Cradle of Growth",Misdirection,Manifold Key,"Jace, Vryn's Prodigy // Jace, Telepath Unbound","Thalia, Heretic Cathar",Phyrexian Tower,Once upon a time,sanity grinding
24,Flooded Grove,Mishra's Factory,Grim Monolith,Unearth,"Urborg, Tomb of Yawgmoth",Diabolic Intent,Oath of nissa,sphinx's tutelage
25,"Dovin, Hand of Control",Mutavault,Paradoxical Outcome,Reanimate,Oona's Blackguard,Aluren,Chrome mox,shark typhoon
26,Crop Rotation,Aether Vial,Tezzeret the Seeker,Shadowmage Infiltrator,Containment Priest,Acererak the Archlich,Consider,tormod's crypt
27,Gemstone Mine,Spell Queller,Lightning Bolt,Entomb,"Thalia, Guardian of Thraben",Collected Company,Inkmoth nexus,steam vents
28,Dark Depths,Censor,Fury,"Ashiok, Nightmare Weaver","Kaya, Geist Hunter",Viscera Seer,blighted Agent,surgical extraction
29,Thespian's Stage,Dismember,Chain of Vapor,Grief,Court of Ambition,"Melira, Sylvok Outcast",Glistener elf,Red Elemental Blast
30,Arcane Denial,Riptide Laboratory,Arid Mesa,Hymn to Tourach,"Rankle, Master of Pranks",Murderous Redcap,Berserk,Pyroblast
31,Lotus Cobra,Divert,Stoic Rebuttal,Sunken Ruins,Fetid Heath,Kitchen Finks,Invigorate,psychic corrosion
32,Tireless tracker,Standstill,Cascade Bluffs,Toxic Deluge,Judge's Familiar,Renegade Rallier,scale up,pongify
33,"Oboro, Palace in the Clouds",Reflector Mage,Raugrin Triome,Unmask,Liliana of the Veil,Mana Confluence,blossoming defense,hall of storm giants
34,Hexdrinker,Faerie Conclave,Wurmcoil Engine,Notion Thief,Disenchant,Questing Beast,vines of vastwood,Jace beleren
35,Mycosynth Lattice,Force Spike,Hurkyl's Recall,Drown in the Loch,Bojuka Bog,Gloomshrieker,ichorclaw myr,lazotep plating
36,Dress Down,Ninja of the Deep Hours,Tavern Scoundrel,Talisman of Dominance,Sorin the Mirthless,Cavern Harpy,Plague myr,tolarian winds
37,Memory Lapse,Glen Elendra Archmage,Frenetic Efreet,Mana Maze,Godless Shrine,Endurance,Necropede,high tide
38,Yavimaya Coast,Disrupting Shoal,Expressive Iteration,Fatal Push,Vindicate,Living Wish,Groundswell,subtlety
39,City of Traitors,Seachrome Coast,Back to Basics,Stifle,Brightclimb Pathway // Grimclimb Pathway,Parasitic Strix,might of old krosa,rapid hybridization
40,Hedron Crab,Vapor Snag,Fable of the Mirror-Breaker // Reflection of Kiki-Jiki,Phyrexian Dreadnought,"Liliana, Waker of the Dead",Veteran Explorer,Rancor,reality shift
41,Ruin Crab,Boomerang,Kappa Cannoneer,"Lazav, the Multifarious",Zealous Persecution,Overgrown Tomb,mutagenic growth,Riverglide Pathway // Lavaglide Pathway
42,Barkchannel Pathway // Tidechannel Pathway,Adarkar Wastes,Cyclonic Rift,Tale's End,Ophiomancer,Destiny Spinner,Mindlink mech,court of cunning
43,Nimble Obstructionist,Hallowed Moonlight,Grafdigger's Cage,Intuition,Paladin Class,Collector Ouphe,Gemrazer,Mind Spring
44,Stroke of Genius,Engulf the Shore,Mox Opal,Drowned Catacomb,Secure the Wastes,Zagoth Triome,Disrupt,prosperity
45,Deathrite shaman,Forsake the Worldly,Time Spiral,Divining Witch,Contamination,Corridor Monitor,persistent petitioners,flood of recollection
46,Wasteland,Murktide Regent,"Sai, Master Thopterist",Parallax Nexus,Orim's Chant,"Fblthp, the Lost",sorcerous sight,telepathy
