25,Skullcrack,"Ulamog, the infinite gyre",WINTER ORB,Karn Liberated,Misdirection,Invigorate,Sword of Feast and Famine,Sword of Body and Mind
26,Lava Spike,"Boseiju, who shelters all",Tezzeret the Seeker,Llanowar Elves,Anticipate,Blighted Agent,Shivan Reef,Stoneforge Mystic
27,Searing Blood,Overmaster,Steel Hellkite,Reclamation Sage,Null Rod,Blight Mamba,Energy Flux,Sinkhole
28,Ensnaring Bridge,Lotus Petal,Witchbane Orb,Gaea's Cradle,Street Wraith,Annul,Miscalculation,Stony Silence
29,Searing Blaze,"Melira, sylvok outcast",Transmute Artifact,Bane of Progress,Hymn to Tourach,Pendelhaven,Pestermite,Sword of Fire and Ice
30,Shattering Spree,Telling Time,Hallowed Fountain,Elvish Mystic,Omen,Seedtime,Splinter Twin,"Thalia, Guardian of Thraben"
31,Grim Lavamancer,Stomping Ground,Batterskull,Thragtusk,Lotus Bloom,Ichorclaw Myr,Umezawa's Jitte,Leyline of Sanctity
32,Flame Rift,Blood Crypt,Relic of Progenitus,Triskelion,Flusterstorm,Rancor,Sower of Temptation,Ashen Rider
33,Arc Trail,Quicksilver Amulet,Oblivion Ring,Mephidross Vampire,Sunken Ruins,Mutagenic Growth,Vedalken Shackles,Zealous Persecution
34,Vexing Shusher,Hinterland Harbor,Orzhov Signet,"Thrun, the last troll",Mox Diamond,Simic Charm,Prohibit,Savannah
35,Mana Confluence,City of Brass,Defense Grid,Autumn's Veil,See Beyond,Flooded Grove,Magus of the Moon,Scrubland
36,Gut Shot,Dig Through Time,Thopter Foundry,Harmonize,Gush,Plague Myr,Submerge,Voice of Resurgence
37,Naturalize,Atarka's Command,Sword of the Meek,Coalition Relic,Ideas Unbound,Bonesplitter,Cryptic Command,Swords to Plowshares
38,Pillar of Flame,Portent,Ravages of War,Maze of Ith,Lat-Nam's Legacy,Groundswell,Glen Elendra archmage,Path to Exile
39,Rishadan Port,Blood Moon,Armageddon,Savage Summoning,Yawgmoth's Will,Vapor Snag,Deceiver Exarch,Unburial Rites
40,Faerie Macabre,Ancient Grudge,Propaganda,Krosan Grip,Frantic Search,Might of Old Krosa,Isochron Scepter,Mana Tithe
41,Pyrostatic Pillar,Shatterstorm,Phyrexian Metamorph,Squirrel Nest,Toxic Deluge,Distortion Strike,Deprive,Sensei's Divining Top
42,Forked Bolt,Hibernation,Reshape,Earthcraft,Unmask,Oxidize,Standstill,"Akroma, Angel of Wrath"
43,Sulfuric Vortex,Leyline of the Void,Sphinx's Revelation,Choke,Force Spike,Giant Growth,Mishra's Factory,Sylvan Caryatid
44,Barbarian Ring,Dragonskull Summit,Talisman of Progress,Wall of Roots,Cloud of Faeries,Necropede,Mutavault,Tidehollow Sculler
45,Thunderous Wrath,Savage Knuckleblade,Banishing Light,"Rofellos, llanowar emissary",Night's Whisper,Wild Defiance,Flashfreeze,Twilight Mire
