,Omega,sushiske,erburk,Xazuh,Talanthalos,Krenko,Pluckmyeyeout,oden
35,broodstar,Botanical Sanctum,Blackcleave Cliffs,Extract,Mutagenic Growth,Bitter Ordeal,Unmask,Imperial Recruiter
36,Hangarback Walker,Vendilion Clique,Monastery Swiftspear,Liquimetal coating,Vines of Vastwood,Slaughter Pact,"Search for Azcanta // Azcanta, the Sunken Ruin",Spellseeker
37,Sower of Temptation,Pithing Needle,Brain Freeze,Relic of progenitus,Groundswell,Desperate Ritual,Shallow Grave,Rest in Peace
38,tangle wire,Silent Gravestone,Seal of Fire,Manifold key,Simic Charm,"Baral, Chief of Compliance",Goryo's Vengeance,Stony Silence
39,platinum Angel,Mission Briefing,Dreadbore,Voltaic key,Pendelhaven,Goblin Electromancer,Bazaar of Baghdad,Dovin's Veto
40,memnarch,Scavenging Ooze,Rakdos Charm,talisman of progress,Spell Snare,Pyretic Ritual,Zuran Orb,Disrupt
41,Thassa god of the sea,Thief Of Sanity,Soul-scar Mage,great furnace,Snapback,Seething Song,life // death,Hallowed Fountain
42,cryptic command,Elves of Deep Shadow,Eidolon of the Great Revel,vault of whispers,Viridian Corrupter,Bedevil,Liliana of the Veil,Raugrin Triome
43,acquire,Trygon Predator,Fireblast,shadow of doubt,Inkmoth Nexus,Damnation,Liliana's Triumph,Path to Exile
44,corrupted conscience,Llanowar Elves,Searing Blaze,aether spellbomb,Kindred Charge,Empty the Warrens,Aether Searcher,Drannith Magistrate
45,Psychosis Crawler,Planar Void,Chromatic Sphere,Padeem consul  of innovation,Blight Mamba,By Force,"Ulamog, the Ceaseless",Solemnity
