,Paul Barclay,Jon Loucks,Worth,Mark Globus,Joe T,Lee Sharpe,Dave Guskin,Randy
50,Tainted Pact,Surreal Memoir,Expedition Map,Might of Old Krosa,Merfolk Looter,Jace's Ingenuity,Ground Seal,Knight Exemplar
51,Back to Basics,Staggershock,Grave Titan,Dark Triumph,Show and Tell,Creeping Tar Pit,Riftsweeper,Empyrial Armor
52,Vault of Whispers,Remand,Oracle of Mul Daya,Wax/Wane,"Oona, Queen of the Fae",Simic Growth Chamber,Compost,Ajani Goldmane
53,Darksteel Citadel,Consuming Vapors,Moment's Peace,Carpet of Flowers,Innocent Blood,Jace Beleren,Caller of the Claw,Knight of Meadowgrain
54,Nature's Ruin,Incinerate,Perish,Virulent Sliver,Windfall,Flashfreeze,Fecundity,Brave the Elements
55,Virtue's Ruin,Red Elemental Blast,Stench of Evil,Snuff Out,Frantic Search,Evacuation,Essence Warden,Circle of Protection: Red
56,Snow-Covered Island,Muddle the Mixture,Obstinate Baloth,Consume Strength,Inkwell Leviathan,Cunning Wish,Wellwisher,Order of the Sacred Torch
57,Snow-Covered Swamp,Flame Rift,Tranquil Thicket,Slaughter Pact,"Emrakul, the Aeons Torn",Rewind,Gaddock Teeg,Spectral Lynx
58,Mana Short,Koth of the Hammer,Nameless Inversion,Vampire's Bite,Ascendant Evincar,Undermine,Zuran Orb,Celestial Purge
59,Ratchet Bomb,Recoup,Coffin Purge,Volrath's Stronghold,Forbidden Orchard,Tombstalker,"Ezuri, Renegade Leader",Warrior en-Kor
60,Moat,Disrupt,Primeval Titan,Dirge of Dread,Oath of Druids,Sphinx of Jwar Isle,Fallow Earth,Ethersworn Canonist
61,Scrubland,Pyroblast,Verdant Force,Demonic Consultation,Beseech the Queen,Nevinyrral's Disk,Wirewood Hivemaster,Serenity
62,Mystic Gate,Rocky Tar Pit,Natural Order,Sign in Blood,Sneak Attack,All is Dust,Wilt-Leaf Liege,Circle of Protection: Black
63,Fetid Heath,Bad River,Vesuva,Tower Above,Channel,Compulsive Research,Earthcraft,Worship
64,Gilded Drake,Echoing Truth,Naturalize,Oxidize,Gatekeeper of Malakir,Simic Sky Swallower,Squirrel Nest,Gideon Jura
65,Glacial Chasm,Pyrite Spellbomb,Abyssal Persecutor,Tendo Ice Bridge,Xantid Swarm,Repeal,Wirewood Lodge,Kjeldoran Outpost
