,Tay,Ben,Mike,DJ,Austen,Leigh,Cam,Nathan
20,Mesmeric Fiend,Nature's Claim,Pentad Prism,Phyrexian Metamorph,Hurkyl's Recall,Batterskull,Goblin Rabblemaster,Scrubland
21,Brain Maggot,Hydroblast,Impulse,Copy Artifact,Cunning Wish,Archive Trap,Goblin Sharpshooter,Abrupt Decay
22,Pack Rat,Invigorate,Badlands,Trinket Mage,Steam Vents,Glimpse the Unthinkable,"Krenko, Mob Boss",Ancient Grudge
23,Vampire Hexmage,ground seal,Energy Flux,Phyrexian Revoker,Counterbalance,Spellskite,Skirk Prospector,Pyroblast
24,Sword of fire and ice,Plague Myr,Brain Freeze,Vedalken Shackles,Burning Wish,Sword of body and mind,Stingscourger,Red Elemental Blast
25,Bloodghast,City of solitude,Serum Visions,Seat of the Synod,Omniscience,Snapcaster Mage,Gempalm Incinerator,Wooded Foothills
26,Necropotence,Ichorclaw Myr,Merchant Scroll,Baleful Strix,Enter the Infinite,Stoneforge Mystic,Goblin Sledder,Pyroclasm
27,Gravecrawler,Might of Old Krosa,Compulsive Research,Vault of Whispers,Release the Ants,Tundra,"Kiki-Jiki, Mirror Breaker",fire // ice
28,Carrion feeder,Hinterland Harbor,Intuition,Talisman of Dominance,Cryptic Command,Mana Confluence,Lightning Crafter,Taiga
29,Geralf's Messenger,Necropede,Mind's Desire,Dimir Signet,Counterspell,Chromatic Lantern,Tuktuk Scrapper,Windswept Heath
30,Dismember,Groundswell,Defense Grid,Ensnaring Bridge,Noxious Revival,Mindbreak Trap,Beetleback Chief,Lingering Souls
31,Innocent Blood,Yavimaya Coast,Seething Song,Darksteel Citadel,Beacon of Tomorrows,Notion Thief,Rift Bolt,Swords to Plowshares
32,Phyrexian Obliterator,Viridian Corrupter,Time Spiral,Darkslick Shores,Leyline of Sanctity,Geist of Saint Traft,Rack and Ruin,Engineered Plague
33,Phyrexian Negator,Rancor,Lotus Bloom,Thoughtcast,Void Snare,Telemin Performance,Vexing Shusher,Sylvan Library
34,Hypnotic Specter,Blight Mamba,Shattering Spree,Chill,Mana Leak,Vendilion Clique,Tormod's Crypt,Plateau
35,Darkblast,Stifle,wear // tear,Night of Souls' Betrayal,Shatterstorm,"Venser, Shaper Savant",Mogg Fanatic,City of Brass
36,Nether Void,Bonesplitter,Snap,Ravenous Trap,Echoing Truth,Mirran Crusader,Barbarian Ring,Toxic Deluge
37,Sarcomancy,Mutagenic Growth,Manamorphose,Academy Ruins,Firespout,Disenchant,Ricochet Trap,Bayou
38,Sadistic Sacrament,Elvish Spirit Guide,Past In Flames,Tangle Wire,Choke,Council's Judgment,Grim Lavamancer,Faithless Looting
39,Gate to Phyrexia,Become Immense,Desperate Ritual,Ratchet Bomb,Sphinx of the Steel Wind,Detention Sphere,Smash to Smithereens,Forbidden Orchard
40,Yixlid Jailer,Ranger's Guile,Goblin Electromancer,Slaughter Pact,Sulfur Falls,Counterflux,Goblin King,Marsh Flats
41,Night's Whisper,Simic Charm,Izzet charm,Submerge,Whipflare,Maze of Ith,Eidolon of the Great Revel,Lightning Helix
42,Deathrite Shaman,Pact of Negation,Electrolyze,Etched Champion,Sundering Titan,Tivadar's Crusade,Boil,Gaea's Blessing
43,Chains of Mephistopheles,Divert,Nightscape Familiar,Nihil Spellbomb,Active Volcano,hide // seek,Pyrostatic Pillar,Rest In Peace
44,Geth's Verdict,Bounty of the Hunt,Turnabout,Staff of Nin,Stone Rain,Tivadar of Thorn,Faerie Macabre,"Elesh Norn, Grand Cenobite"
45,Carnophage,Blue Elemental Blast,Electrickery,Shadow of Doubt,Shadow Rift,Light of Day,UNKNOWN,UNKNOWN2
