,SamLL,Lyra,Russ,Sam K,Logan,Harry,Karl,Matt
20,Mana Confluence,Third Path Iconoclast,Opt,Pest Infestation,"Boseiju, Who Endures",Mishra's Workshop,Goblin Rabblemaster,Dauthi Voidwalker
21,City of Brass,Raugrin Triome,Demonic Consultation,Ledger Shredder,Esper Sentinel,Seachrome Coast,Sacred Foundry,Liliana of the Veil
22,Elvish Spirit Guide,Spirebluff Canal,Stern Scolding,Channel,Stomping Ground,Skullclamp,"Inti, Seneschal of the Sun",Necromancy
23,Simian Spirit Guide,Unholy Heat,Cling to Dust,"Saheeli, Sublime Artificer","Thalia, Guardian of Thraben",Balance,Chain Lightning,Vaultborn Tyrant
24,Botanical Sanctum,Fiery Islet,Darkslick Shores,"Otawara, Soaring City",Hexdrinker,Transmute Artifact,Dragon's Rage Channeler,Bitter Triumph
25,Overgrown Tomb,Lose Focus,Sink Into Stupor,Crop Rotation,Loran of the Third Path,Stifle,Cavern of Souls,Toxic Deluge
26,Gemstone Mine,Shivan Reef,Tainted Pact,Dark Depths,Touch the Spirit Realm,Grindstone,Xander's Lounge,From the Catacombs
27,Underground River,Portent,Pact of Negation,Tezzeret the seeker,Jetmir's Garden,Pithing Needle,Scrubland,Bone Shards
28,Chromatic Star,Dress Down,Submerge,"Yavimaya, Cradle of Growth","Ajani, nacatl pariah",Seat of the Synod,"Comet, Stellar Pup",Dismember
29,Underworld Breach,"Jace, Vryn's Prodigy",River of Tears,Sylvan Library,"Squee, Dubious Monarch",Chromatic Sphere,Generous Plunderer,Collective Brutality
30,Pyrite Spellbomb,Adarkar Wastes,Gemstone Caverns,An Offer You Can't Refuse,Rest in Peace,Meticulous Archive,Sulfur Falls,Harvester of Misery
31,Auriok Salvagers,Soul-Guide Lantern,Sea Gate Stormcaller,Blightsteel Colossus,Sunbaked Canyon,Relic of Progenitus,Opposition Agent,Unmarked Grave
32,Zuran Orb,Dreadhorde Arcanist,Clearwater Pathway,Shifting Woodland,Tormod's Crypt,Celestial Colonnade,Riverglide Pathway,"Tourach, Dread Cantor"
33,Chain of Vapor,Mercurial Spelldancer,Zagoth Triome,Thespian's Stage,Lion Sash,Phyrexian Metamorph,Containment Priest,Sheoldred's Edict
34,Marsh Flats,Mystic Gate,Once Upon a Time,Ensnaring Bridge,Wrenn and Six,Portable Hole,Hengegate Pathway,Null Rod
35,Deal Broker,Oust,Hedge Maze,Flooded Grove,Unexpectedly Absent,Trinisphere,Cathar Commando,Deep-Cavern Bat
36,Elegant Parlor,Deserted Beach,Drowned Catacomb,Mycosynth Lattice,Wrath of the Skies,Phyrexian Dreadnought,Archon of Emeria,Crabomination
37,Baleful Mastery,No More Lies,Cut Down,Waterlogged Grove,Kaldra Compleat,Lodestone Golem,Deafening Silence,concealing curtains
38,Barkchannel Pathway,Stormcarved Coast,Hydroblast,Sundering Titan,Inspiring vantage,Phyrexian Revoker,"Lavinia, Azorius Renegade",emperor of Bones
39,Haywire Mite,Faerie Mastermind,Pick Your Poison,Manifold Key,"Phlage, Titan of Fire's Fury",Vexing Bauble,march of otherworldly light,Dreams of Steel and Oil
40,Echo of Eons,Seal of Cleansing,Spell Snare,Noble hierarch,Get Lost,Kappa Cannoneer,Palace Jailer,Carnage Interpreter
41,Misdirection,"Dennick, Pious Apprentice",Collector Ouphe,Miscast,Mawloc,Darksteel Citadel,anointed peacekeeper,Ashen Rider
42,"Leovold, Emissary of Trest",Dovin's Veto,Noxious Revival,Liquimetal Coating,Urabrask's Forge,Ancient Den,negate,Fell the Profane
43,Reflecting Pool,Strangle,Paradigm Shift,Yavimaya Coast,"Kari Zev, Skyship Raider",Mystic Forge,Robber of the Rich,leyline of the void
44,Gerrard's Hourglass Pendant,Delayed Blast Fireball,Set Adrift,Sowing Mycospawn,Shatterskull Smashing,Academy Ruins,Maddening Hex,Boggart Trawler
45,Leyline Binding,Expressive Iteration,Gut Shot,Planar Genesis,Bloodboil Sorcerer,"Sai, Master Thopterist",eidolon of the great revel,Unmask
46,Memory's Journey,Flametongue Yearling,Inverter of Truth,Glacial Chasm,Headliner Scarlett,Consign to Memory,Dack Fayden,Caustic Bronco
