,Dan,Corey,Adam,Mac,Alex,Brian,David,Brendan
22,Thirst for Knowledge,Misdirection,Pain Seer,Flash,Goblin Rabblemaster,Council's Judgment,Lightning Greaves,Lotus Bloom
23,Fire // Ice,Viridian Corrupter,Bubbling Muck,"Urborg, Tomb of Yawgmoth",Cascade Bluffs,Savannah,Relic of Progenitus,"Talrand, Sky Summoner"
24,Transmute Artifact,Grafdigger's Cage,Tendrils of Agony,Frantic Search,Gush,Life from the Loam,Defense Grid,Windfall
25,Seat of the Synod,Nature's Claim,Tombstalker,Lake of the Dead,Sulfur Falls,Progenitus,Thorn of Amethyst,Sleight of Hand
26,Trinket Mage,Hurkyl's Recall,Oona's Prowler,Leyline of the Void,Pyroblast,Stifle,Lodestone Golem,Brain Freeze
27,Red Elemental Blast,Pithing Needle,Raven's Crime,Buried Alive,Portent,Knight of the Reliquary,Phyrexian Revoker,Deep Analysis
28,Hallowed Fountain,Tormod's Crypt,Thrull Parasite,Necromancy,Memory Lapse,Tarmogoyf,Wurmcoil Engine,Impulse
29,Negate,Spellskite,Chainer's Edict,Toxic Deluge,Deprive,Gaddock Teeg,Gilded Lotus,Gemstone Mine
30,Engineered Explosives,Tree of Tales,Chains of Mephistopheles,Diabolic Edict,Vapor Snag,Green Sun's Zenith,Great Furnace,Chain of Vapor
31,Tezzeret the Seeker,Rancor,Bloodsoaked Champion,Unmask,Opt,Qasali Pridemage,Sundering Titan,High Tide
32,Badlands,Witchbane Orb,Elvish Spirit Guide,"Iona, Shield of Emeria",Repeal,Meddling Mage,Solemn Simulacrum,Gifts Ungiven
33,Blood Crypt,Berserk,Extirpate,Rune-Scarred Demon,Thought Scour,Sword of Feast and Famine,Platinum Angel,Forbidden Orchard
34,Ral Zarek,Vines of Vastwood,Devour Flesh,Protean Hulk,Surgical Extraction,Dryad Arbor,Karn Liberated,Mind's Desire
35,"Daretti, Scrap Savant",Seedtime,Bloodgift Demon,Sunken Ruins,Disrupt,Avacyn's Pilgrim,Eye of Ugin,Goblin Electromancer
36,River of Tears,Invigorate,Phyrexian Negator,Underground River,Combust,Sylvan Library,"Kozilek, Butcher of Truth",Past in Flames
37,Bribery,Bonesplitter,Nyxathid,Darkblast,Dispel,Armageddon,Myr Battlesphere,Remand
38,Balance,Plague Myr,Cadaverous Bloom,Woodfall Primus,Mindbreak Trap,Terastodon,Steel Hellkite,Manamorphose
39,Annul,Mutagenic Growth,Desecration Demon,Blazing Archon,Energy Flux,Reclamation Sage,Thopter Assembly,Rebuild
40,Vault of Whispers,Simic Charm,Sphere of the Suns,Helm of Obedience,Sudden Shock,"Elspeth, Knight-Errant",Ratchet Bomb,Shrivel
41,Galvanic Key,Blight Mamba,Golgari Signet,Exhume,Smelt,Loxodon Smiter,Duplicant,Peer Through Depths
42,Scrubland,Sapphire Charm,Drown in Sorrow,Phyrexian Obliterator,Grim Lavamancer,Deathrite Shaman,Uba Mask,Rest in Peace
43,Plateau,Become Immense,Tainted Sigil,Slaughter Pact,Price of Progress,Temple Garden,Goblin Welder,Bojuka Bog
44,Orim's Chant,Groundswell,Notion Thief,Bane of Progress,False Summoning,Karakas,Copper Gnomes,Grapeshot
45,Tidehollow Sculler,Giant Growth,Mind Stone,Life // Death,Flame Slash,Oblivion Ring,Sphere of Resistance,Arcane Denial
