,1. Georg,2. Sindre,3. Gøran,4. Torgeir,5. Thomas,6. Jon Magnus,7. Jonas,8. Mikkel
14,Wheel of Fortune,Lotus Petal,Mox Opal,"Jace, Vryn's Prodigy",Expressive Iteration,Arid Mesa,Caves of Chaos Adventurer,Seachrome Coast
15,"Sheoldred, the Apocalypse","Boseiju, Who Endures",Lodestone Golem,Umezawa's Jitte,Third Path Iconoclast,Inquisition of Kozilek,Fable of the Mirror-Breaker,Collector Ouphe
16,Dig Through Time,Once Upon a Time,Mycosynth Lattice,Lingering Souls,Spirebluff Canal,Duress,Red Elemental Blast,Serum Visions
17,Mana Leak,Force of Vigor,Sensei's Divining Top,Watery Grave,Dragon's Rage Channeler,Abrade,Loran of the Third Path,Blue Elemental Blast
18,Toxic Deluge,Time Spiral,Fiery Islet,Talisman of Progress,"Lutri, the Spellchaser",Deathrite Shaman,Skyclave Apparition,Thought Scour
19,Fact or Fiction,Upheaval,Arcum's Astrolabe,Lion Sash,Mercurial Spelldancer,"Comet, Stellar Pup",Archon of Emeria,True-Name Nemesis
20,Pithing Needle,Noble Hierarch,"Karn, Scion of Urza",Mulldrifter,Monastery Swiftspear,Green Sun's Zenith,Plateau,Celestial Colonnade
21,The Tabernacle at Pendrell Vale,Waterlogged Grove,Wurmcoil Engine,Thraben Inspector,Faithless Looting,Scavenging Ooze,City of Traitors,Oust
22,Xander's Lounge,"Yavimaya, Cradle of Growth",Grindstone,"Skrelv, Defector Mite",Chain Lightning,Ignoble Hierarch,Sacred Foundry,Yavimaya Coast
23,Lion's Eye Diamond,Finale of Devastation,Painter's Servant,Azorius Signet,Fireblast,Dauthi Voidwalker,"Eiganjo, Seat of the Empire",Stony Silence
24,"Birgi, God of Storytelling",Barkchannel Pathway,Shenanigans,Bribery,Den of The Bugbear,Endurance,Cavern of Souls,Chalice of the Void
25,Thassa's Oracle,Joraga Treespeaker,Trinisphere,Balance,Riverglide Pathway,Crucible of Worlds,Touch the Spirit Realm,Supreme Verdict
26,Gitaxian Probe,Talisman of Curiosity,Goblin Engineer,Gush,Bonecrusher Giant,Ramunap Excavator,Celestial Purge,Thieving Skydiver
27,Windfall,Primeval Titan,Goblin Welder,Sanctifier en-Vec,Sulfuric Vortex,Abrupt Decay,"Thalia, Guardian of Thraben","Teferi, Hero of Dominaria"
28,Mind Twist,Worldly Tutor,Soul-Guide Lantern,Batterskull,"Otawara, Soaring City",Allosaurus Shepherd,Luminarch Aspirant,Ethereal Forager
29,Shivan Reef,Fyndhorn Elves,Tezzeret the Seeker,Ossification,"Sokenzan, Crucible of Defiance","Grist, the Hunger Tide",Thought-Knot Seer,cRyPtIc CoMmAnD
30,Hurkyl's recall,Dispel,Trinket Mage,Sword of Fire and Ice,Play with Fire,"Urborg, Tomb of Yawgmoth",By Force,Shark Typhoon
31,Manamorphose,Arbor Elf,Thought Monitor,Manifold Key,Soul-Scar Mage,Taiga,Sunbaked Canyon,Mystic Gate
32,Vampiric Tutor,Lotus Cobra,Seat of the Synod,"Soundwave, Sonic Spy",Dreadhorde Arcanist,Outland Liberator,Battlefield Forge,Serenity
33,Standstill,Courser of Kruphix,Great Furnace,Hard Evidence,Shattering Spree,Dark Depths,Unlicensed Hearse,"Tomik, Distinguished Advokist"
34,Creeping Tar Pit,Carnage Tyrant,Thoughtcast,Smuggler's Copter,Lava Spike,Questing Beast,Rishadan Port,Adarkar Wastes
35,Miscalculation,"Rofellos, Llanowar Emissary",Kappa Cannoneer,Retrofitter Foundry,Bomat Courier,Thespian's Stage,Rolling Earthquake,Hydroblast
36,Kolaghan's Command,Natural Order,"Sai, Master Thopterist",Ethersworn Canonist,Invasive Surgery,Crop Rotation,Eldrazi Displacer,Hengegate Pathway
37,"Venser, Shaper Savant",Progenitus,Mystic Forge,"Lavinia, Azorius Renegade",Murktide Regent,"Valki, God of Lies",Blood Sun,Gut Shot
38,Visions of Beyond,"Atraxa, Grand Unifier",Galvanic Blast,Transmute Artifact,Sleight of Hand,Fatal Push,Active Volcano,Fateful Absence
39,Jeska's Will,"Kozilek, Butcher of Truth",Ensnaring Bridge,Sphinx of the Steel Wind,Smash to Smithereens,Vampire Hexmage,Rugged Prairie,"Ashiok, Dream Render"
40,Fiery Confluence,Sakura-Tribe Elder,Inventors' Fair,"Dennick, Pious Apprentice",Sprite Dragon,Grief,Reality Smasher,Aether Gust
41,Phyrexian Metamorph,Conduit of Worlds,Artificer Class,Fracture,Vandalblast,Liliana of the Veil,Blood Moon,Savannah
42,Hostage Taker,Show and Tell,Yawgmoth's Will,Deafening Silence,Rending Volley,"Titania, Protector of Argoth",Ash Barrens,Library of Alexandria
43,Chromatic Star,Zuran Orb,Spine of Ish Sah,Fragmentize,Pyrite Spellbomb,The Gitrog Monster,Eldrazi Temple,The Wandering Emperor
44,Feed the Swarm,"Uro, Titan of Nature's Wrath","Padeem, Consul of Innovation",Inkwell Leviathan,Experimental Frenzy,City of Brass,Inspiring Vantage,Fractured Identity
45,Reanimate,Omniscience,Liquimetal Coating,Clowning Around,Relic of Progenitus,Reclamation Sage,Spirit of the Labyrinth,Energy Flux
