,Sphagan,STI,Matt,Devon,Quincy,Josh,Ever,Ian
19,Kolaghan's Command,Show and Tell,City of Traitors,Imperial Recruiter,Sneak Attack,Brain Freeze,Scavenging Ooze,Oracle of Mul Daya
20,Phyrexian Metamorph,"Atraxa, Grand Unifier",Karplusan Forest,Expressive Iteration,Arcane Artisan,Thassa's Oracle,Pest Infestation,Crucible of Worlds
21,Mishra's Workshop,"Otawara, Soaring City",Containment Priest,Swiftwater Cliffs,Oath of Druids,Demonic Consultation,Bayou,Ramunap Excavator
22,Baleful Mastery,"Lutri, the Spellchaser",Force of Vigor,Steam Vents,Arcum's Astrolabe,Mana Confluence,Mawloc,Knight of the Reliquary
23,"Urborg, Tomb of Yawgmoth",Balance,Simian Spirit Guide,Surgical Extraction,Archon of Cruelty,City Of Brass,Maddening Hex,Prismatic Ending
24,Bonecrusher Giant,Hydroblast,Rest in Peace,Vendilion Clique,Tormod's Crypt,Yawgmoth's Will,Blood Moon,Solitude
25,Animate Dead,Esper Sentinel,Brushland,Serum Visions,Swan Song,Street Wraith,Blackcleave Cliffs,Haywire Mite
26,Graven Cairns,Dig Through Time,Loran of the Third Path,Silverbluff Bridge,Cascade Bluffs,An Offer You Can't Refuse,Sulfurous Springs,Expedition Map
27,Opposition Agent,Subtlety,Archon of Emeria,Cryptic Command,Mystic Confluence,Frantic Search,Dragon's Rage Channeler,Tireless Tracker
28,Passageway Seer,Submerge,Goblin Rabblemaster,Cunning Wish,Ketria Triome,Chain of Vapor,Dread Fugue,Augur of Autumn
29,Haunted Ridge,"Emrakul, The Promised End",Legion Warboss,Xander's Lounge,Punishing Fire,Gamble,Ignoble Hierarch,Gaea's Cradle
30,"Tourach, Dread Cantor",Omniscience,Trinisphere,Pact of Negation,Miscalculation,Memory Lapse,Questing Beast,Sylvan Safekeeper
31,Waste Not,Merchant Scroll,Reality Smasher,Seat of the Synod,Forbidden Orchard,Cabal Ritual,Nurturing Peatland,Life From the Loam
32,"Kroxa, Titan of Death's Hunger",Null Rod,Seasoned Dungeoneer,Great Furnace,Grove of the Burnwillows,Fiery Islet,Tear Asunder,Manifold Key
33,Dark Deal,Adarkar Wastes,Battlefield Forge,Izzet Signet,Stormcarved Coast,Rain of Filth,Abrupt Decay,Horizon Canopy
34,Skullclamp,Seachrome Coast,Elvish Spirit Guide,Spirebluff Canal,Bribery,Flusterstorm,Bloodbraid Elf,Field of the Dead
35,Mycosynth Lattice,Hengegate Pathway,Sylvan Library,Raze the Effigy,Botanical Sanctum,Darkslick Shores,Murderous Rider,Rishadan Port
36,Ensnaring Bridge,Blue Elemental Blast,Birds of Paradise,Arcane Proxy,Flooded Grove,Underground River,Overgrown Tomb,Zuran Orb
37,Toxic Deluge,Peek,Jetmir's Garden,Mizzium Mortars,Ancient Grudge,The Tabernacle at Pendrell Vale,Plague Engineer,Dryad Arbor
38,Helm of Obedience,Dress Down,Kaldra Compleat,Rootwater Thief,Frostboil Snarl,Riverglide Pathway,Tarmogoyf,Oswald Fiddlebender
39,Phyrexian Dragon Engine,Mindbreak Trap,Umezawa's Jitte,Vapor Snag,Grafdigger's Cage,Defense Grid,Cindervines,"Azusa, Lost but Seeking"
40,Painter's Servant,Soul-Guide Lantern,March of Otherworldly Light,Relic of Progenitus,Brotherhood's End,Blightstep Pathway,Unholy Heat,Birthing Pod
41,Grindstone,Dismember,Noble Hierarch,Displacer Kitten,Mystical Dispute,Clearwater Pathway,Sudden Edict,"Lavinia, Azorius Renegade"
42,Dragonskull Summit,Annul,The Stone Brain,Grim Lavamancer,Vineglimmer Snarl,Tainted Pact,Ziatora's Proving Ground,"Kozilek, Butcher of Truth"
43,March of Wretched Sorrow,Arcane Denial,Chalice of the Void,Ghost Quarter,Beast Within,Snuff Out,Agonizing Remorse,"Thrun, the Last Troll"
44,Rakdos Charm,Sea Gate Restoration,Anointed Peacekeeper,Acid Rain,Through the Breach,Hope of Ghirapur,"Sokenzan, Crucible of Defiance",Living Wish
45,Castle Locthwain,Dovin's Veto,Sacred Foundry,Counterflux,Cyclonic Rift,Mount Doom,Fatal Push,Manabond
,Boil,Back to Basics,Cankerbloom,Sorcerous Spyglass,Aether Gust,Echoing Truth,Blood Sun,Bojuka Bog
