,Dan Magnin,Alex Wiggins,Adam Varner,Matt Welch,Josh Smith,Andrew Swift,Kevin Freeman,Patrick Bargeon
30,Spirebluff Canal,trumpeting carnosaur,mox opal,Watery Grave,deathrite shaman,Cabal Therapy,geological appraiser,Tishana's Tidebinder
31,Expressive Iteration,natural order,arcum's astrolabe,Shivan Reef,"ashiok, dream render",Godless Shrine,"florian, voldaren scion",Prismari Command
32,mystic confluence,craterhoof behemoth,metallic rebuke,Unmask,breeding pool,Phyrexian Revoker,impact tremors,Treasure Cruise
33,Brotherhood's End,"migloz, maze crusher",portable hole,Mana Confluence,tireless tracker,Young Pyromancer,"ojer axonil, deepest might",Winds of Abandon
34,chain lightning,green sun's zenith,soul-guide lantern,City of Brass,tangle wire,Toxic Deluge,spiteful visions,Dress Down
35,pyroclasm,cindervines,"karn, scion of urza",Exhume,thieving skydiver,Boil,blackcleave cliffs,Sacred Foundry
36,Cast into the fire,shifting ceratops,"emry, lurker of the loch",Imperial Seal,ramunap excavator,Meltdown,smoldering marsh,Unexpectedly Absent
37,Muddle the Mixture,taiga,seat of the synod,Riverglide Pathway,joraga treespeaker,Lingering Souls,monastery swiftspear,poppet stitcher
38,Frostboil Snarl,gaea's cradle,thought monitor,Careful Study,"venser, shaper savant",Bloodchief's Thirst,soul-scar mage,Virtue of Loyalty
39,Sulfur Falls,jetmir's garden,ancient den,"Iona, Shield of Emeria",wurmcoil engine,Opposition Agent,light up the stage,Mystic Sanctuary
40,Cascade Bluffs,"domri, anarch of bolas",echoing truth,Liliana of the Veil,chain of vapor,Torpor Orb,goblin guide,Crucible of Worlds
41,Divert,angel's grace,city of traitors,Dread Fugue,surgical extraction,Everybody Lives!,scalding viper,"Eiganjo, Seat of the Empire"
42,Grafdigger's Cage,cankerbloom,ghostly prison,Into the Roil,upheaval,Ensnaring Bridge,maddening hex,Defabricate
43,Glen Elendra Archmage,stomping ground,ingenious smith,Underground River,defense grid,Fracture,skullcrack,Khenra Spellspear
44,Boomerang,wheel of fortune,palace jailer,Clearwater Pathway,zuran orb,Helm of Obedience,goblin chainwhirler,Opt
45,Kozilek's Return,tsunami,fractured identity,Collective Brutality,waterlogged grove,Rest in Peace,spikefield hazard,Sevinne's Reclamation
46,Stormcarved Coast,"yavimaya, cradle of growth",urza's bauble,Tainted Indulgence,thought scour,Moat,"kruphix, god of horizons","Urza, Lord Protector"
