,Nate,Hoey,Leigh,Cam,DJ,Tay,Morse,Ben
24,Ideas Unbound,Foil,Ethersworn Canonist,Spellstutter Sprite,Mental Note,Boil,Glacial Chasm,Tezzeret the seeker
25,City of Brass,"Talrand, Sky Summoner",Mesmeric Fiend,Think Twice,Chill,Hellspark Elemental,Plateau,Swan Song
26,Gemstone Mine,Standstill,Sword of Fire and Ice,Hydroblast,"Elesh Norn, Grand Cenobite",Stromkirk Noble,Horizon Canopy,Baleful Strix
27,City of Solitude,Gut Shot,Brain Maggot,Stifle,"Iona, Shield of Emeria",Phyrexian revoker,Mishra's factory,Talisman of Dominance
28,Personal Tutor,Misdirection,Mother of Runes,Negate,Exhume,Sulfuric Vortex,Mutavault,Impulse
29,Brain freeze,Hooting Mandrills,Cavern of Souls,Vedalken Shackles,Echoing Truth,Hellrider,Knight of the Reliquary,Thopter Foundry
30,Slice and Dice,Frost Walker,Rest in Peace,Cryptic Command,Lim-Dûl's Vault,Ankh of Mishra,Pyroclasm,Sword of the meek
31,Massacre,Snapback,Tidehollow Sculler,Isochron Scepter,Buried Alive,Manic Vandal,Barbarian Ring,Toxic Deluge
32,Mind's Desire,Phantasmal Bear,Aven Mindcensor,Spire Golem,Sphinx of the Steel Wind,Lava Spike,Tranquil Thicket,Creeping Tar Pit
33,Memory Jar,Quirion Dryad,Spirit of the Labyrinth,Exclude,"Jin-Gitaxias, Core Augur",Fireblast,Forgotten Cave,Aether Spellbomb
34,Pyrite Spellbomb,Divert,Grand Abolisher,Cyclonic Rift,Worldgorger Dragon,Skullcrack,Secluded Steppe,Doom Blade
35,Auriok Salvagers,Hallowed Fountain,Sin Collector,Master of Waves,"Oona, Queen of the Fae",Rack and Ruin,Kitchen Finks,Sundering Titan
36,Mystic Remora,Energy Flux,Disenchant,Mindbreak Trap,Drowned Catacomb,Gamble,Countryside Crusher,Myr Battlesphere
37,Carpet of Flowers,Meddling Mage,Leyline of Sanctity,"Thada Adel, Acquisitor",Chains of Mephistopheles,Ash Zealot,Ancient Grudge,Ensnaring Bridge
38,Whipflare,Ground seal,Stonecloaker,"Teferi, Mage of Zhalfir","Emrakul, the Aeons Torn",Figure of Destiny,Qasali Pridemage,Night of Souls' Betrayal
39,Dread of Night,Warmth,Aether Vial,Faerie Conclave,Leyline of the Void,"Jaya Ballard, Task Mage",Xantid Swarm,Academy Ruins
40,Faerie Macabre,Disrupt,Kor Firewalker,Fact or Fiction,Underground River,Molten Rain,Bloodstained Mire,Pact of Negation
41,Void Snare,Gainsay,Thorn of Amethyst,Nihil Spellbomb,Peat Bog,"Ulamog, the Infinite Gyre",Treetop Village,Counterbalance
42,Laboratory Maniac,Sunlance,Abolish,Threads of Disloyalty,Tendrils of Agony,Grim Lavamancer,Raging Ravine,Planar Void
43,Doomsday,Harm's Way,Eidolon of Rhetoric,Back to Basics,Sadistic Sacrament,Flame Rift,Krosan Grip,Buried Ruin
44,Meditate,Mutagenic Growth,Judge's Familiar,Curfew,Ebon Stronghold,Firefist Striker,Price of Glory,Ghost Quarter
45,Conjurer's Bauble,Naturalize,Blind Obedience,Reality Shift,Waterveil Cavern,Phyrexian Furnace,Scythe Tiger,Steel Hellkite
