,Mason,ssbaer,drpeepeepoopoomd,theRealpoBBpC,CommonOpponent,masterplum,Talanthalos,Stephen
18,Spire of Industry,crop rotation,Karakas,Pithing Needle,Bloodghast,Mana Leak,Swan Song,Arid Mesa
19,Arcbound Ravager,"Yavimaya, cradle of growth",Daze,Hexdrinker,Containment Construct,True-Name Nemesis,Chrome Mox,Plateau
20,Glimpse of Nature,Young Pyromancer,"Emry, Lurker of the Loch",Bayou,Conspiracy Theorist,Soul-Guide Lantern,Forbidden Orchard,Mycosynth Lattice
21,Memnite,risen reef,"Dovin, Hand of Control",Chain of Smog,Spell Snare,Remand,Miscast,Engineered Explosives
22,Ornithopter,worldly tutor,Breeding Pool,Sedgemoor Witch,Shivan Reef,Underground River,Nature's Claim,Battlefield Forge
23,Phyrexian Walker,endurance,Hurkyl's Recall,Murderous Rider,Hollow One,Negate,Shelldock Isle,Eldrazi Displacer
24,Springleaf Drum,"oboro, palace in the Clouds",Enlightened tutor,Hymn to Tourach,Xander's Lounge,Toxic Deluge,Flusterstorm,Adarkar Wastes
25,Thought Monitor,living twister,Hallowed Fountain,Castle Locthwain,Creeping Tar Pit,"Otawara, Soaring City",Consider,"Tomik, Distinguished Advokist"
26,Thoughtcast,Tireless provisioner,Echo of Eons,Lotus Cobra,Badlands,"Takenuma, Abandoned Mire",Mystic Sanctuary,Liquimetal Torque
27,Frogmite,ramunap Excavator,Savannah,Deathrite Shaman,Marsh Flats,Manifold Key,Serum Visions,"Kataki, War's Wage"
28,Myr Enforcer,"Chandra, Acolyte of flame",Waterlogged Grove,Nurturing Peatland,Chalice of the Void,Tezzeret the Seeker,Fire // Ice,Simian Spirit Guide
29,Sojourner's Companion,"Nissa, Steward of elements",Settle the Wreckage,Unearth,Null Rod,Opposition Agent,Chain Lightning,Sword of Fire and Ice
30,Bomat Courier,courser Of kruphix,Oath of Nissa,Thragtusk,Flashfreeze,Sudden Edict,Taiga,Sunbaked Canyon
31,Cranial Plating,Ruin crab,Collector Ouphe,Scavenging Ooze,Blood Crypt,Blue Elemental Blast,Wurmcoil Engine,Strict Proctor
32,"Zabaz, the Glimmerwasp",brushfire Elemental,Memory Jar,Choke,Infernal Reckoning,Dig Through Time,Destructive Revelry,archivist of oghma
33,Vault Skirge,manamorphose,Temple Garden,Thorn of Amethyst,"Squee, Goblin Nabob",Energy Flux,"Ulamog, the Infinite Gyre","Kozilek, Butcher of Truth"
34,Patchwork Automaton,Eureka,Rest in Peace,Gaea's Blessing,Blackcleave Cliffs,Baleful Strix,"Ulamog, the Ceaseless Hunger",Cathar Commando
35,Arcbound Worker,Griselbrand,"Gideon, Ally of Zendikar",Gloom,Deep Analysis,Clearwater Pathway,Pyroclasm,Ajani Vengeant
36,Iron Apprentice,hedron Crab,Frantic Search,Abrupt Decay,Chains of Mephistopheles,Countersquall,Bane of Progress,Damping Sphere
37,Power Depot,"Titania, protector Of argoth",Supreme Verdict,Guttural Response,Fiery Temper,Damnation,Miscalculation,"Elspeth, Knight-Errant"
38,Mishra's Workshop,price of progress,Dovin's veto,Seedtime,Kitchen Imp,Annul,Dispel,Robber of the Rich
39,Arcbound Shikari,Ketria triome,Stony Silence,Midnight Reaper,Flame Blitz,Drown in the loch,Relic of Progenitus,Lion Sash
40,Unlicensed Hearse,memory lapse,Tormod's Crypt,"Ashiok, Dream Render",Thieving Skydiver,Dress Down,Seat of the Synod,"Laelia, the Blade Reforged"
41,Foundry Inspector,destiny Spinner,"Venser, Shaper Savant",Pernicious Deed,Desolate Lighthouse,Nihil Spellbomb,Abrade,Witchbane Orb
42,"Tezzeret, Agent of Bolas","Nissa, Vastwood seer",Rhystic Study,Overgrown Tomb,Anje's Ravager,Aether Gust,Tree of Tales,Liquimetal Coating
43,Signal Pest,flamekin Harbinger,Disenchant,Blooming Marsh,Rakdos Headliner,Mystical Dispute,Beast Within,Mishra's Factory
44,Dispatch,craterhoof Behemoth,Treachery,Tainted Wood,Alms of the Vein,Fatal Push,Drop of Honey,Aven Mindcensor
45,Ancient Den,"Omnath, locus of the Roil",Natural State,Llanowar Wastes,Disciple of Deceit,Sunken Ruins,Apostle's Blessing,Defense Grid
46,"Erayo, Soratami Ascendant",scapeshift,Regrowth,Witherbloom Apprentice,Currency Converter,Tainted Indulgence,Fact or Fiction,Brought Back
