,Mason,Chad,Davy,Jim,Christ,Wes,Leo,Crayton
18,"Titania, Protector of Argoth",Treasure Cruise,Deathrite Shaman,Cascade Bluffs,Thought Scour,Unwinding Clock,Ancient Tomb,Dark Ritual
19,Eternal Witness,Restoration Angel,Horizon Canopy,Swords to Plowshares,Opt,Mana Severance,Windfall,Collective Brutality
20,Regrowth,Stoneforge Mystic,Birds of Paradise,Rest in Peace,Peek,Reshape,Dig Through Time,Cathartic Reunion
21,Restore,Batterskull,Arbor Elf,Thirst for Knowledge,Invigorate,Thoughtcast,Worn Powerstone,"Iona, Shield of Emeria"
22,Moment's Peace,Bitterblossom,Spellskite,Karakas,Become Immense,Lodestone Golem,Upheaval,Forbidden Orchard
23,"Azusa, Lost but Seeking",Creeping Tar Pit,Scavenging Ooze,Mystical Tutor,Glistener Elf,Kismet,Sorcerous Spyglass,Putrid Imp
24,Oracle of Mul Daya,Isolated Chapel,"Melira, Sylvok Outcast",Memory Lapse,Blighted Agent,"Elspeth, Sun's Champion",Pithing Needle,Sire of Insanity
25,Ghost Quarter,Looter Il-Kor,Woodland Cemetery,Lightning Bolt,Inkmoth Nexus,Refurbish,Personal Tutor,Tormenting Voice
26,Zuran Orb,Vendilion Clique,Reclamation Sage,Mana Leak,Berserk,Land Equilibrium,Power Artifact,Wheel of Fortune
27,Dismember,Shadowmage Infiltrator,Acidic Slime,Transmute Artifact,Might of Old Krosa,Whir of Invention,Sensei's Divining Top,Goryo's Vengeance
28,Field of Ruin,Path to Exile,Duskwatch Recruiter // Krallenhorde Howler,Ancestral Vision,Blossoming Defense,Icy Manipulator,"Ulamog, the Ceaseless Hunger",Firestorm
29,Tireless Tracker,Ophiomancer,Eldritch Evolution,Fabricate,Sylvan Library,Endless Horizons,Torpor Orb,Diabolic Edict
30,Rishadan Port,Sword of Fire and Ice,Loaming Shaman,Azorius Signet,Blight Mamba,Winter Orb,"Thada Adel, Acquisitor",Snuff Out
31,Exploration,Glacial Fortress,Summoner's Pact,Goblin Welder,Ichorclaw Myr,Capsize,Chalice of the Void,Inferno Titan
32,Surgical Extraction,Invisible Stalker,Terra Eternal,Monastery Mentor,Hurkyl's Recall,Trophy Mage,Karn Liberated,"Jin-Gitaxias, Core Augur"
33,Beast Within,"Venser, Shaper Savant",Rhonas the Indomitable,Isochron Scepter,Plague Myr,Ghostly Prison,Stroke of Genius,Dark Depths
34,The Tabernacle at Pendrell Vale,Drowned Catacomb,Kitchen Finks,Mystic Gate,Necropede,Ward of Bones,Seat of the Synod,Thespian's Stage
35,Maze of Ith,Dark Confidant,Collected Company,Izzet Signet,Viridian Corrupter,Static Orb,Relic of Progenitus,Vampire Hexmage
36,Crop Rotation,Geist of Saint Traft,Elves of Deep Shadow,Orim's Chant,Pendelhaven,Sculpting Steel,Serum Visions,Pack Rat
37,The Gitrog Monster,Lingering Souls,"Anafenza, Kin-Tree Spirit",Sulfur Falls,Stubborn Denial,Spine of Ish Sah,Copy Artifact,Simian Spirit Guide
38,Nature's Claim,Darkslick Shores,"Kataki, War's Wage",Helm of Obedience,Elvish Spirit Guide,Memnarch,"Ugin, the Spirit Dragon",Massacre
39,Bojuka Bog,Seachrome Coast,Renegade Rallier,Spirebluff Canal,Divert,Irrigated Farmland,Remand,Coffin Purge
40,Constant Mists,Aven Mindcensor,Walking Ballista,Ral Zarek,Gaea's Might,Prairie Stream,Repeal,Slaughter Pact
41,Golgari Rot Farm,Sunken Ruins,Gaddock Teeg,Izzet Charm,Might of Alara,Aura of Silence,Flusterstorm,Shattering Spree
42,Tranquil Thicket,Spellstutter Sprite,Mother of Runes,Sudden Shock,Foil,Gilded Lotus,Tree of Tales,Faerie Macabre
43,Barren Moor,Sword of War and Peace,Twilight Mire,Wear // Tear,Bounty of the Hunt,"Thalia, Heretic Cathar",Muddle the Mixture,Graven Cairns
44,Liliana of the Veil,Sword of Body and Mind,"Anafenza, the Foremost",Cryptic Command,Natural State,Hushwing Gryff,Simic Signet,Fatal Push
45,Harmonize,Cloudfin Raptor,Meren of Clan Nel Toth,Cunning Wish,Chain of Vapor,Staff of Nin,Mystic Confluence,Bane of Progress
