,everbrink,xxxmason1337xxx,trashboat6824,yogapantz,_mr.bishop,dmags0917,sphagan,sti1983
16,Chain Lightning,Dress Down,"Otawara, Soaring City",Grim Monolith,March of Otherworldly Light,Sensei's Divining Top,Archon of Cruelty,Brainstorm
17,Daze,Hymn to Tourach,Birds of Paradise,Painter's Servant,Phyrexian Revoker,Sylvan Library,Dance of the Dead,Plateau
18,Expressive Iteration,Snuff Out,Noble Hierarch,Defense Grid,Abrade,Collector Ouphe,Necromancy,Shelldock Isle
19,Slickshot Show-Off,"Jace, The Mind Sculptor",Mystical Dispute,Grindstone,Loran of the Third Path,Faithless Looting,Umezawa's Jitte,Underground Sea
20,Fiery Islet,Stifle,Eternal Witness,Auriok Salvagers,Archon of Emeria,Once Upon a Time,Scrubland,Lorien Revealed
21,Sprite Dragon,Subtlety,Mind Twist,Seachrome Coast,"Inti, Seneschal of the Sun",Endurance,Godless Shrine,Stomping Ground
22,Submerge,Unlicensed Hearse,Mana Confluence,"Emry, Lurker of the Loch",Containment Priest,Hexdrinker,Liliana of the Veil,Grove of the Burnwillows
23,Thundering Falls,Thought Scour,City of Brass,Adarkar Wastes,Elite Spellbinder,Crucible of Worlds,Aven Interrupter,Show and Tell
24,Blue Elemental Blast,Mental Note,"Teferi, Hero of Dominaria","Narset, Parter of Veils",Broadside Bombardiers,Ramunap Excavator,Kaldra Compleat,Channel
25,Hydroblast,Deathrite Shaman,Delighted Halfling,Chromatic Sphere,Cavern of Souls,Ignoble Hierarch,Harvester of Misery,Imperial Seal
26,Lithomantic Barrage,Watery Grave,Force of Vigor,Chromatic Star,Bonecrusher Giant,Tireless Tracker,Sevinne's Reclamation,Tainted Pact
27,Den of the Bugbear,Overgrown Tomb,Rest in Peace,Tormod's Crypt,Generous Plunderer,Hedge Maze,Shadowy Backstreet,Demonic Consultation
28,Dreadhorde Arcanist,Stubborn Denial,"Ashiok, Dream Render",Dovin's Veto,Goblin Rabblemaster,Green Sun's Zenith,Dauntless Dismantler,Manamorphose
29,Serum Visions,Street Wraith,Skullclamp,Echo of Eons,Sanctifier en-Vec,Elvish Reclaimer,Leyline of the Void,Oath of Druids
30,Flash Flood,Spell Snare,"Ashiok, Nightmare Weaver",Manifold Key,Seasoned Pyromancer,Crop Rotation,Helm of Obedience,Punishing Fire
31,Active Volcano,Fatal Push,Fractured Identity,Coveted Jewel,Bloodboil Sorcerer,Pest Infestation,Angel's Grace,"Emrakul, the Aeons Torn"
32,Consider,Death's Shadow,Displacer Kitten,Pithing Needle,"Winota, Joiner of Forces",Zuran Orb,Bone Shards,"Kozilek, the Great Distortion"
33,Price of Progress,Dismember,Prismatic Ending,Muddle the Mixture,"Anim Pakal, Thousandth Moon",Thespian's Stage,"Abdel Adrian, Gorion's Ward",Zagoth Triome
34,Fugitive Codebreaker,Toxic Deluge,Bayou,Kappa Cannoneer,Sacred Foundry,Dark Depths,Lethal Scheme,Ketria Triome
35,Fireblast,Slip Out the Back,Botanical Sanctum,Spire of Industry,Rugged Prairie,Waterlogged Grove,Concealed Courtyard,Sea Gate Restoration
36,Miscast,Nurturing Peatland,Abrupt Decay,"Lavinia, Azorius Renegade",Needleverge Pathway,Dryad Arbor,Silent Clearing,Omniscience
37,Delver of Secrets,Assassin's Trophy,Tear Asunder,Transmute Artifact,Talisman of Conviction,"Yavimaya, Cradle of Growth","Kataki, War's Wage",Mycosynth Lattice
38,Monastery Swiftspear,Mystic Sanctuary,Raffine's Tower,Hengegate Pathway,Mother of Runes,Ensnaring Bridge,"Elesh Norn, Mother of Machines",Ancient Grudge
39,Misdirection,Mana Leak,Savannah,Seat of the Synod,Cave of the Frost Dragon,Courser of Kruphix,Bovine Intervention,Nihil Spellbomb
40,Izzet Charm,Underground River,Yavimaya Coast,Aether Spellbomb,Giver of Runes,Augur of Autumn,Opposition Agent,Gemstone Caverns
41,Spirebluff Canal,Repudiate // Replicate,An Offer You Can't Refuse,Ancient Den,Null Rod,Bojuka Bog,Deafening Silence,Gemstone Mine
42,Surgical Extraction,Llanowar Wastes,Hinterland Harbor,Thought Monitor,"Tomik, Distinguished Advokist",Glacial Chasm,Lion Sash,Forbidden Orchard
43,Smash to Smithereens,Apostle's Blessing,Indatha Triome,Metallic Rebuke,Sunbaked Canyon,"Titania, Protector of Argoth","Takenuma, Abandoned Mire",By Force
44,Raze the Effigy,Ravenous Trap,Bribery,Blightsteel Colossus,"Thalia, Heretic Cathar",Sail into the West,Fetid Heath,Swan Song
45,Remand,Caustic Bronco,Ophiomancer,Thoughtcast,Wear // Tear,Banefire,Bitter Ordeal,Flooded Grove
46,Negate,Phyrexian Dreadnought,Timeless Witness,Paradoxical Outcome,Anointed Peacekeeper,Mistcutter Hydra,Vindicate,Sorcerous Spyglass
