,John Ryan Hamilton,Andrew Swift,Joe Wisdom,Stephen Hagan,Mason Lange,Daniel Zielinski,Brandon Curry,Alec Dishaw
16,Flusterstorm,Prismatic Ending,Thought Scour,Chain of Smog,Cabal Therapy,Personal Tutor,Brain Freeze,Finale of Devastation
17,Careful Study,Brazen Borrower // Petty Theft,Dreadhorde Arcanist,Witherbloom Apprentice,Endurance,Mox Opal,"Ashiok, Dream Render",Vizier of Remedies
18,Collective Brutality,Tezzeret the Seeker,"Jace, Vryn's Prodigy // Jace, Telepath Unbound",Dark Depths,Glimpse of Nature,Frantic Search,"Ashiok, Nightmare Weaver",Devoted Druid
19,Unmask,Rest in Peace,Misdirection,Thespian's Stage,Scavenging ooze,Windfall,Cryptic Command,Scurry Oak
20,Faithless Looting,Lose Focus,Negate,Null Rod,Reclamation Sage,Wheel of fortune,Mystic Sanctuary,Ivy Lane Denizen
21,"Iona, Shield of Emeria",Manifold Key,Mana Leak,Leyline of the Void,Skullclamp,Underworld breach,Dig through Time,Grand Abolisher
22,Exhume,Gainsay,Animate Dead,Defense Grid,Summoner's Pact,Spirebluff Canal,Reanimate,Ranger-Captain of Eos
23,Show and Tell,Swords to Plowshares,Lightning Bolt,"Liliana, the Last Hope",Karakas,High tide,"Emrakul, The Aeons Torn",Kitchen Finks
24,Necropotence,Stoneforge Mystic,Worldgorger Dragon,"Kozilek, Butcher of Truth",Natural Order,Turnabout,Tasha's Hideous Laughter,Viscera Seer
25,Dance of the Dead,Kaldra Compleat,Unholy Heat,"Karn, the Great Creator",Gaea's Herald,"Urza, Lord High Artificer",Shelldock Isle,"Shalai, Voice of Plenty"
26,Necromancy,Fragmentize,Force Spike,Mycosynth Lattice,Craterhoof Behemoth,Winter Orb,Fractured Sanity,Carrion Feeder
27,Archon of Cruelty,Skyclave Apparition,City of Brass,Crop Rotation,Concordant Crossroads,"Jace, Wielder of Mysteries",Archive Trap,Scrubland
28,Badlands,Prairie Stream,Nurturing Peatland,Strip Mine,Beast Whisperer,Paradigm Shift,Drown in the Loch,Temple Garden
29,Blood Crypt,Containment Priest,Blue Sun's Zenith,Cursed Totem,Waterlogged Grove,Seat of the Synod,Repeal,Horizon Canopy
30,Thought Erasure,Dovin's Veto,Root Maze,Guttural Response,Priest of Titania,Wish,Hurkyl's Recall,"Chatterfang, Squirrel General"
31,Pack Rat,Archon of Emeria,Inevitable Betrayal,Elves of Deep Shadow,"Ezuri, Renegade Leader",Rune Snag,Bitter Ordeal,Eladamri's Call
32,Rotting Regisaur,Ancient Den,Tarmogoyf,Shadow of Doubt,Collected Company,Quench,"Thada Adel, Acquisitor",Rhonas the Indomitable
33,Echoing Truth,Urza's Saga,Pithing Needle,Phyrexian Revoker,Elvish Archdruid,Expressive Iteration,Engineered explosives,Recruiter of the Guard
34,Sedgemoor Witch,Path to Exile,Gaea's Blessing,Dark Confidant,Circle of Dreams Druid,Empty the Warrens,Energy Flux,Eldritch Evolution
35,"Ragavan, Nimble Pilferer",Solitude,Sorcerous Spyglass,Toxic Deluge,Wirewood Symbiote,Laboratory Maniac,Altar of the Brood,Prowling Serpopard
36,"Elesh Norn, Grand Cenobite",Mind Stone,Seasoned Pyromancer,Despise,Quirion Ranger,Talisman of Creativity,Narset's Reversal,Duskwatch Recruiter // Krallenhorde Howler
37,Snuff Out,Aven Mindcensor,Chain of Vapor,Darkbore Pathway // Slitherbore Pathway,Elvish Visionary,Izzet Signet,"Urborg, Tomb of Yawgmoth","Yavimaya, Cradle of Growth"
38,Clearwater Pathway // Murkwater Pathway,Barkchannel Pathway // Tidechannel Pathway,Ice-Fang Coatl,Twilight Mire,Elvish Mystic,Fiery Islet,Darkslick Shores,Elvish Spirit Guide
39,"Boseiju, Who Shelters All",Hushbringer,Riverglide Pathway // Lavaglide Pathway,Llanowar Wastes,Llanowar Elves,Prismari Command,Arcane Denial,Heroic Intervention
40,Makeshift Mannequin,Tanglepool Bridge,"Thrun, the Last Troll",Witherbloom Command,Fyndhorn Elves,Manamorphose,Quicken,Display of Dominance
41,Massacre,Jwari Disruption // Jwari Ruins,Ancestral Vision,Questing Beast,Realmwalker,Isochron Scepter,Glimpse the Unthinkable,Unearth
42,Grave Titan,Enlightened Tutor,Stasis,Plague Engineer,Heritage Druid,Dramatic Reversal,Relic of Progenitus,Loaming Shaman
43,Divert,"Linvala, Keeper of Silence",Chronatog,Helm of Obedience,Nettle Sentinel,Reality shift,Tangle Wire,Safehold Elite
44,Disfigure,Sword of Feast and Famine,Frozen Aether,Deadly Brew,Elvish Promenade,Soul-guide lantern,Mesmeric Orb,Silent Clearing
45,Overmaster,Miscalculation,Crashing Footfalls,Professor Onyx,Elvish Clancaller,Tendrils of Agony,Mind's desire,Aluren
