,S.J.,A.M.,Z.C,Hyphen-ated,N.M.,C.A.,J.M.,S.F.
17,Serum Visions,Faithless Looting,"Lavinia, azorius renegade",Grindstone,hangarback walker,Grim Monolith,Flash,"ugin, the spirit dragon"
18,Shivan Reef,Inkwell Leviathan,temple garden,Mox Diamond,inkmoth nexus,Myr Battlesphere,Academy Rector,fyndhorn elves
19,Chain Lightning,Darkslick Shores,"Jace, the mind sculptor",Duress,cyclonic rift,"Teferi, Time Raveler",Mystical Tutor,"Nissa, worldwaker"
20,"Kiki-Jiki, Mirror Breaker",Prismatic Vista,fact or fiction,Enlightened Tutor,bribery,"Emrakul, the Aeons Torn",Counterspell,"Garruk, Caller of beasts"
21,Pestermite,Phyrexian Metamorph,exploration,Inquisition of Kozilek,"padeem, consul of innovation",Spellskite,Sneak Attack,coiling oracle
22,Splinter Twin,Spirebluff Canal,explore,Leyline of the Void,animation module,Ancient Stirrings,Mana Leak,fire // ice
23,Deceiver Exarch,Ensnaring Bridge,life from the loam,Rest in Peace,cryptic command,Coercive portal,Cascade Bluffs,fire-lit thicket
24,Imperial Recruiter,Vault of Whispers,Containment Priest,Dark Ritual,anguished unmaking,Mana confluence,Through the Breach,flooded grove
25,Frantic Search,Tainted Pact,nature's chant,Nature's Claim,condescend,City of brass,Blood Crypt,reclamation sage
26,Anticipate,tarnished citadel,Bazaar of Baghdad,Godless Shrine,gemstone mine,Lotus Petal,Ashen Rider,"rofellos, llanowar emissary"
27,Opt,galvanic blast,Supreme verdict,Assassin's Trophy,sensei's divining top,Impulse,Botanical Sanctum,gaea's cradle
28,Force Spike,"Daretti, scrap savant",Field of Ruin,Mind Twist,undermine,Lion's Eye Diamond,Fiery Islet,deranged hermit
29,Supreme Will,Careful Study,Grafdigger's cage,Gitaxian Probe,lightning greaves,Auriok Salvagers,Elvish Spirit Guide,goblin rabblemaster
30,Izzet Signet,transmute artifact,Crucible of worlds,Fragmentize,etched champion,Academy Ruins,Simian Spirit Guide,tarmogoyf
31,Mission Briefing,underground river,Chart a course,Vindicate,mindslaver,Glimmervoid,Shimmer of Possibility,maelstrom wanderer
32,Red Elemental Blast,blackcleave cliffs,growth spiral,Pack Rat,"Sai, master thopterist",City of Traitors,Worldspine Wurm,lightning strike
33,Pyroblast,nullstone gargoyle,winding way,Silent Clearing,dispatch,platinum angel,repudiate // replicate,risen reef
34,Sleight of Hand,phyrexian revoker,"Jace, Vryn's Prodigy // Jace, Telepath Unbound",Nurturing Peatland,sculpting steel,Tolaria West,Smelt,tarfire
35,Street Wraith,God-Pharaoh's Statue,Thought Scour,Return to Nature,conclave tribunal,Mishra's bauble,Waterlogged Grove,electrolyze
36,Sulfuric Vortex,trash for treasure,"Thalia, heretic cathar",Hymn to Tourach,basilisk collar,Urza's bauble,Aether Hub,farseek
37,True-name Nemesis,Snow-covered island,Noble Hierarch,Swords to Plowshares,scrap trawler,Tree of tales,Tendo Ice Bridge,by force
38,"Chandra, Torch of Defiance",terminate,knight of the reliquary,Ramunap Excavator,myr retriever,Ancient den,Into the Roil,naturalize
39,Fireblast,dreadbore,path to exile,Sinkhole,pithing needle,thought-knot seer,Fury Charm,springbloom druid
40,Price of Progress,snow-covered mountain,Oblivion Ring,Unmask,lotus bloom,Witchbane orb,Teferi's Puzzle Box,Sakura-tribe elder
41,Shattering Spree,Angrath's Rampage,Fracturing gust,Mesmeric Fiend,open the vaults,Oblivion Stone,Maelstrom Archangel,opposition
42,Dig Through Time,Snow-Covered swamp,wrath of god,Toxic Deluge,bitter ordeal,Kozilek's return,Protean Hulk,searing spear
43,Boomerang,Thought erasure,Manifold Key,Mana Tithe,memnarch,"Tezzeret, Agent of Bolas",The Ur-Dragon,vexing shusher
44,Fiery Confluence,Innocent Blood,Yavimaya coast,Fetid Heath,hope of ghirapur,Spine of Ish Sah,Child of Alara,palinchron
