,Max,Kyle,Adrian,Brandon,Cody,Sam,Mike,Alex
15,Elvish Spirit Guide,Swords to Plowshares,Endurance,Bayou,"Uro, Titan of Nature's Wrath",Balance,Demonic Consultation,archon of emeria
16,Scalding Tarn,Flusterstorm,Indatha Triome,Reanimate,Overgrown Tomb,"Dovin, Hand of Control",Gitaxian Probe,containment priest
17,Stomping Ground,Flooded Strand,Elves of Deep Shadow,Joraga Treespeaker,Force of Vigor,Scheming Fence,Watery Grave,solitude
18,"Boseiju, Who Shelters All",Painter's Servant,"Elesh Norn, Mother of Machines",Windswept Heath,Mercurial Spelldancer,Skyclave Apparition,Marsh Flats,palace jailer
19,"Boseiju, Who Endures",Helm of Obedience,Eternal Witness,"Yavimaya, Cradle of Growth",Drown in the Loch,Karakas,Cabal Ritual,fable of the mirror-breaker
20,Llanowar Elves,Mana Drain,Eldritch Evolution,"Urborg, Tomb of Yawgmoth","Otawara, Soaring City",Monk Class,Snuff Out,crop rotation
21,Elvish Mystic,Personal Tutor,Chord of Calling,Fury,Opposition Agent,Teferi's Protection,Duress,knight of the reliquary
22,Fyndhorn Elves,Bribery,Gilded Goose,Questing Beast,Dismember,"Teferi, Who Slows the Sunset",Collective Brutality,elvish reclaimer
23,Wall of Roots,Fractured Identity,Devoted Druid,Lotus Cobra,Toxic Deluge,Kaldra Compleat,Thirst for Knowledge,Thespian's Stage
24,Primeval Titan,The Wandering Emperor,Finale of Devastation,Oath of Nissa,Subtlety,Blightsteel Colossus,Consider,Dark Depths
25,Fire-Lit Thicket,"Jace, the Mind Sculptor",Vizier of Remedies,"Chandra, Torch of Defiance",Aether Gust,Dovin's Veto,Chain of Vapor,Red Elemental Blast
26,Trinisphere,Dress Down,Twilight MIre,Allosaurus Shepherd,Mental Misstep,Unexpectedly Absent,Echo of Eons,Pyroblast
27,"Thrun, the Last Troll",Mystic Sanctuary,Walking Ballista,Faithless Looting,Spellstutter Sprite,Mana Tithe,Mana Confluence,knight of autumn
28,Grafdigger's Cage,The Mightstone and Weakstone,Geralf's Messenger,Crucible of Worlds,Mindbreak Trap,Soul Tithe,City of Brass,prismatic ending
29,"Ulamog, the Ceaseless Hunger","Urza, Lord Protector",Blood Artist,abrade,Baleful Strix,Smothering Tithe,"Jace, Vryn's Prodigy",Leyline Binding
30,Vandalblast,"Urza, Lord High Artificer",Tear Asunder,leyline of the void,Ice-Fang Coatl,Stasis,Defense Grid,Aven Mindcensor
31,Brotherhood's End,Sapphire Medallion,Strangleroot Geist,gemstone mine,Dauthi Voidwalker,Repeal,Wishclaw Talisman,null rod
32,Carnage Tyrant,Mox Opal,"Grist, the Hunger tide","Ob Nixilis, the Adversary","Leovold, Emissary of Trest",Orim's Chant,Void Snare,ketria triome
33,Inferno Titan,Ensnaring Bridge,Pernicious Deed,Badlands,Cyclonic Rift,Judge's familiar,Grim Tutor,Savai Triome
34,Grove of the Burnwillows,Terminus,"Sheoldred, the Apocalypse",Mind twist,Hurkyl's Recall,Paladin Class,Blood Crypt,Territorial Kavu
35,Punishing Fire,Rest in Peace,Scavenging Ooze,"Kroxa, Titan of Death's Hunger",Sunken Ruins,Planar Disruption,Clearwater Pathway,Nishoba Brawler
36,"Rofellos, Llanowar Emissary",Temporal Mastery,Scrubland,Nature's claim,Reality Shift,Back to Basics,Steam Vents,Savannah
37,Priest of Titania,Pithing Needle,Collected Company,bonecrusher giant,Cursed Totem,Lion Sash,Rite of Flame,Relic of Progenitus
38,"Nykthos, Shrine to Nyx",Chalice of the Void,Dryad Arbor,plateau,Zagoth Triome,"Lavinia, Azorius Renegade",Thought Scour,Silence
39,Circle of Dreams Druid,March of Otherworldly Light,Glissa Sunslayer,tireless tracker,Tasha's Hideous Laughter,"Thalia, Guardian of Thraben",Necropotence,Blossoming Calm
40,Manamorphose,Portent,Murmuring Bosk,vexing devil,Fallen Shinobi,Ghostly Prison,Doomsday,Sacred Foundry
41,Progenitus,Supreme Verdict,"Hapatra, Vizier of Poisons",Angrath's Rampage,"Kaito, Dancing Shadow",Gideon Blackblade,Dark Petition,Legion Warboss
42,Seething Song,Spellseeker,Chain of Smog,Mycosynth Lattice,Flooded Grove,Sword of Body and Mind,Impulse,Shadowspear
43,Wurmcoil Engine,Coalition Relic,Witherbloom Apprentice,phyrexian revoker,Energy Flux,Thieving Skydiver,Pact of Negation,Orcish Lumberjack
44,Summoning Trap,Humility,Outland Liberator,Brushfire Elemental,"""Lifetime"" Pass Holder",Spirit of the Labyrinth,Slaughter Pact,Temple Garden
45,Monster Manual,Displacer Kitten,Sylvan Caryatid,Wasteland,"Dee Kay, Finder of the Lost",Arcum's astrolabe,Cabal Therapy,Haywire Mite
46,Tooth and Nail,Gilded Drake,Young Wolf,Chain Lightning,The Most Dangerous Gamer,"Skrelv, Defector Mite",Echoing Truth,Sylvan Safekeeper
