,Austen,Tyler,Mike,Cam ,Fil,nathan,Bryan,Leigh
17,Exhume,Mana Leak,Spellstutter Sprite,Inkwell Leviathan,Cryptic Command,Noble Hierarch,Windfall,Umezawa's Jitte
18,Bloodstained Mire,Marsh Flats,Deathrite Shaman,"Tezzeret, Agent of Bolas","Jace, Vryn's Prodigy",Timetwister,Defense Grid,Koth of the Hammer
19,Hazoret the Fervent,Path to Exile,Dark Confidant,Vault of Whispers,Deceiver Exarch,Inkmoth Nexus,Shelldock Isle,Eldrazi Mimic
20,Badlands,Council's Judgment,Flusterstorm,Phyrexian Metamorph,Fire/Ice,Glistener Elf,"Urborg, tomb of Yawgmoth",Metallic Mimic
21,Fatal Push,Containment Priest,Dismember,Mind Stone,Geist of Saint Traft,Pact of Negation,Night of Souls' Betrayal,Endbringer
22,"Elesh Norn, Grand Cenobite",Spell Queller,Scavenging Ooze,Steam Vents,Restoration Angel,Dispel,Sadistic Sacrament,Oblivion Sower
23,Blood Crypt,Seachrome Coast,Trygon Predator,Coalition Relic,Torrential Gearhulk,Submerge,Tendrils of Agony,Eldrazi Obligator
24,Red Elemental Blast,"Thada Adel, Acquisitor","Edric, Spymaster of Trest",Candelabra of Tawnos,Leyline of Sanctity,Nature's Claim,Unmask,Lightning Greaves
25,Abrade,Bribery,"Leovold, Emissary of Trest",Great Furnace,Censor,Tree of Tales,Chain of Vapor,Mutavault
26,Blackcleave Cliffs,Isochron Scepter,Miscalculation,Trinket Mage,Negate,Berserk,Grindstone,Coercive Portal
27,Kolaghan's Command,Orim's Chant,Abrupt Decay,Annul,Supreme Verdict,Mystic Remora,Lion's Eye Diamond,Eye of Ugin
28,Nihil Spellbomb,Pestermite,Standstill,Sorcerous Spyglass,Celestial Colonnade,Invigorate,"Jace, Memory Adept",Vile Aggregate
29,Elvish Spirit Guide,Aven Mindcensor,Faerie Conclave,Darksteel Citadel,Necropotence,Aether Spellbomb,Glimpse the Unthinkable,Endless One
30,Wretched Confluence,Mystic Confluence,Back to Nature,Talisman of Dominance,Urza's Power Plant,Blighted Agent,Archive Trap,Pia and Kiran Nalaar
31,Diabolic Edict,Memory Lapse,Mystic Snake,Storm the Vault,Logic Knot,Become Immense,Breaking/Entering,Solemn Simulacrum
32,"Iona, Shield of Emeria",Disrupt,Krosan Grip,Copy Artifact,Sacred Foundry,Ichorclaw Myr,Duskmantle Guildmage,Blood Moon
33,Shadow of Doubt,"Venser, Shaper Savant",Taiga,Grim Tutor,Vandalblast,Plague Myr,Mindcrank,Hedron Crawler
34,Vampire Hexmage,Karakas,Divert,Dark Depths,Izzet Charm,Blossoming Defense,Visions of Beyond,Pilgrim's Eye
35,Thespian's Stage,Talisman of Progress,Sylvan Library,Academy Ruins,"Tamiyo, the Moon Sage",Signal Pest,Bubbling Muck,Cultivator's Caravan
36,Boil,Sphinx's Revelation,Reclamation Sage,Glimmervoid,"Kiki-Jiki, Mirror Breaker",Bonesplitter,Brain freeze,"Chandra, Flamecaller"
37,Go For The Throat,Land Tax,Ancient Grudge,Mindbreak Trap,Wear/Tear,Grafdigger's Cage,Dimir Signet,Heart of Kiran
38,Firestorm,Scroll Rack,Stomping Ground,Swan Song,Felidar Guardian,Necropede,Consuming Aberration,Elder Deep-Fiend
39,Pack Rat,Entreat the Angels,Maelstrom Pulse,"Boseiju, Who Shelters All",Blessed Alliance,Pendelhaven,Fraying Sanity,Ruination Guide
40,Burning Wish,Cyclonic Rift,Darkslick Shores,Solemnity,Saheeli Rai,Mutagenic Growth,Mesmeric Orb,Phantasmal Image
41,Last Rites,Temporal Mastery,Twilight Mire,Noxious Revival,Cascade Bluffs,Viridian Corrupter,Laboratory Maniac,Eldrazi Skyspawner
42,Animate Dead,Terminus,"Melira, Sylvok Outcast",Platinum Angel,Mystic Gate,Vines of Vastwood,Doomsday,Fiery Confluence
43,Sire of Insanity,Meddling Mage,Ground seal,Spire of Industry,Wall of Omens,Sudden Shock,Maze of ith,Spirebluff Canal
44,Wasteland,Forbid,Snuff Out,Upheaval,Into the Roil,Revenge of the Hunted,Increasing Confusion,Herald of Kozilek
45,Pithing Needle,Gideon of the Trials,Notion Thief,Ensnaring Bridge,"Ulamog, the Infinite Gyre",Bone saw,Gemstone Caverns,Skullclamp
