,Mason,quickwit29,Mattthew.Pardonner,JasterRogue7,Jimmuh,sphagan,DrPeepeepoopooMD,sti
17,Blood Crypt,Archmage's Charm,Grindstone,Birds of Paradise,Chain Lightning,Esper Sentinel,Retrofitter Foundry,Marsh Flats
18,Dark Confidant,Counterspell,"Karn, Scion of Urza","Sheoldred, the Apocalypse",Brainstorm,Red Elemental Blast,"Ugin, the Ineffable",Dig Through Time
19,Opposition Agent,Mystic Confluence,"Teferi, Hero of Dominaria",Worldly Tutor,Bloodbraid Elf,Pyroblast,Eldrazi Mimic,Expressive Iteration
20,Young Pyromancer,Castle Vantress,True-Name Nemesis,Spellseeker,"Uro, Titan of Nature's Wrath","Laelia, the Blade Reforged",Channel,Shelldock Isle
21,Fatal Push,Aether Vial,Serum Visions,Force of Vigor,Goblin Guide,Abrade,Crop Rotation,Unholy Heat
22,Grief,Ninja of the Deep Hours,Hurkyl's Recall,Windfall,Fury,Goblin Rabblemaster,"Yavimaya, Cradle of Growth",Monastery Mentor
23,Liliana of the Veil,Shark Typhoon,Mystical Dispute,Drown in the Loch,Noble Hierarch,Skullclamp,Waterlogged Grove,Ledger Shredder
24,Bedevil,Kefnet the Mindful,An Offer you can't refuse,Assassin's Trophy,Ignoble Hierarch,March of Otherworldly Light,Nurturing Peatland,Third Path Iconoclast
25,Blackcleave Cliffs,Subtlety,Path to Exile,Demonic Consultation,Solitude,Palace Jailer,Horizon Canopy,Wasteland
26,Field of Ruin,Quickling,"Otawara, Soaring City",Watery Grave,Breeding Pool,Sunbaked Canyon,Eureka,Hallowed Fountain
27,Reanimate,Torrential Gearhulk,Manifold Key,Overgrown Tomb,Umezawa's Jitte,Batterskull,Joraga Treespeaker,Fable of the Mirror-Breaker
28,Necropotence,Faerie Conclave,"Emry, Lurker of the Loch",Zagoth Triome,Scavenging Ooze,Lion Sash,Mycosynth Lattice,Consider
29,Dark Ritual,Mutavault,Soul-Guide Lantern,Nihil Spellbomb,Wild Nacatl,Jetmir's Garden,Defense Grid,Thought Scour
30,Faithless Looting,Spellstutter Sprite,Tezzeret the Seeker,Thopter Foundry,Xander's Lounge,Temple Garden,Natural State,Mental Note
31,Griselbrand,Moon-Circuit Hacker,Transmute Artifact,Sword of the Meek,Indatha Triome,"Gideon, Ally of Zendikar",Leyline of the Void,Submerge
32,"Kroxa, Titan of Death's Hunger",Leyline of Sanctity,Aether Spellbomb,"Leovold, Emissary of Trest",Snuff Out,"Krenko, Tin Street Kingpin",Pithing Needle,Ethereal Forager
33,Misery's Shadow,Misdirection,Stony Silence,Bolas's Citadel,Tarmogoyf,Serra Paragon,Summoner's Pact,Miscast
34,Vampire Hexmage,Pongify,Pentad Prism,"Ashiok, Dream Render",Dragon's Rage Channeler,Rip Apart,Cavern of Souls,Flame Slash
35,Animate Dead,Defabricate,Seat of the Synod,Baleful Strix,Grove of the Burnwillows,Wedding Announcement,"Ugin, the Spirit Dragon",Raugrin Triome
36,Sedgemoor Witch,Stifle,Dispel,Aether Gust,Tribal Flames,Punishing Fire,Outland Liberator,Oust
37,Murderous Rider,Hydroblast,Voltaic Key,Dryad of the Ilysian Grove,Boros Charm,Phyrexian Revoker,Devoted Druid,Null Rod
38,Damnation,Aether Tradewinds,Mystic Gate,Toxic Deluge,Nishoba Brawler,Battlefield Forge,Trinisphere,Celestial Purge
39,Unburial Rites,Trickbind,Seachrome Coast,Reality Shift,Leyline Binding,Court of Grace,Decimator of the Provinces,Spirebluff Canal
40,Sire of Insanity,Snapback,Hengegate Pathway,Talisman of Dominance,Stubborn Denial,Talisman of Conviction,The Great Henge,Adarkar Wastes
41,"Urborg, Tomb of Yawgmoth",Nimble Obstructionist,Oswald Fiddlebender,Portal to Phyrexia,Territorial Kavu,"Zariel, Archduke of Avernus",City of Traitors,Blood Moon
42,Entomb,Isochron Scepter,Thought Monitor,Mirage Mirror,Scion of Draco,"Lae'zel, Vlaakith's Champion",Fiend Artisan,Shivan Reef
43,Dismember,Aetherize,Portable hole,Sunken Ruins,Maddening Hex,Kuldotha Rebirth,Endless One,By Force
44,Unmask,The Tabernacle at Pendrell Vale,Metallic Rebuke,Blightsteel Colossus,Flame Rift,Cathar Commando,Living Wish,Dreadhorde Arcanist
45,Cabal Therapy,Fact or Fiction,"Minamo, School at Water's Edge",Baleful Mastery,Tear Asunder,"Domri, Anarch of Bolas",Gaea's Cradle,Grim Lavamancer
46,Sphinx of the Steel Wind,Snow-Covered Island,Ancient Den,Verdant Command,Evasive Action,Kaldra Compleat,"Vorinclex, Monstrous Raider",Dress Down
