,Austen,Taylor,Cameron,DJ,Ben,Chris,Leigh,Tyler
16,Miscalculation,Ancestral Vision,Oath of Druids,Thirst for Knowledge,Sphere of Resistance,"Thalia, Guardian of Thraben",Plateau,Dig Through Time
17,Treasure Cruise,Cryptic Command,Forbidden Orchard,Academy Ruins,Phyrexian Revoker,Godless Shrine,Cascade Bluffs,Council's Judgment
18,Cabal Therapy,Meddling Mage,Channel,Thopter Foundry,Phantasmal Image,Oblivion Ring,Electrolyze,Geist of Saint Traft
19,Disrupting Shoal,Mystic Gate,Personal Tutor,Sensei's Divining Top,Tangle Wire,Pack Rat,Deceiver Exarch,Mana Leak
20,Red Elemental Blast,Sword of Fire and Ice,Sleight of Hand,Counterbalance,Thoughtcast,Aven Mindcensor,Restoration Angel,Temple of Enlightenment
21,Disrupt,Divert,"Boseiju, Who Shelters All",Sword of the Meek,Etched Champion,Hushwing Gryff,Fracturing Gust,Unexpectedly Absent
22,Darkslick Shores,Spellstutter Sprite,Noxious Revival,Ensnaring Bridge,Master of Etherium,Dismember,Balance,"Thassa, God of the Sea"
23,Sulfur Falls,Merchant Scroll,Seat of the Synod,Upheaval,Dispel,Isolated Chapel,Timetwister,Celestial Colonnade
24,Lightning Bolt,Nightveil Specter,Breeding Pool,Defense Grid,Darksteel Citadel,Blind Obedience,Steam Vents,Flusterstorm
25,Goblin Rabblemaster,Condescend,Peek,Karn Liberated,"Thada Adel, acquisitor",Banishing Light,"Jace, Memory Adept",Aura of Silence
26,Chain Lightning,Suppression Field,Worldly Tutor,Basalt Monolith,Containment Priest,Entomb,Bazaar of Baghdad,Grafdigger's Cage
27,Monastery Swiftspear,Master Thief,Impulse,Metalworker,Seachrome Coast,Leonin Arbiter,Chromatic Lantern,Flood Plain
28,Goblin Guide,Spellskite,Tree of Tales,Windfall,COalition relic,Murderous Cut,"Squee, Goblin Nabob",Dismantling Blow
29,Smash to Smithereens,Treachery,Hydroblast,"Erayo, Soratami Ascendant // Erayo's Essence",Coldsteel Heart,gideon jura,Cavern of souls,leyline of sanctity
30,sulfuric vortex,stifle,swan song,damping matrix,Torpor Orb,runed halo,izzet charm,glacial fortress
31,Underground River,adarkar wastes,regrowth,compulsive research,Thorn of amethyst,"linvala, keeper of silence",gorilla shaman,devout witness
32,"Tasigur, the Golden Fang",soulfire grand master,summoning trap,vault of whispers,Chill,"kataki, war's wage",gilded lotus,detention sphere
33,thought scour,blade splicer,blue elemental blast,talisman of dominance,talisman of progress,dark ritual,staff of domination,curfew
34,vapor snag,faerie conclave,hinterland harbor,"tezzeret, agent of bolas",relic of progenitus,yawgmoth's will,myr welder,jace beleren
35,gut shot,frost walker,Fact or Fiction,toxic deluge,Cyclonic Rift,cabal ritual,wear // tear,master of waves
36,shatterstorm,tariff,nature's claim,engineered explosives,Ancient Den,fetid heath,village bell-ringer,"tamiyo, the moon sage"
37,firedrinker satyr,disenchant,krosan grip,dimir signet,Standstill,skullclamp,chasm skulker,vedalken shackles
38,mana confluence,ghost quarter,sundering titan,riptide laboratory,Su-Chi,lingering souls,notion thief,pact of negation
39,doom blade,judge's familiar,"elesh norn, grand cenobite",echoing truth,Expedition Map,spectral procession,bloodstained mire,scroll rack
40,gurmag angler,orim's chant,gaea's blessing,drowned catacomb,Caltrops,vindicate,telemin performance,land tax
41,phantasmal bear,silence,negate,baleful strix,all is dust,seal of cleansing,badlands,wrath of god
42,foil,sower of temptation,tormod's crypt,temple of deceit,sculpting steel,raven's crime,lightning helix,"teferi, mage of zhalfir"
43,shivan reef,hero of bladehold,intuition,night of souls' betrayal,copy artifact,spirit of the labyrinth,faithless looting,forbid
44,electrickery,mana tithe,beast within,shadow of doubt,shimmer myr,kitchen finks,counterflux,temporal mastery
45,fireblast,snap,"iona, shield of emeria",slaughter pact,"karn, silver golem",desolation angel,mercurial chemister,entreat the angels
