,Jim Rae,Mason Lange,Christ Kallas,Ryan Adams,Jacob Key,Josh Richter,Jago,Dillion Draper
15,Vedalken Shackles,Tarmogoyf,Windfall,Painter's Servant,Ponder,Sylvan Library,Imperial Seal,Mirran Crusader
16,"Jace, Vryn's Prodigy // Jace, Telepath Unbound",Scavenging Ooze,Desperate Ritual,Grindstone,Treasure Cruise,Zuran Orb,Sundering Titan,Skullclamp
17,Gush,Fireblast,Pyretic Ritual,Hymn to Tourach,Toxic Deluge,Scroll Rack,Trinket Mage,Umezawa's Jitte
18,Counterbalance,Ancient Grudge,Seething Song,Birds of Paradise,Terminate,Pyroblast,Ancestral Vision,Standstill
19,Sensei's Divining Top,Goblin Rabblemaster,Manamorphose,Eternal Witness,"Ashiok, Nightmare Weaver","Emrakul, the Aeons Torn","Ulamog, the Ceaseless Hunger",Hallowed Fountain
20,Glen Elendra Archmage,Burning-Tree Emissary,Candelabra of Tawnos,Progenitus,Mana Leak,Show and Tell,Portent,Mana tithe
21,Spell Snare,Goblin Guide,Mishra's Workshop,Elves of Deep Shadow,Slaughter Pact,"Ulamog, the Infinite Gyre",Noxious Revival,Mishra's Factory
22,Library of Alexandria,Jund Hackblade,Pact of Negation,Snuff Out,Cryptic Command,"Kozilek, Butcher of Truth",Negate,Mutavault
23,Faerie Conclave,Experiment One,Simian Spirit Guide,Gaea's Cradle,Jace Beleren,Tropical Island,Gilded Drake,Glacial Fortress
24,Spellstutter Sprite,Hellrider,Pentad Prism,Faerie Macabre,Nightveil Specter,Breeding Pool,Unsubstantiate,Aether Vial
25,Karakas,Mana Confluence,City of Brass,Choke,Sower of Temptation,Torpor Orb,Compulsive Research,Mother of Runes
26,Riptide Laboratory,Figure of Destiny,Repeal,Crop Rotation,Serum Visions,Wurmcoil Engine,Bribery,Armageddon
27,Hydroblast,Tin Street Hooligan,UNKNOWN,"Thrun, the Last Troll",Dualcaster Mage,Rolling Earthquake,animate dead,Geist of Saint Traft
28,Dig Through Time,Rakdos Cackler,Gitaxian Probe,Bitterblossom,Harbinger of the Tides,"Daretti, Scrap Savant",Inkwell Leviathan,Port Town
29,Chalice of the Void,Tattermunge Maniac,Flusterstorm,The Tabernacle at Pendrell Vale,Remand,Guttural Response,Fact or Fiction,Sword of Body and Mind
30,Threads of Disloyalty,Atarka's Command,Steam Vents,Green sun's zenith,Stratus Dancer,Red Elemental Blast,Bazaar of Baghdad,Silverblade Paladin
31,Control Magic,Reclamation Sage,Metalworker,Dryad Arbor,Pestermite,Goblin Welder,Read the Bones,Restoration Angel
32,Old Man of the Sea,Bloodbraid Elf,Tezzeret the seeker,"Urborg, Tomb of Yawgmoth",Splinter Twin,Myr Battlesphere,Elvish Spirit Guide,Gideon's Lawkeeper
33,Misdirection,Become Immense,Shivan Reef,Craterhoof Behemoth,Deceiver Exarch,"Titania, Protector of Argoth",Transmute Artifact,Blade Splicer
34,Miscalculation,Kird Ape,Mind over Matter,Noble Hierarch,"Kiki-Jiki, Mirror Breaker",Rootbound Crag,Muddle the Mixture,Adarkar Wastes
35,Dismember,Dryad Militant,Sleight of Hand,Chord of Calling,Sulfur falls,Hinterland Harbor,Dimir Infiltrator,Oblivion Ring
36,Pithing Needle,Treetop Village,Tolaria West,Phyrexian Obliterator,Memory Lapse,Regrowth,Aphetto Alchemist,MEddling Mage
37,Impulse,Lifebane zombie,Izzet Signet,Bane of Progress,Dragonskull Summit,Gorilla Shaman,Underground River,Detention Sphere
38,Back to Basics,Ground Seal,Cascade Bluffs,Twilight Mire,Bonfire of the Damned,Fire-lit Thicket,Choked Estuary,Orim's Chant
39,Piracy Charm,Burning-Tree Shaman,Tsabo's Web,Thespian's stage,Dispel,Pyroclasm,Cabal Ritual,Containment Priest
40,Foil,Ghor-Clan Rampager,Reforge the Soul,Woodland Cemetery,Chaos Warp,Orcish Lumberjack,Drowned Catacomb,Mystic Gate
41,Daze,Cabal Therapy,Turnabout,Mindbreak Trap,Zealous Conscripts,Tree of Tales,Grafdigger's Cage,Isochron Scepter
42,Psionic Blast,Flinthoof Boar,Fatestitcher,Leyline of the Void,Damnation,Great Furnace,Mulldrifter,Moorland Haunt
43,Force Spike,Mutagenic Growth,Laboratory Maniac,Tainted Wood,Phyrexian Metamorph,Anger of the Gods,Stranglehold,"Elspeth, Knight-Errant"
44,Spellskite,Stingscourger,Liliana's Caress,Golgari Charm,Sulfurous Springs,Nature's Claim,Dance of the dead,"Gideon, Ally of Zendikar"
45,Treachery,Nacatl Outlander,Blue Sun's Zenith,Mesmeric Fiend,"Chandra, Pyromaster",Lumbering Falls,Lightning Greaves,Champion of the Parish
