,Red Beard,Patrick,Chad,Luke,Peter,Mark,Kevin,Heidi
17,Brain Freeze,Orim's Chant,Vendilion Clique,Kaldra Compleat,Breeding Pool,Duress,"Ebondeath, Dracolich",defense grid
18,Commit // Memory,Library Of Alexandria,swords to plowshares,Thopter Foundry,Bojuka bog,Ancient Tomb,"Olivia, Crimson Bride",izzet signet
19,Remand,Godless Shrine,"Jace, Vryn's Prodigy // Jace, Telepath Unbound",sword of the meek,Island of Wak-Wak,Inventors' Fair,Leyline of the Void,goblin engineer
20,Steam Vents,"Elesh Norn, Grand Cenobite",mana leak,Scavenging Ooze,Leyline Prowler,Dauthi Voidwalker,Damping Sphere,grafdigger's cage
21,By Force,Hypnotic Specter,"Search for Azcanta // Azcanta, the Sunken Ruin",Gitaxian Probe,"Davriel, Rogue Shadowmage",Enlightened Tutor,Pithing Needle,red elemental blast
22,Preordain,Dark Depths,"kataki, war's wage",Cryptic Command,"Ashiok, Nightmare Weaver",Opposition Agent,Pyroblast,faithless looting
23,Expressive Iteration,Vampire Hexmage,"dovin, hand of control",Stoneforge Mystic,"Liliana, Dreadhorde General",Grindstone,Vandalblast,foundry inspector
24,Frantic Search,Wurmcoil Engine,monastery mentor,Savannah,Karn's Bastion,Mycosynth Lattice,Kolaghan's Command,bomat courier
25,Mystical Dispute,Nighthawk Scavenger,containment priest,Council's Judgment,"Uro, Titan of Nature's Wrath",Rest in Peace,Harsh Mentor,myr retriever
26,Null Rod,"Avacyn, Angel of Hope",Tundra,windswept heath,Vampire Nighthawk,Balance,Blightning,hope of Ghirapur
27,Brazen Borrower // Petty Theft,Imp's Mischief,Karakas,Hallowed Fountain,Heroic Intervention,Helm of Obedience,Bitter Ordeal,torrential gearhulk
28,Thassa's Oracle,"Iona, Shield of Emeria",archmage's charm,Sword of Fire and Ice,Lurrus of the Dream-Den,Basalt Monolith,"Lutri, the spellchaser","zirda, the dawnwaker"
29,Lion's Eye Diamond,Night's Whisper,serum visions,Tormod's Crypt,Sinkhole,Chains of Mephistopheles,Bonecrusher Giant  // Stomp,"daretti, scrap savant"
30,Thought Scour,Lightning Greaves,memory lapse,Sword of feast and famine,Oath of Liliana,"Thalia, Guardian of Thraben","Florian, Voldaren Scion",chromatic star
31,Faerie Macabre,Disenchant,act of authority,Revoke Existence,Mind Drain,"Karn, Scion of Urza",Graven Cairns,Goblin Welder
32,Engulf the Shore,Doom Whisperer,dismember,Seachrome Coast,Waste not,Pack Rat,Blackcleave Cliffs,Thought-Knot Seer
33,Hurkyl's Recall,Anguished Unmaking,fact or fiction,Botanical Sanctum,"Tergrid, God of Fright // Tergrid's Lantern",Cursed Totem,Dualcaster Mage,Dragon's Rage Channeler
34,Arid Mesa,Grand Abolisher,mystic gate,Darkslick Shores,"Tourach, Dread Cantor",Prismatic Ending,Twinflame,Aether Spellbomb
35,Ketria Triome,Baneslayer Angel,ceremonious rejection,Zagoth Triome,Hexdrinker,Lodestone Golem,Rakdos Charm,cyclonic rift
36,Fiery Islet,Living Death,treasure cruise,Razorverge Thicket,Aether Tradewinds,Esper Sentinel,Fry,tezzeret the seeker
37,"Niv-Mizzet, Parun",Hushbringer,treachery,Death's Shadow,Reality acid,The Abyss,Mimic Vat,pyrite spellbomb
38,Reality Shift,Stitcher's Supplier,glacial fortress,Assassin's Trophy,Tradewind Rider,Phyrexian Revoker,Inferno Titan,Galazeth Prismari
39,Pact of Negation,Undead Butler,flusterstorm,Abrupt Decay,Vedalken Mastermind,Leyline of Sanctity,Noxious Gearhulk,"gadrak, the crown-scourge"
40,Commandeer,Umezawa's Jitte,sower of temptation,Tarmogoyf,Maze of Ith,Peacekeeper,Heartless Summoning,manifold key
41,Collector Ouphe,Wasteland,isochron scepter,Ghost Quarter,Evolution sage,Mishra's Workshop,Scourge of Valkas,subtlety
42,Sorcerous Spyglass,Recurring Nightmare,divert,Batterskull,Bloom Hulk,Ancient Den,Rakdos Signet,dockside extortionist
43,Whir of Invention,Silent Clearing,settle the wreckage,Ice-fang Coatl,Burglar Rat,Brightclimb Pathway // Grimclimb Pathway,Haunted Ridge,Krark-clan ironworks
44,Spirebluff Canal,Isolated Chapel,cleansing nova,Snow-Covered Island,Glimpse the Unthinkable,Vault of Whispers,Blightstep Pathway // Searstep Pathway,Karn Liberated
45,"Venser, Shaper Savant",Caves Of Koilos,bribery,Relic of Progenitus,Archive Trap,Mind Stone,Dragonskull Summit,myr moonvessel
46,riptide laboratory,Cabal Ritual,"teferi, hero of dominaria","Emrakul, the Aeons Torn",Mind grind,"Ulamog, the Infinite Gyre",Demanding Dragon,thought monitor
