,trashboat6824,bensonericb,xxxmason1337xxx,wanderingwinder,everbrink,masterplum,sphagan,jasterrogue7
22,Force of Vigor,Library of Alexandria,Shadowspear,Tundra,Imperial Seal,Shivan Reef,Scrubland,Collector Ouphe
23,Courser of Kruphix,Gush,Ancient Grudge,Dance of the Dead,Mana Confluence,Fiery Islet,City of Brass,Kaldra Compleat
24,Remand,Spellseeker,Pithing Needle,Mystical Dispute,Blood Crypt,Prismari Command,Savai Triome,"Heliod, Sun-Crowned"
25,Reprieve,Intuition,Bayou,"Atraxa, Grand Unifier",Arcum's Astrolabe,Lorien Revealed,Unlicensed Hearse,Jetmir's Garden
26,Phyrexian Metamorph,Pact of Negation,Tear Asunder,Griselbrand,Chaos Defiler,Third Path Iconoclast,Recurring Nightmare,"Thrun, the Last Troll"
27,Hallowed Fountain,Cascade Bluffs,Stomping Ground,Archon of Cruelty,Goblin Welder,Riverglide Pathway,Battlefield Forge,Finale of Devastation
28,Ruin Crab,Thought Scour,Shatterskull Smashing,Troll of Khazad-dum,Goblin Engineer,Young Pyromancer,Check for Traps,Hope of Ghirapur
29,"Oboro, Palace in the Clouds",Surgical Extraction,Maelstrom Pulse,Dovin's Veto,Fatal Push,Murktide Regent,Eldrazi Displacer,March of Otherworldly Light
30,Ramunap Excavator,Darkslick Shores,Grove of the Burnwillows,"Emrakul, the Aeons Torn",Ash Barrens,Relic of Progenitus,Mind Twist,Wear // Tear
31,"Teferi, Hero of Dominaria",Blackcleave Cliffs,Punishing Fire,Ertai Resurrected,Manifold Key,Soul-Guide Lantern,Rugged Prairie,Indatha Triome
32,Spara's Headquarters,Wishclaw Talisman,"Grist, the Hunger Tide",Show and Tell,Triplicate Titan,Sulfur Falls,Caves of Koilos,Overgrown Tomb
33,Containment Priest,Defense Grid,Ophiomancer,Goryo's Vengeance,Nihil Spellbomb,Goblin Rabblemaster,"Thalia, Guardian of Thraben",Crop Rotation
34,Breeding Pool,Impulse,Mawloc,Collective Brutality,Specter's Shriek,Dress Down,Fetid Heath,Samwise Gamgee
35,Horizon Canopy,Gemstone Mine,Nurturing Peatland,Godless Shrine,Gemstone Caverns,Submerge,Concealed Courtyard,Cathar Commando
36,Exploration,Filter Out,Bitterblossom,Null Rod,Mindbreak Trap,Phantasmal Image,Charming Prince,"Zirda, the Dawnwaker"
37,Waterlogged Grove,Sulfur Vent,"Tourach, Dread Cantor",Cling to Dust,Izzet Charm,Sprite Dragon,Graveyard Trespasser,Conduit of Worlds
38,Zuran Orb,Lim-Dul's Vault,Grafdigger's Cage,Bone Shards,Chromatic Star,Daze,Cemetery Gatekeeper,Survival of the Fittest
39,Crucible of Worlds,Manamorphose,Mycosynth Lattice,Sorcerous Spyglass,Dread Fugue,Blood Moon,Brightclimb Pathway,Cindervines
40,Glacial Chasm,Clearwater Pathway,"Starscream, Power Hungry","Vohar, Vodalian Desecrator",Blightstep Pathway,Magus of the Moon,Agonizing Remorse,Apostle of Purifying Light
41,Spell Queller,Feed the Swarm,"Kozilek, Butcher of Truth",Annul,Frostboil Snarl,Steel Sabotage,"Otharri, Suns' Glory",Allosaurus Shepherd
42,Yavimaya Coast,Reflecting Pool,Snuff Out,Ashen Rider,Underground River,Flame Slash,Loran of the Third Path,Immolation Shaman
43,Oracle of Mul Daya,Sulfurous Springs,Call of the Ring,Damnation,Flash Flood,"Chandra, Torch of Defiance",Blood Pact,Rolling Earthquake
44,Supreme Verdict,Cast into the Fire,Witherbloom Command,"Rona, Herald of Invasion",End the Festivities,Price of Progress,"Davriel, Rogue Shadowmage",Kessig Wolf Run
45,Botanical Sanctum,Aether Gust,Nature's Claim,"Elesh Norn, Grand Cenobite",Silverbluff Bridge,Unholy Heat,Sunbaked Canyon,Viscera Seer
46,Celestial Colonnade,Sweltering Suns,Contamination,Nimble Obstructionist,Faerie Macabre,Bonecrusher Giant,"Abdel Adrian, Gorion's Ward",Cauldron Familiar
