,everbrink,masterplum,joed8004,sphagan,trashboat6824,_mr.bishop,yogapantz,sti1983
25,Sheoldred's Edict,Stern Scolding,Thespian's Stage,Gush,Supreme Verdict,Channel,Breeding Pool,Spire of Industry
26,Troll of Khazad-dum,Underground River,Palace Jailer,Sunken Ruins,"Otharri, Suns' Glory",Undermountain Adventurer,Temple Garden,Mana Confluence
27,Bitter Triumph,Badlands,Broadside Bombardiers,Sunken Hollow,Raugrin Triome,"Ugin, the Spirit Dragon",Seachrome Coast,Kappa Cannoneer
28,Faerie Mastermind,Opt,Archon of Emeria,Opposition Agent,Spell Queller,Eldrazi Temple,Blightsteel Colossus,"Sai, Master Thopterist"
29,Creeping Tar Pit,Seal of Removal,Enlightened Tutor,Helm of Obedience,Archmage's Charm,Grove of the Burnwillows,Sleight of Hand,Oswald Fiddlebender
30,Miscast,Frantic Search,Esper Sentinel,Leyline of the Void,Cryptic Command,Matter Reshaper,Portable Hole,Painter's Servant
31,Ceremonious Rejection,Steel Sabotage,Grindstone,Back to Basics,Endurance,Endless One,Aether Spellbomb,"Syr Ginger, the Meal Ender"
32,Mindbreak Trap,Wear // Tear,"Sokenzan, Crucible of Defiance",Tendrils of Agony,"Eiganjo, Seat of the Empire",Fire-Lit Thicket,Manifold Key,Patchwork Automaton
33,Drown in the Loch,Swan Song,Needleverge Pathway,Yawgmoth's Will,City of Brass,Sphere of Resistance,"Dovin, Hand of Control",Nihil Spellbomb
34,Baleful Strix,Angel's Grace,Elite Spellbinder,Dread Fugue,Everybody Lives!,Thorn of Amethyst,Flash Flood,Trinisphere
35,Drowned Catacomb,Silence,Embereth Shieldbreaker,Mystic Sanctuary,Fractured Identity,Endbringer,Transmute Artifact,"Erayo, Soratami Ascendant"
36,Countersquall,Thundering Falls,Robber of the Rich,Mycosynth Lattice,Voice of Resurgence,Karplusan Forest,Botanical Sanctum,Mox Amber
37,Dispel,Wheel of Fortune,Meltdown,Ensnaring Bridge,Celestial Colonnade,Summoning Trap,Ghostly Prison,Adarkar Wastes
38,Specter's Shriek,Scrubland,Skullclamp,Cabal Ritual,No More Lies,Eldrazi Mimic,Razorverge Thicket,"Ratchet, Field Medic"
39,Kitesail Larcenist,Blood Crypt,Doorkeeper Thrull,Tormod's Crypt,Surgical Extraction,Vexing Shusher,Seat of the Synod,Sorcerous Spyglass
40,"Takenuma, Abandoned Mire",Hope of Ghirapur,"Gut, True Soul Zealot",Pithing Needle,Nature's Claim,By Force,Batterskull,Defense Grid
41,Restless Reef,Stern Dismissal,Deafening Silence,Thought Scour,Glacial Fortress,Unlicensed Hearse,"Kinnan, Bonder Prodigy",Orim's Chant
42,Fallen Shinobi,Street Wraith,Aven Mindcensor,Death Wish,Waterlogged Grove,"Kozilek, Butcher of Truth",Ancient Den,Carpet of Flowers
43,Dread of Night,Molten Collapse,Mine Collapse,Arcum's Astrolabe,Flooded Grove,"Ugin, the Ineffable",Currency Converter,Gemstone caverns
44,Soul Rend,Annul,Boil,"Urborg, Tomb of Yawgmoth",Jetmir's Garden,Eye of Ugin,Spellskite,Ancient Grudge
45,Damping Matrix,Mercurial Spelldancer,Blood Moon,Windfall,Memory Deluge,Eldrazi Obligator,Magma Mine,Tendo Ice Bridge
46,Thieving Skydiver,Fire // Ice,Brotherhood's End,Misdirection,Shark Typhoon,Crystal Vein,Grand Abolisher,Relic of Progenitus
