21,Mana Confluence,Subtlety,Veil of Summer,Sire of Seven Deaths,Manifold Key,Tundra,Skyclave Apparition,Stock Up
22,Witch Enchanter,Noble Hierarch,Opposition Agent,It That Heralds the End,Remand,City of Brass,"Thalia, Guardian of Thraben",Dismember
23,Battlefield Forge,Hexdrinker,Dark Ritual,Cavern of Souls,Aether Spellbomb,Manamorphose,Sunbillow Verge,"Jace, the Mind Sculptor"
24,Clifftop Retreat,Consult the Star Charts,Archon of Cruelty,Kozilek's Command,Transmute Artifact,Grove of the Burnwillows,Sundering Eruption,Mind Twist
25,"Kataki, War's Wage",Memory Lapse,Toxic Deluge,"Thalia, Heretic Cathar",Whir of Invention,Thassa's Oracle,Needleverge Pathway,Tishana's Tidebinder
26,Sulfurous Springs,Energy Flux,Blackcleave Cliffs,Ethersworn Canonist,"Urza, Lord High Artificer",Tainted Pact,Inspiring Vantage,Merchant Scroll
27,Multiversal Passage,Exploration,Deep-Cavern Bat,"Liberator, Urza's Battlethopter",Mishra's Bauble,Underground Sea,Faerie Macabre,"Kaito, Bane of Nightmares"
28,"Inti, Seneschal of the Sun",Endurance,Unmask,Adarkar Wastes,Urza's Bauble,Demonic Consultation,Anointed Peacekeeper,Gush
29,"Ajani, Nacatl Pariah",Steel Sabotage,Bayou,Brushland,Pithing Needle,Oath of Druids,Loran of the Third Path,Mana Leak
30,Scrubland,Nature's Claim,Bitter Triumph,Caves of Koilos,Defense Grid,Show and Tell,Voice of Victory,Grafdigger's Cage
31,Godless Shrine,Walk-In Closet // Forgotten Cellar,Raucous Theater,Engineered Explosives,Hope of Ghirapur,Omniscience,Disruptor Flute,Fall from Favor
32,Cathar Commando,Green Sun's Zenith,Life // Death,Springleaf Drum,Chromatic Sphere,Dress Down,Shatterskull Smashing,"Sheoldred, the Apocalypse"
33,Gemstone Caverns,"Nadu, Winged Wisdom",Metamorphosis Fanatic,Null Elemental Blast,Volcanic Island,Balance,"Eiganjo, Seat of the Empire",Quantum Riddler
34,Hymn to Tourach,Lightning Greaves,Feed the Swarm,Matter Reshaper,Steam Vents,Faithless Looting,Robber of the Rich,Chain of Vapor
35,"Urborg, Tomb of Yawgmoth",Negate,Bone Shards,Eldrazi Mimic,Muddle the Mixture,Ancient Grudge,Elegant Parlor,Harbinger of the Seas
36,Mount Doom,Springheart Nantuko,Dread Fugue,"Ultima, Origin of Oblivion",Fiery Islet,Taiga,Den of the Bugbear,Watery Grave
37,Blightstep Pathway,Dryad Arbor,Gemstone Mine,Kaldra Compleat,Welding Jar,Soul-Guide Lantern,"Spider-Woman, Stunning Savior",Hurkyl's Recall
38,Angel's Grace,Glacierwood Siege,"Emrakul, the Aeons Torn","Ugin, the Spirit Dragon","Emry, Lurker of the Loch",Ensnaring Bridge,Strict Proctor,Flusterstorm
39,Passageway Seer,"Oboro, Palace in the Clouds",Overgrown Tomb,"Ugin, Eye of the Storms",Mistrise Village,Mycosynth Lattice,Untimely Malfunction,Back to Basics
40,Sunset Saboteur,"Titania, Protector of Argoth",Abrupt Decay,Aven Mindcensor,Thundering Falls,"Emrakul, the Promised End",Get Lost,Annul
41,"Kunoros, Hound of Athreos",Simic Growth Chamber,Collective Brutality,Endless One,Goblin Welder,Mystical Dispute,Leonin Arbiter,Mystical Teachings
42,Lion Sash,Bountiful Landscape,Exhume,Fragmentize,Into the Flood Maw,Shifting Woodland,Clarion Conqueror,Mindbreak Trap
43,Pyrogoyf,Scythecat Cub,Gloom,Spirit of the Labyrinth,Great Furnace,Punishing Fire,Brotherhood's End,Boggart Trawler
44,Remorseful Cleric,"Bristly Bill, Spine Sower",Natural State,Sword of Fire and Ice,Dispel,Channel,Meltdown,Misdirection
45,Unlicensed Hearse,Tifa Lockhart,Bloodtithe Harvester,Ugin's Labyrinth,Disrupt,Forbidden Orchard,Palace Jailer,Fell the Profane
46,Goblin Rabblemaster,Mightform Harmonizer,Fatal Push,Nulldrifter,Inkwell Leviathan,"Kozilek, the Great Distortion",Parallax Wave,Creeping Tar Pit
