,Talanthalos,Hyphen-ated,DedZeppelin,juchemz,Sti,DrpeepeepoopooMD,Ever,Dragon-Fodder
21,Harsh Mentor,"Jace, Vryn's Prodigy // Jace, Telepath Unbound",Waterlogged Grove,Nurturing Peatland,Chromatic Star,Joraga Treespeaker,Creeping Tar Pit,Metalworker
22,Badlands,Collector Ouphe,Mystic Sanctuary,Elvish Reclaimer,"Daretti, Ingenious Iconoclast",Allosaurus Shepherd,Hallowed Fountain,Phyrexian Metamorph
23,Blood Crypt,Manglehorn,"Uro, Titan of Nature's Wrath",Green Sun's Zenith,Retrofitter Foundry,Channel,Miscast,Academy Ruins
24,Kolaghan's Command,Hydroblast,Botanical Sanctum,Vampire Hexmage,Thought-Knot Seer,Reality Smasher,Dig Through Time,Dismember
25,Goblin Guide,Blue Elemental Blast,Tarmogoyf,Dread Fugue,Cavern of Souls,Punishing Fire,Ceremonious Rejection,Mind Stone
26,Chain Lightning,"Lutri, the Spellchaser",Natural Order,Toxic Deluge,Goblin Welder,"Laelia, the Blade Reforged",Hostage Taker,Paradox Engine
27,By Force,Energy Flux,Progenitus,Vexing Shusher,Goblin Engineer,Stomping Ground,Leyline of Sanctity,Basalt Monolith
28,Tormod's Crypt,Demonic Consultation,Endurance,Thespian's Stage,Matter Reshaper,Gaea's Cradle,"Thalia, Guardian of Thraben",Muddle the Mixture
29,Magus of the Moon,Flusterstorm,Hinterland Harbor,Abrupt Decay,Eldrazi Temple,Grove of the Burnwillows,Dovin's Veto,Gemstone Caverns
30,Unearth,Barkchannel Pathway // Tidechannel Pathway,Gush,City of Brass,Mana Confluence,Nature's Claim,Esper Sentinel,Winter Orb
31,Lurrus of the Dream-Den,Yavimaya Coast,Dragonsguard Elite,Torpor Orb,"Padeem, Consul of Innovation",Oath of Nissa,Adarkar Wastes,Fabricate
32,Sulfuric Vortex,Null Rod,Delver of Secrets // Insectile Aberration,Oxidize,Mycosynth Lattice,Legion Loyalist,Scrubland,Reshape
33,Dreadbore,Vineglimmer Snarl,Rapid Hybridization,Sylvan Safekeeper,Smuggler's Copter,Embercleave,Palace Jailer,Sorcerous Spyglass
34,Ingot Chewer,Worldly Tutor,Pest Infestation,Assassin's Trophy,City of Traitors,Rancor,Vindicate,Pongify
35,Nihil Spellbomb,Llanowar Wastes,Compost,Blooming Marsh,Great Furnace,"Domri, Anarch of Bolas",Dispel,Soul-Guide Lantern
36,Sedgemoor Witch,Darkbore Pathway // Slitherbore Pathway,Autumn's Veil,Wishclaw Talisman,Maddening Hex,Gorilla Shaman,Jace's Defeat,Ensnaring bridge
37,Scab-Clan Berserker,Underground River,Lumbering Falls,Twilight Mire,Shivan Reef,Karplusan Forest,Flash Flood,Treasure Vault
38,Angrath's Rampage,Tainted Pact,Nexus of Fate,Chain of Smog,Terrarion,Bloodbraid Elf,Dress Down,Cyclonic Rift
39,Deathmark,Clearwater Pathway // Murkwater Pathway,Swan Song,Witherbloom Apprentice,Ancient Den,Berserk,Kaldra Compleat,Welding Jar
40,Dragonskull Summit,Hurkyl's Recall,Rimewood Falls,Witherbloom Command,Nether void,Manamorphose,Recruiter of the Guard,Buried Ruin
41,Blackcleave Cliffs,Pact of Negation,Ice-fang Coatl,Liliana of the Veil,Interplanar Beacon,Atarka's Command,"Kataki, War's Wage",Ratchet Bomb
42,Street Wraith,Eldritch Evolution,Snow-covered Island,Infernal Reckoning,Tendo Ice Bridge,Crumble,Celestial Purge,Manifold Key
43,Perish,Propaganda,Snow-covered Forest,Deathcap Glade,Aether Hub,"Thrasta, Tempest's Roar",Stony Silence,Voltaic key
44,Raze the Effigy,Divert,Spell snare,Castle Locthwain,Battlefield Forge,Gruul Spellbreaker,Seachrome Coast,Bottled Cloister
45,Koth of the Hammer,"Okina, Temple to the Grandfathers",Beast Within,Helm of Obedience,Liquimetal Coating,Violent outburst,"Venser, Shaper Savant","Minamo, school at water's edge"
46,Brain Maggot,"Leovold, Emissary of Trest",Vapor Snag,Agonizing Remorse,Stifle,Cindervines,Aether Gust,Void Snare
