,Leo,Mason,Greg,Dylan,Jago,Jim,Wes,Swifty
30,Mind's Desire,Divert,Umezawa's Jitte,Pestermite,Infernal Plunge,Grafdigger's Cage,Abrupt Decay,Battlefield Forge
31,Pact of Negation,Spell Snare,Gilded Goose,Manifold Key,Bonus Round,Smokestack,Worldly Tutor,Caves of Koilos
32,Kindred Charge,Ninja of the deep hours,Spell Queller,Cascade Bluffs,Profane Command,Hangarback Walker,Field of the Dead,Karakas
33,Liquimetal Coating,Dismember,Knight of Autumn,Lightning Bolt,Graven Cairns,God-Pharaoh's Statue,Courser of Kruphix,Endless One
34,Entomb,Surgical Extraction,Hinterland Harbor,Shelldock Isle,Midnight Reaper,"Daretti, Scrap Savant",Darigaaz's Caldera,Endbringer
35,Reanimate,Spellstutter Sprite,Celestial Colonnade,Spirebluff Canal,Kobolds of Kher Keep,Black Vise,Gruul Turf,Aven Mindcensor
36,Dread of Night,Mystic Snake,Restoration Angel,Deceiver Exarch,Crimson Kobolds,Spire of Industry,Golgari Rot Farm,Spirit of the Labyrinth
37,Rushing River,Frilled Mystic,Lumbering Falls,Voltaic Key,Viscera Seer,Inventors' Fair,Maze of Ith,Batterskull
38,Doomsday,Waterlogged Grove,Nimble Obstructionist,Skred,Gravecrawler,Crystal Vein,"Ob Nixilis, the Fallen",Hushwing Gryff
39,"Jace, Wielder of Mysteries",Annul,Settle the Wreckage,Castle Vantress,"Tibalt, the Fiend-Blooded",Everflowing Chalice,Eternity Vessel,Shefet Dunes
40,Sunken Hollow,Botanical Sanctum,Yavimaya Coast,Phantasmal Image,Brain Freeze,Blast Zone,Retreat to Hagra,Aegis of the Gods
41,Lake of the Dead,Faerie Seer,Llanowar Elves,Flame Slash,Skirk Prospector,Winter Orb,Horn of Greed,Sword of Body and Mind
42,Unmask,Pongify,Gaddock Teeg,Tezzeret the Seeker,Carrion Feeder,Precursor Golem,Cosi's Ravager,Rugged Prairie
43,Autumn's Veil,Damping sphere,Balance,Goblin Engineer,Grapeshot,Karn's Bastion,Lotus Cobra,"Shalai, Voice of Plenty"
44,Repeal,disrupting shoal,Mindlock Orb,Academy Ruins,Tendrils of Agony,Throne of Geth,Grazing Gladehart,Aura of Silence
45,Inquisition of Kozilek,Kefnet the Mindful,Energy Flux,Mindslaver,Deal Broker,Fry,Retreat to Kazandu,Embercleave
