,Hyphen-ated,Ever,JasterRogue7,domhrv,RagingLevine,CommonOpponent,Swifty2400,masterplum
27,Subtlety,Animate Dead,Rakdos Charm,Repeal,Growth Spiral,Survival of the Fittest,Basalt Monolith,Ancient Grudge
28,Legion Warboss,Clearwater Pathway // Murkwater Pathway,Simian Spirit Guide,Aether Spellbomb,Life from the Loam,Swan Song,Pyrite Spellbomb,Endurance
29,Young Pyromancer,Underground River,Manaform Hellkite,Lurrus of the Dream-Den,Field of the Dead,Eternal Witness,Manifold Key,Crop Rotation
30,Hengegate Pathway // Mistgate Pathway,Leyline of the Void,Kolaghan's Command,River of Tears,Knight of the Reliquary,Questing Beast,Conjurer's Bauble,Elvish Reclaimer
31,Adarkar Wastes,Consider,Chains of Mephistopheles,Sunken Hollow,"Yavimaya, Cradle of Growth",Tamiyo's Safekeeping,Arcum's astrolabe,Sylvan Scrying
32,Esper Sentinel,Dispel,Harsh Mentor,Bolas's Citadel,Grafdigger's Cage,Containment Priest,Snow-covered island,Tireless Tracker
33,Shivan Reef,Countersquall,Maddening Hex,Voltaic Key,Celestial Purge,Vexing Shusher,Snow-covered Plains,Cragcrown Pathway // Timbercrown Pathway
34,Needleverge Pathway // Pillarverge Pathway,Flash Flood,Blood Crypt,Nihil Spellbomb,Regrowth,Ketria Triome,Boreal Shelf,Courser of Kruphix
35,Portable Hole,Aether Gust,Torpor Orb,Malevolent Hermit // Benevolent Geist,Horizon Canopy,Avacyn's Pilgrim,Glacial Floodplain,Noxious Revival
36,Riverglide Pathway // Lavaglide Pathway,Tainted Indulgence,"Daretti, Scrap Savant",Demonic Consultation,Council's Judgment,Izzet Charm,Hurkyl's Recall,"Sokenzan, Crucible of Defiance"
37,Battlefield Forge,"Takenuma, Abandoned Mire",Scrapheap Scrounger,Painter's Servant,Spell Snare,"Tomik, Distinguished Advokist",Seat of the Synod,Pest Infestation
38,Expressive Iteration,Collective Brutality,Drossforge Bridge,Vault of Whispers,Force of Vigor,Rip Apart,Cyclonic Rift,Blast Zone
39,Meltdown,Helm of Obedience,Keen Duelist,Brainstone,Jace's Defeat,Natural State,Settle the Wreckage,Dryad of the Ilysian Grove
40,Stony Silence,Ashen Rider,Bonecrusher Giant // Stomp,"Karn, Scion of Urza",Curfew,Eladamri's Call,Sorcerous Spyglass,Shatterskull Smashing
41,Lion Sash,Show and Tell,Trinisphere,Fatal Push,"Eiganjo, Seat of the Empire",Felidar Guardian,Fragmentize,Pyroclasm
42,Umezawa's Jitte,Shadow of Doubt,City of Traitors,Academy Ruins,Timely Reinforcements,Pestermite,Ensnaring Bridge,Fabled Passage
43,Kaldra Compleat,Fetid Pools,Goblin Engineer,Whir of Invention,Tormod's Crypt,Deceiver Exarch,Sunset Revelry,Punishing Fire
44,"Heliod, Sun-Crowned",Bloodchief's Thirst,Unlicensed Hearse,Muddle the Mixture,Chain of Vapor,Dovin's Veto,Echoing Truth,Bojuka Bog
45,"Teferi, Hero of Dominaria",Energy Flux,Hidetsugu Consumes All,Moonsnare Prototype,Unravel the Aether,Fable of the Mirror-Breaker // Reflection of Kiki-Jiki,"Ugin, the spirit dragon",Bala Ged Recovery
46,Detention Sphere,Exhume,"Urabrask, Heretic Praetor",Sunken Ruins,"Garruk Relentless // Garruk, the Veil-Cursed","Squee, Goblin Nabob","Elspeth, Sun's Champion",Valakut Exploration
