,Leigh 5-2 1st,Austen 4-3 4th,Fil 5-2 3rd,DJ 3-4 6th,Ben 5-2 2nd,Tyler 1-6 Last,Cam 3-4 5th,Nathan 2-5 7th
23,Glen Elendra Archmage,Annul,Torpor Orb,Carrion Feeder,Pack Rat,Murmuring Bosk,Night's Whisper,Animate Dead
24,Goblin Bombardment,Rest in Peace,Serum Powder,City of Traitors,Red Elemental Blast,Noxious Revival,Frantic Search,Sundering Titan
25,Recurring Nightmare,Serenity,Choke,Pact of Negation,Rack and Ruin,Knight of the Reliquary,Watery Grave,Defense Grid
26,Mana Confluence,Disrupting Shoal,Thorn of Amethyst,Summoner's Pact,Vampire Hexmage,Raven's Crime,Godless Shrine,Goblin Welder
27,City of Brass,Flusterstorm,Chalice of the void,Nature's Claim,Pyrostatic Pillar,Ray of Revelation,Sign in Blood,Gemstone Mine
28,Forbidden Orchard,Tundra,Dispel,Stifle,Eidolon of the Great Revel,Solitary Confinement,Cloud of Faeries,Rakdos Charm
29,Reflecting Pool,Serum Visions,Disrupt,Chill,Stranglehold,Scroll Rack,Nightscape Familiar,Ethersworn Canonist
30,Survival of the Fittest,Hallowed Fountain,Standstill,City of Solitude,Boil,Reclamation Sage,Chain of Vapor,Great Furnace
31,"Squee, Goblin Nabob",Path to Exile,"Karn, Silver Golem",Woodfall Primus,Nihil Spellbomb,Countryside Crusher,Priest of Gix,Blood Crypt
32,Leyline of Sanctity,Council's Judgment,Ricochet Trap,Divert,Chain Lightning,Horizon Canopy,Bubbling Muck,Volcanic Island
33,Mindslaver,Seachrome Coast,All is Dust,Phyrexian Furnace,Armageddon,Barbarian Ring,Yawgmoth's Bargain,Crystal Vein
34,Myr Welder,Mystic Gate,Coalition Relic,Worldly Tutor,Aether Vial,Unearth,Palinchron,Glimmervoid
35,Staff of Domination,Spellstutter Sprite,Thoughtcast,Compost,Zo-Zu The Punisher,Graven Cairns,Chromatic Star,"Erayo, Soratami Ascendant // Erayo's Essence"
36,Grand Coliseum,Sword of Fire and Ice,Juggernaut,Energy Flux,Ghost Quarter,Sacred Foundry,Tormod's Crypt,Chromatic Sphere
37,Laboratory Maniac,Dismember,Darksteel Citadel,Body Snatcher,Blackcleave Cliffs,Tranquil Thicket,High Tide,Ancient Den
38,Karakas,Rule of Law,Scuttling Doom Engine,Xantid Swarm,Ankh of Mishra,Barren Moor,Time Spiral,Vault Skirge
39,"Venser, Shaper Savant",Meddling Mage,Duplicant,Yavimaya Coast,Hellrider,Forgotten Cave,Brain Freeze,Terrarion
40,Fracturing Gust,Geist of Saint Traft,"Jace, Memory Adept",Sphinx of the Steel Wind,Lavaclaw Reaches,Price of Glory,Snap,Memnite
41,Eternal Witness,Glacial Fortress,Mutavault,Viscera Seer,Faerie Macabre,Seismic Assault,Turnabout,Ornithopter
42,Leyline of Lifeforce,Master Thief,Mishra's Factory,Elvish Spirit Guide,Goblin Rabblemaster,Devastating Dreams,Lake of the Dead,Phyrexian Walker
43,Banefire,"Thada Adel, Acquisitor",Expedition Map,Mindbreak Trap,Fireblast,Krosan Grip,Cabal Therapy,Chief Engineer
44,Grafdigger's Cage,Flood Plain,Staff of Nin,"Boseiju, Who Shelters All",Mesmeric Fiend,Gamble,Hurkyl's Recall,Ensoul Artifact
45,Kitchen Finks,Adarkar Wastes,"Llawan, Cephalid Empress",Saprazzan Skerry,Deathrite Shaman,Hammer of Purphoros,Orim's Chant,Chasm Skulker
