,Eric,Mark,Brandon,Cody,Stephen,Heidi,Sam,Vince
18,Phyrexian Revoker,Lion's Eye Diamond,"Ugin, the Ineffable",Hallowed Fountain,Spellseeker,glowrider,Malakir Rebirth,Cabal Coffers
19,Noble Hierarch,Timetwister,Leyline of the Void,Spark Rupture,Manamorphose,charming prince,"Squee, Dubious Monarch",Culling Ritual
20,Lotus Cobra,Dark Ritual,Leyline of Sanctity,Elite Spellbinder,Watery Grave,aven mindcensor,"Kroxa, Titan of Death's Hunger",Primeval Titan
21,Scavenging Ooze,"Sheoldred, the Apocalypse",Outland Liberator,Kaldra Compleat,Young Pyromancer,surge of salvation,Mind Twist,"Ashiok, Dream Render"
22,Stomping Ground,Tropical Island,Walking Ballista,"Thalia, Heretic Cathar",Remand,invasion of gobakhan,Claim // Fame,Lake of the dead
23,Shadowspear,Zagoth Triome,Green Sun's Zenith,"Lavinia, Azorius Renegade",Dreadhorde Arcanist,aether vial,Grief,Dryad of the Ilysian Grove
24,Savannah,Imperial Seal,Reality Smasher,Serra Paragon,Goblin Bombardment,"kytheon, hero of akros",Fable of the Mirror-Breaker,Opposition Agent
25,Plateau,Gloom,Eureka,Scheming Fence,Grapeshot,coppercoat vanguard,"Daretti, Ingenious Iconoclast",Field of the Dead
26,Endurance,Mox Opal,Force of Vigor,Touch the Spirit Realm,Urabrask,hopeful initiate,Hidetsugu Consumes All,"Azusa, Lost but Seeking"
27,Cankerbloom,"Emry, Lurker of the Loch",Tireless Tracker,"Elesh Norn, Mother of Machines",Gut Shot,Elesh Norn,Dash Hopes,Nurturing Peatland
28,Carpet of Flowers,Seat of the Synod,Helm of Obedience,"Otawara, Soaring City",Aether Gust,vryn wingmare,"Chandra, Torch of Defiance",Exploration
29,Utopia Sprawl,Vault of Whispers,Gaea's Cradle,"Eiganjo, Seat of the Empire",Izzet Charm,student of warfare,robber of the rich,Ziatora's Proving Ground
30,Chain Lightning,Tolarian Academy,"Ugin, the Spirit Dragon",Enlightened Tutor,Xander's Lounge,weathered wayfarer,Contamination,Vesuva
31,Ancient Grudge,Blightsteel Colossus,Nature's Claim,"Dovin, Hand of Control",Third Path Iconoclast,"nykthos, shrine to nyx","Braids, Cabal Minion",Scapeshift
32,Pest Infestation,Massacre,Eldrazi Temple,Soulherder,"Balmor, Battlemage Captain",ranger-captain of eos,Rakdos Headliner,"Valakut, the Molten Pinnacle"
33,Arid Mesa,Hibernation,"Vorinclex, Monstrous Raider",Back to Basics,Darkslick Shores,sunfall,Munitions Expert,"Realmbreaker, the Invasion Tree"
34,Karplusan Forest,Mishra's Bauble,Pithing Needle,Seachrome Coast,Prismari Command,path to exile,Goblin Guide,Wrenn and Realmbreaker
35,Copperline Gorge,Urza's Bauble,Destiny Spinner,Suspend,Fire // Ice,champion of the parish,blightstep pathway,Explore
36,Legion Warboss,Echo of Eons,Dryad Arbor,Delay,Cascade Bluffs,cemetery protector,Dragonskull Summit,Titania's Command
37,Brotherhood's End,Transmute Artifact,Decimator of the Provinces,Sivvi's Ruse,Mystical Dispute,palace jailer,Sling-Gang Lieutenant,Soul of Windgrace
38,Eternal Witness,Baleful Strix,Phyrexian Metamorph,Sanctifier En-Vec,"Jace, Vryn's Prodigy",sanctum prelate,Vexing Shusher,Sylvan Scrying
39,Active Volcano,Hydroblast,Crystal Vein,Mystic Gate,Fiery Islet,ossification,Sulfurous Springs,Bojuka Bog
40,Lithomantic Barrage,Relic of Progenitus,Eldrazi Mimic,Cathar Commando,Maddening Hex,on thin ice,"Grenzo, Havoc Raiser","Kura, the Boundless Sky"
41,Mycosynth Lattice,Sunken Ruins,Matter Reshaper,Thieving Skydiver,True-Name Nemesis,giver of runes,Tainted Peak,Burgeoning
42,Tibalt's Trickery,Manifold Key,Karn Liberated,"Myrel, Shield of Argive",Meltdown,"skrelv, defector mite",Auntie's Hovel,Twilight Mire
43,Bloodbraid Elf,Ceremonious Rejection,Eye of Ugin,Spirit of the Labyrinth,Rapid Hybridization,brutal cathar,Conspicuous Snoop,Fire-Lit Thicket
44,Mawloc,Mental Misstep,Duplicant,Clever Concealment,Brazen Borrower,emeria's call,Den of the Bugbear,Realms Uncharted
45,Shadow in the Warp,Hope of Ghirapur,Endless One,March of Swirling Mist,Filter Out,thorn of amethyst,Goblin Recruiter,Lightning Greaves
46,"Thrun, the Last Troll",Sphinx of the Steel Wind,The Great Henge,Soulless Jailer,Fry,"mondrak, glory dominus","Muxus, Goblin Grandee",Swiftfoot Boots
