,Jimmuh,Mason,becurry,Stephen Hagan,CommonOpponent,juchemz,ssrego,JasterRogue7
17,Skullclamp,Mishra's Bauble,Recurring Nightmare,Opposition Agent,Assassin's Trophy,Null Rod,Counterspell,Arcane Denial
18,Thopter Foundry,Endurance,Faithless Looting,Seasoned Pyromancer,Containment Priest,Pithing Needle,"Urza, Lord High Artificer",Intuition
19,Aether Vial,Thought Scour,Bloodghast,Magus of the Moon,Night's Whisper,Tezzeret the Seeker,True-Name Nemesis,Opt
20,Eternal Witness,Ancient Grudge,"Chandra, Torch of Defiance",Castle Locthwain,Gemstone Mine,Defense Grid,Winter Orb,Subtlety
21,Fracture,Treasure Cruise,Wurmcoil Engine,Lurrus of the Dream-Den,Manifold Key,Voltaic Key,"Yavimaya, Cradle of Growth","Kataki, War's Wage"
22,Liliana of the Veil,"Lutri, the Spellchaser",Questing Beast,"Kroxa, Titan of Death's Hunger",Tidehollow Sculler,Ensnaring Bridge,"Nissa, Who Shakes the world",Fateful Absence
23,Fatal Push,Consider,Overgrown Tomb,Mesmeric Fiend,Darksteel Citadel,Lion's Eye Diamond,Phyrexian Revoker,Chalice of the Void
24,Temple Garden,Mental Misstep,Vexing Devil,Angrath's Rampage,Portable Hole,Retrofitter Foundry,Horn of Greed,Malevolent Hermit // Benevolent Geist
25,Mystic Sanctuary,Cryptic Command,Lotus Cobra,Brain Maggot,Engineered Explosives,Academy Ruins,Spore Frog,Vendilion Clique
26,Spellseeker,Force of Vigor,Tireless Tracker,Simian Spirit Guide,Fragmentize,Inventors' Fair,Transmute Artifact,Karakas
27,Sea Gate Stormcaller,Scavenging Ooze,Lightning Skelemental,Noxious Grasp,Vault of Whispers,Seat of the Synod,Noble Hierarch,Council's Judgment
28,Dovin's Veto,Unholy Heat,Manamorphose,"Chandra, Acolyte of Flame",Castigate,Crystal Vein,Balance,Suppression Field
29,Unearth,Ketria Triome,Embercleave,Malakir Rebirth // Malakir Mire,Karn Liberated,Relic of Progenitus,Frantic Search,Mystical Dispute
30,Skyclave Apparition,Tormod's Crypt,"Xenagos, the Reveler",Soul-Guide Lantern,Anguished Unmaking,Blast Zone,"Slogurk, the Overslime",Spell Queller
31,Zagoth Triome,"Venser, Shaper Savant","Domri, Anarch of Bolas",Toxic Deluge,Sphinx of the Steel Wind,Chromatic Star,Fabricate,Bonecrusher Giant // Stomp
32,Drown in the Loch,Umezawa's Jitte,Kaldra Compleat,Overmaster,Painful Truths,Chromatic Sphere,Ruin Crab,Raugrin Triome
33,Batterskull,Expressive Iteration,Goblin Welder,The Meathook Massacre,Pentad Prism,"Golos, Tireless Pilgrim",Flooded Grove,Mystic Gate
34,Library of Alexandria,Divert,Smuggler's Copter,Meltdown,Phyrexian Arena,Bolas's CItadel,Overwhelmed Apprentice,Hurkyl's Recall
35,Dig Through Time,Dress Down,Exhume,Baleful Mastery,"Teferi, Who Slows the Sunset",Thought-Knot Seer,Hinterland Harbor,"Ashiok, Dream Render"
36,Sword of the Meek,Grove of the Burnwillows,Stomping Ground,Blightstep Pathway // Searstep Pathway,Dragonlord Dromoka,Aether Spellbomb,Dryad Arbor,"Lavinia, Azorius Renegade"
37,Nature's Claim,Young Pyromancer,Ignoble Hierarch,You Find Some Prisoners,Spire of Industry,Blightsteel Colossus,Prairie Stream,Faithful Mending
38,Orim's Chant,Punishing Fire,Berserk,Boil,Ancient Den,Cephalid Coliseum,Tasha's Hideous Laughter,Delay
39,Isochron Scepter,Abrade,Rancor,"Tinybones, Trinket Thief",Celestial Purge,Worn Powerstone,Barkchannel Pathway // Tidechannel Pathway,Suspend
40,Soulherder,Return to Nature,Destructive Revelry,"Rankle, Master of Pranks",Glimmervoid,Mindslaver,Trinket Mage,Sevinne's Reclamation
41,Grand Abolisher,Ancestral Vision,Gorilla Shaman,Rakdos Charm,Dispatch,Lodestone Golem,Windfall,"Thada Adel, Acquisitor"
42,Muddle the Mixture,Dreadhorde Arcanist,Harsh Mentor,Graven Cairns,Negate,Torpor Orb,Hengegate Pathway // Mistgate Pathway,Settle the Wreckage
43,Krosan Grip,Shattering Spree,Monastery Swiftspear,Fry,Moat,Welding Jar,Time Spiral,Rip Apart
44,Timeless Witness,Forked Bolt,Robber of the Rich,Maddening Hex,Mythos of Nethroi,Cascading Cataracts,Botanical Sanctum,Dockside Extortionist
45,"Uro, titan of nature's wrath",Misdirection,Dreadhorde Butcher,Infernal Reckoning,Orzhov Signet,Meteor Golem,Grafdigger's Cage,Saheeli Rai
46,Volrath's Stronghold,Remand,"Thrasta, Tempest's Roar",Sadistic Sacrament,Goldmire Bridge,Ratchet bomb,Frogify,Felidar Guardian
