,Dan,Alex,Kelvin,Peter,Greg,Mac,Bobby,Jay
19,Knight of the Reliquary,Thought Scour,Survival of the Fittest,Impulse,Glimmervoid,Blood Crypt,Taiga,Ancestral Vision
20,Indatha Triome,Treasure Cruise,Gaea's Cradle,Fact or Fiction,Chrome Mox,Faithless Looting,Reflecting Pool,Gush
21,Once Upon a Time,Delver of Secrets,True-Name Nemesis,Cryptic Command,Thirst for Knowledge,Wishclaw Talisman,Unclaimed Territory,Daze
22,Umezawa's Jitte,Creeping Tar Pit,Branchloft Pathway,High Tide,Inkmoth Nexus,Mishra's Bauble,Ancient Ziggurat,Toxic Deluge
23,Horizon Canopy,Dismember,Scavenging Ooze,Opt,Paradoxical Outcome,Walking Ballista,Cloudshredder Sliver,Mystic Sanctuary
24,Nurturing Peatland,Mental Note,Ephemerate,Manamorphose,Pentad Prism,Collective Brutality,Predatory Sliver,Chalice of the Void
25,Ramunap Excavator,"Venser, Shaper Savant",Deathrite Shaman,Heartbeat of Spring,Metallic Rebuke,Cabal Therapy,Sinew Sliver,Negate
26,Bayou,Fatal Push,Sevinne's Reclamation,Archmage's Charm,Blightsteel Colossus,Goblin Engineer,Unsettled Mariner,Bribery
27,Razorverge Thicket,Countersquall,Recruiter of the Guard,Thassa's Oracle,Soul-Guide Lantern,Red Elemental Blast,Muscle Sliver,Noxious Revival
28,Spirit of the Labyrinth,Drowned Catacomb,Grand Abolisher,Turnabout,Goblin Welder,"Daretti, Scrap Savant",Galerider Sliver,"Jace, Wielder of Mysteries"
29,Stony Silence,Divest,Knight of Autumn,Cunning Wish,Arcum's Astrolabe,Pyroblast,Sidewinder Sliver,Vedalken Shackles
30,"Thalia, Heretic Cathar",Sunken Hollow,Sylvan Caryatid,Hurkyl's Recall,Snow-Covered Island,Lightning Bolt,Sliver Legion,Lion's Eye Diamond
31,Archon of Emeria,Steel Sabotage,Barkchannel Pathway,Repeal,Galvanic Blast,Myr Battlesphere,Striking Sliver,"Thada Adel, Acquisitor"
32,Thorn of Amethyst,Logic Knot,Glen Elendra Archmage,Treachery,Ancient Grudge,Sorcerous Spyglass,Crystalline Sliver,Forbid
33,Abrupt Decay,Opposition Agent,Deafening Silence,Botanical Sanctum,Vindicate,Ensnaring Bridge,Hibernation Sliver,Back to Basics
34,Plague Engineer,Nihil Spellbomb,"Lavinia, Azorius Renegade",Chain of Vapor,Leyline of the Void,Conjurer's Bauble,Diffusion Sliver,Cyclonic Rift
35,Vryn Wingmare,Witch's Vengeance,Meddling Mage,Delay,Helm of Obedience,Great Furnace,Bonescythe Sliver,Serum Powder
36,Tidehollow Sculler,Jace's Defeat,Gaddock Teeg,Memory Jar,Fragmentize,Kolaghan's Command,Necrotic Sliver,Commit // Memory
37,Mesmeric Fiend,Virtue's Ruin,Qasali Pridemage,Quicken,Spire of Industry,Feed the Swarm,The First Sliver,Clearwater Pathway
38,Glowrider,Darkslick Shores,Path to Exile,Zagoth Triome,Bolas's Citadel,Mycosynth Lattice,Root Sliver,Demonic Consultation
39,Overgrown Tomb,Dispel,Aven Mindcensor,Wipe Away,Aetherflux Reservoir,Blightstep Pathway,Homing Sliver,Sunken Ruins
40,Judge's Familiar,River of Tears,Hengegate Pathway,Engulf the Shore,Pyroclasm,Exhume,Syphon Sliver,Echo of Eons
41,Disfigure,Deathmark,Avacyn's Pilgrim,Echoing Truth,Rest in Peace,Emergence Zone,Sentinel Sliver,Misdirection
42,Fairgrounds Warden,"Yuriko, the Tiger's Shadow",Paradise Druid,Riftwing Cloudskate,Enlightened Tutor,Sulfurous Springs,Spiteful Sliver,Energy Flux
43,Concealed Courtyard,Ingenious Infiltrator,Neoform,Pact of Negation,"Skysovereign, Consul Flagship",Blackcleave Cliffs,Winged Sliver,Standstill
44,Sword of Fire and Ice,Vedalken Aethermage,Archaeomancer,Meditate,Trinket Mage,Chancellor of the Annex,Heart Sliver,Tolaria West
45,Life from the Loam,Hydroblast,Llanowar Elves,Pongify,Stonecoil Serpent,City of Traitors,Realmwalker,Moat
