,Talanthalos,Hyphen-ated,DedZeppelin,juchemz,Sti,DrpeepeepoopooMD,Ever,Dragon-Fodder
22,Ethereal Forager,Auriok Salvagers,Lose Focus,Opposition Agent,Goblin Rabblemaster,Spirit of the Labyrinth,Darksteel Citadel,Mishra's Bauble
23,Legion Warboss,Monastery Mentor,Ancient Grudge,Notion Thief,Harsh mentor,Nature's Claim,Pithing Needle,"Ashiok, Dream Render"
24,Null Rod,Helm of Awakening,Mystic Sanctuary,Energy Flux,Dockside Extortionist,Trinisphere,Suspend,Urza's Bauble
25,Fire // Ice,Aether spellbomb,Life from the Loam,Dauthi Voidwalker,"Jetmir, Nexus of Revels",Savannah,Seachrome Coast,Murktide Regent
26,Serum Visions,Chromatic Sphere,Hall of Storm Giants,Dismember,Ignoble Hierarch,Adarkar Wastes,Glimmervoid,CounterBalance
27,Thought scour,Pyrite Spellbomb,Ceremonious Rejection,Helm of Obedience,Noble hierarch,Archon of Emeria,Razortide Bridge,Gush
28,Wasteland,Conjurer's Bauble,Liquimetal Torque,Fae of Wishes // Granted,Once Upon a Time,Kaldra Compleat,Winter Orb,Chalice of the Void
29,Shivan Reef,Krark-Clan Ironworks,Occult Epiphany,"Thada Adel, Acquisitor",Abrupt Decay,Vryn Wingmare,Mishra's Workshop,Phyrexian Metamorph
30,Fury,Myr Retriever,Izzet Charm,Duress,Badlands,Matter Reshaper,Thoughtcast,Force Spike
31,Grim Lavamancer,Engineered Explosives,Oath of Druids,Subtlety,Gaea's Cradle,Solitude,Talisman of Progress,Isochron scepter
32,Fiery Islet,Ichor Wellspring,Fry,"Ob Nixilis, the Adversary","Purphoros, God of the forge","Kataki, War's Wage",Ethersworn Canonist,Narset's Reversal
33,Soul-Guide Lantern,Reshape,"Lier, Disciple of the Drowned",Blood Crypt,Worldly Tutor,Aura of Silence,Dispatch,Expansion // Explosion
34,Court of Cunning,"Tameshi, Reality Architect",Force of Vigor,Xander's Lounge,Raugrin Triome,Eladamri's Call,Stubborn Denial,Azorius Signet
35,Maddening Hex,Second Sunrise,Regrowth,Simian Spirit Guide,Spara's Headquarters,Batterskull,Master of Etherium,Cryptic Command
36,Fiery Confluence,Faith's Reward,Field of the Dead,"Nicol Bolas, the Ravager // Nicol Bolas, the Arisen",Imperial Seal,Eldrazi Temple,Cranial Plating,Mystic confluence
37,Merchant Scroll,Brought back,Mycosynth Lattice,"Kess, Dissident Mage",Kolaghan's Command,Brushland,Steel Overseer,"Lavinia, Azorius Renegade"
38,Bonecrusher Giant // Stomp,Crystal Vein,Snow-Covered Island,Drown in the Loch,Carpet of Flowers,Eldrazi Mimic,Stonecoil Serpent,Omen machine
39,Riverglide Pathway // Lavaglide Pathway,Archaeological Dig,Waterlogged Grove,Ledger Shredder,Devilish Valet,Eldrazi Displacer,Arcbound Ravager,Ensnaring Bridge
40,Relic of Progenitus,Crucible of Worlds,Punishing Fire,Aether Gust,"Sokenzan, crucible of defiance",Endbringer,Patchwork Automaton,Opt
41,Shattering Spree,Zuran Orb,Liquimetal Coating,Unlicensed Hearse,Dark Confidant,Endless One,Etched Champion,Leyline of the Void
42,Steel Sabotage,Open the Vaults,Growth Spiral,Toxic Deluge,Pack Rat,"Thalia, Heretic Cathar",Vault Skirge,Leyline of Sanctity
43,Submerge,Horizon Canopy,Exploration,Lim-Dul's Vault,Ravenous Squirrel,Skyclave Apparition,Sojourner's Companion,Bolas's Citadel
44,Spikefield Hazard // Spikefield Cave,Mystic Forge,"Titania, Protector of Argoth",Sorcerous Spyglass,Tainted Pact,Leonin Relic-Warder,Frogmite,Brain Freeze
45,Flame Slash,Silent Clearing,Gifts Ungiven,Chill,Fiend Artisan,Interplanar Beacon,Delay,Surgical Extraction
46,Young Pyromancer,Paradoxical Outcome,Nexus of Fate,Tasha's Hideous Laughter,Deep Forest Hermit,"Elesh Norn, Grand Cenobite","Zabaz, the Glimmerwasp",Ratchet Bomb
