,ssrego,Ever,sti,JasterRogue7,Hyphen-ated,rosa,Talanthalos,juchemz
20,Miscast,Thieving Skydiver,Ancient Grudge,Altar of the Brood,Chain Lightning,Fatal Push,Plague Engineer,Winter Orb
21,Archmage's Charm,"Teferi, Hero of Dominaria",Fire // Ice,Sylvan Library,Force Spike,Sleight of Hand,Trinisphere,Jace Beleren
22,Mesmeric Orb,Field of Ruin,Grove of the Burnwillows,Dark Confidant,Mana Confluence,"Vraska, Golgari Queen",Umezawa's Jitte,Jace's Defeat
23,Tasha's Hideous Laughter,Wrenn and Six,Enlightened Tutor,Courser of Kruphix,Shivan Reef,Assassin's Trophy,Reality Smasher,Hallowed Fountain
24,Show and Tell,Subtlety,Mental Note,Crop Rotation,Riverglide Pathway // Lavaglide Pathway,City of Brass,Caves of Koilos,Tolarian Academy
25,"Kopala, Warden of Waves",Shark Typhoon,Auriok Salvagers,Force of Vigor,Goblin Rabblemaster,Drawn from Dreams,"Ugin, the Ineffable",Deafening Silence
26,Phantasmal Image,"Emrakul, the Aeons Torn",Oath of Druids,Questing Beast,Dragon's Rage Channeler,Muddle the Mixture,Ethersworn Canonist,Pithing Needle
27,Svyelun of Sea and Sky,Fabled Passage,Swan Song,Bitterblossom,Smash to Smithereens,"Uro, Titan of Nature's Wrath",Archon of Emeria,Balance
28,Dramatic Reversal,Dress Down,Echo of Eons,Chain of Smog,Robber of the Rich,Engineered Explosives,Sanctum Prelate,Fateful Absence
29,Isochron Scepter,Dismember,Arcane Denial,Witherbloom Apprentice,Legion Warboss,Overgrown Tomb,Skyclave Apparition,Fact or Fiction
30,Bribery,Mystic Sanctuary,Waterlogged Grove,Hexdrinker,Rift Bolt,Sorcerous Spyglass,City of Traitors,Retrofitter Foundry
31,Tide Shaper,Spreading Seas,Seachrome Coast,Nurturing Peatland,"Shatterskull Smashing // Shatterskull, the Hammer Pass","Ashiok, Nightmare Weaver",Gideon of the Trials,"Teferi, Who Slows the Sunset"
32,Lord of Atlantis,Spellstutter Sprite,Plateau,Marsh Flats,Bomat Courier,Barkchannel Pathway // Tidechannel Pathway,Fetid Heath,Portable Hole
33,Master of the Pearl Trident,Ceremonious Rejection,Pyroclasm,Tarmogoyf,Shrine of Burning Rage,Mycosynth Lattice,Eldrazi Mimic,Mystic Gate
34,Merrow Reejerey,Raugrin Triome,Forbidden Orchard,Sensei's Divining Top,Sulfuric Vortex,Ensnaring Bridge,Endless One,Ancient Den
35,Silvergill Adept,Ketria Triome,Hydroblast,Endurance,Maddening Hex,Wurmcoil Engine,Kaldra Compleat,Whir of Invention
36,Merfolk Secretkeeper // Venture Deeper,Control Magic,Frantic Search,Ramunap Excavator,"Laelia, the Blade Reforged",Murktide Regent,Matter Reshaper,Settle the Wreckage
37,Waterfront Bouncer,Blue Elemental Blast,Chromatic Sphere,Toxic Deluge,Fireblast,Infernal Grasp,Esper Sentinel,Hengegate Pathway // Mistgate Pathway
38,Chill,Disrupt,Punishing Fire,Indatha Triome,Goblin Guide,Eliminate,"Kambal, Consul of Allocation",Razortide Bridge
39,Walking Ballista,Spell Snare,Time Spiral,Grafdigger's Cage,Risk Factor,Heartless Act,Eldrazi Displacer,Celestial Colonnade
40,Aquitect's Will,Flash Flood,Firespout,Return to Nature,Den of the Bugbear,Defense Grid,Abolish,Condemn
41,Harbinger of the Tides,Gainsay,Aether Spellbomb,Golgari Charm,Mogg Salvage,Liliana of the Veil,Eldrazi Temple,Soul Snare
42,Propaganda,Court of Cunning,Seal of Cleansing,Baleful Mastery,Eidolon of the Great Revel,Clearwater Pathway // Murkwater Pathway,Vryn Wingmare,Hall of Storm Giants
43,Braingeyser,Vivid Creek,Wear // Tear,Golgari Rot Farm,Searing Blaze,Zagoth Triome,Endbringer,Mox Amber
44,Coralhelm Commander,Ash Barrens,Griselbrand,Tsunami,Zurgo Bellstriker,Null Rod,Scrubland,Ghostly Prison
45,Deeproot Waters,Earthquake,"Llawan, Cephalid Empress",Vexing Shusher,Stromkirk Noble,Countersquall,Oblivion Ring,Sword of the Meek
46,"Jace, Vryn's Prodigy // Jace, Telepath Unbound","Barrin, Tolarian Archmage",Treasure Cruise,Nether Void,Flametongue Yearling,Darkslick Shores,Batterskull,Thopter Foundry
