Round,April,David,Dom Reborn,Alex,Jacob,Andrew,Freyja,Russel
28,Drowned Catacomb,Berserk,Watery Grave,Brazen Borrower // Petty Theft,Deceiver Exarch,Day of Judgment,Gaea's Cradle,Rift Bolt
29,Glimmervoid,Scale Up,Blooming Marsh,Spire of Industry,Through the Breach,Tezzeret's Gambit,Abrupt Decay,Copperline Gorge
30,River of Tears,Mutagenic Growth,Pithing Needle,Voltaic Key,Talisman of Creativity,Spirit of the Labyrinth,Assassin's Trophy,Skewer the Critics
31,Chalice of the Void,Might of Old Krosa,Hydroblast,Tribute Mage,Burst Lightning,Ghost Quarter,FIEND ARTISAN,Bonecrusher Giant // Stomp
32,Platinum Emperion,Vines of Vastwood,Blue Elemental Blast,Azorius Signet,Spirebluff Canal,Flagstones of Trokair,"Melira, Sylvok Outcast",Flame Rift
33,Welding Jar,Ichorclaw Myr,Oath of Druids,Sphere of Law,Izzet signet,"Emeria, the Sky Ruin",Murderous Redcap,Atarka's Command
34,Mystic Forge,Plague Myr,Worldspine Wurm,Dimir Signet,Pestermite,Grand Abolisher,Crop Rotation,Destructive Revelry
35,Blightsteel Colossus,Chain of Vapor,Flash,Ensnaring Bridge,Treachery,Kor Firewalker,Academy Rector,Boil
36,Trinisphere,Viridian Corrupter,Energy Flux,Seal of Cleansing,Anger of the Gods,Oblivion Ring,Dovescape,Smash to Smithereens
37,Sphere of Resistance,Dismember,Opt,Aether Spellbomb,Firebolt,Solemnity,Overwhelming Splendor,Searing Blaze
38,Meteor Golem,Necropede,Mycosynth Lattice,Blink of an Eye,Dragon's Claw,Phyrexian Unlife,Viscera Seer,Searing Blood
39,Steel Hellkite,Become Immense,Force of Vigor,Sphinx of the Steel Wind,Into the Roil,"Nykthos, Shrine to Nyx",Aura of Silence,Harsh Mentor
40,Blast Zone,Groundswell,Serum Visions,Hallowed Fountain,Kozilek's Return,"Dovin, Hand of Control",Finale of Devastation,Grim Lavamancer
41,Spine of Ish Sah,Blight Mamba,"Kozilek, the Great Distortion",Fabricate,FIRE PROPHECY,Disenchant,Curse of Death's Hold,Lava Spike
42,Priest of Yawgmoth,Return to Nature,Disfigure,Demonic Consultation,Vandalblast,The Tabernacle at Pendrell Vale,Phyrexian Tower,Sheltered Thicket
43,Hope of Ghirapur,Rancor,"Jace, Vryn's Prodigy // Jace, Telepath Unbound",Lat-Nam's Legacy,"Ashiok, Dream Render",Arena Rector,Knight of Autumn,Exquisite Firecraft
44,Soul-Guide Lantern,Shapers' Sanctuary,Woodfall Primus,Chromatic Star,Time Spiral,Ghostly Prison,Sandwurm Convergence,Zurgo Bellstriker
45,Dramatic Reversal,True-Name Nemesis,Toxic Deluge,Future Sight,"Ulamog, the Ceaseless Hunger",Secluded Steppe,Seedtime,Ramunap Ruins
