,Mike Thompson,Charles Dupont,Jesse Hampton,Josh Ventura,Teddy Vitro,Jesse Wilke,Greg Peloquin,Colin McCune
18,Buried Alive,Zuran Orb,Compulsive Research,Gorilla Shaman,Spell Snare,Turnabout,Bayou,Glen Elendra Archmage
19,Woodfall Primus,Lodestone Golem,Ponder,Figure of Destiny,Preordain,High Tide,Terastodon,Swords to Plowshares
20,Necromancy,Wurmcoil Engine,Deprive,Chill,Path To Exile,Cryptic Command,Deathrite Shaman,Balance
21,Ashen Rider,Batterskull,Swan Song,Smash to Smithereens,Grafdigger's Cage,Thawing Glaciers,Sadistic Sacrament,SpellStutter Sprite
22,Ideas Unbound,Elvish Spirit Guide,Stifle,Firedrinker Satyr,Sacred Foundry,Candelabra of Tawnos,Dryad Arbor,Flusterstorm
23,Fact or Fiction,Precursor Golem,Leyline of the Void,Rift Bolt,Seachrome Coast,Mind over Matter,Birds of Paradise,Seat of the Synod
24,Hypnotic Specter,Masticore,Helm of Obedience,Temple of Triumph,Gitaxian Probe,Sleight of Hand,Abrupt Decay,Oblivion Ring
25,Shadowmage Infiltrator,Mishra's Factory,Psychatog,Clifftop Retreat,Detention Sphere,Nature's Claim,Faerie Macabre,Seal of Cleansing
26,Chain of Vapor,Chalice of the Void,River of Tears,Skullcrack,Daze,Meditate,"Urborg, Tomb of Yawgmoth",Wipe Away
27,Phyrexian Negator,Mutavault,Underground River,Torch Fiend,Volcanic Island,Rude Awakening,Choke,Divert
28,"Elesh Norn, Grand Cenobite",Garruk Wildspeaker,Creeping Tar Pit,Relic of Progenitus,Hallowed Fountain,Personal Tutor,Overgrown Tomb,Misdirection
29,Rebound,Karn Liberated,Pact of Negation,Shattering Spree,Ray of Revelation,Echoing Truth,Green Sun's Zenith,Blue Elemental Blast
30,"Iona, Shield of Emeria",Sylvan Library,"Venser, Shaper Savant",Pyroblast,Red Elemental Blast,Bribery,Progenitus,Hydroblast
31,Ancestral Vision,Sundering Titan,"Teferi, Mage of ZHALFIR",Fireblast,Inkwell Leviathan,Oxidize,Krosan Grip,Tormod's Crypt
32,"Jace, Memory Adept",Palladium Myr,Upheaval,Spirit of the Labyrinth,Dissolve,Gigadrowse,Coffin Purge,Glacial Fortress
33,Dissipate,Treetop Village,Talisman of Dominance,Hellspark Elemental,Blind Obedience,Memory Lapse,"Thrun, the Last Troll",Dispel
34,Delay,Trinisphere,Dimir Signet,Lightning Helix,Mana Tithe,Repeal,Uktabi Orangutan,Talisman of Progress
35,Grave Titan,Solemn SImulacrum,Cabal Ritual,Boros Charm,Serum Visions,Seedtime,Twilight Mire,Sunken Ruins
36,Gainsay,Steel Hellkite,Darkwater Catacombs,Flame Javelin,Mystic Gate,Power Sink,Elves of Deep Shadow,Orzhov Signet
37,Bane of Progress,Umezawa's Jitte,Bloodghast,Flames of the Blood Hand,Pentad Prism,Cunning Wish,Tarmogoyf,Gifts Ungiven
38,Exhume,Phyrexian Metamorph,Dreadship Reef,Manic Vandal,Warmth,Blue Sun's Zenith,Woodland Cemetery,Fellwar Stone
39,Nightveil Specter,Crystal Vein,Grim Tutor,Disenchant,Ancient Grudge,Energy Field,Maelstrom Pulse,Chainer's Edict
40,Footsteps of the Goryo,Seal of Primordium,Volrath's stronghold,Serenity,City of Brass,Surgical Extraction,Chains of Mephistopheles,Shred Memory
41,Trickbind,Tree of Tales,Night's Whisper,Magus of the Moon,Buried Ruin,False Summoning,Noble Hierarch,Sphinx of the Steel wind
42,Shelldock Isle,Duplicant,Jwar Isle Refuge,Grim Lavamancer,Sejiri Refuge,Hurkyl's Recall,Dosan the Falling Leaf,Unburial Rites
43,Temple of Deceit,Tangle Wire,Unmask,Act of Aggression,fire // ice,Disrupting Shoal,Kitchen Finks,Dispeller's Capsule
44,Blazing Archon,Phyrexian Furnace,Undermine,Ankh of Mishra,Chromatic Star,Wall of Roots,Cabal Therapy,Riptide Laboratory
45,Distress,"Emrakul, the Aeons Torn","ashiok, nightmare weaver",Zealous Conscripts,Temple of Enlightenment,"Boseiju, Who Shelters All",Craterhoof Behemoth,Ravages of WAR
