,Ferg,Ryan,Daryl,Ian,Tony,Nick,Hymers,Travis
16,cursed totem,Ancient grudge,High tide,Forbidden orchard,Sensei's divining top,Eternal Scourge,Wheel of fortune,Divine Intervention
17,metalworker,Time spiral,Thieving skydiver,Deathrite shaman,Basalt Monolith,Walking Ballista,Dack fayden,"Sun Quan, Lord of Wu"
18,aether searcher,Gilded Lotus,Gilded Drake,Mishra's Factory,Power artifact,Capsize,Lotus Petal,Thirst
19,"emrakul, the promised end",Dimir signet,Commandeer,Thoughtseize,Mystic Forge,Hinder,flusterstorm,Animate Land
20,seat of the synod,Mission Briefing,Preordain,Overgrown tomb,Memory Jar,Serum visions,Bolas citadel,Freed from the Real
21,"Oko, thief of crowns",Vendilion Clique,Abjure,null rod,Forsaken Monument,Aetherflux Resevoir,gitaxian probe,Absorb Identity
22,mox amber,Underground sea,Sapphire Medallion,Bane of progress,Defense Grid,Hydroid Krasis,Bribery,Academy Rector
23,thopter foundry,Misty rainforest,Tormod's crypt,Bayou,Worldly Tutor,Disallow,Brain freeze,Mind Games
24,Inventor's Fair,Personal tutor,Annul,"Ruric Thar, the Unbowed",Sylvan Tutor,Gifts Ungiven,Steam Vents,Jolt
25,Krark-Clan Ironworks,Genesis wave,Prismatic Vista,sylvan library,"Ugin, the Ineffable","Skithiryx, the Blight Dragon",Badlands,Clever Impersonator
26,Whir of Invention,Pact of negation,Fabled Passage,Exhume,Breeding pool,Bloodstained Mire,Hallowed Fountain,Blight Widow
27,duplicant,Negate,Mindbreak trap,Leyline of the Void,glimmervoid,Repeal,Mind stone,Incremental Growth
28,Engineered Explosives,Taiga,Mystic Sanctuary,Veil of summer,Simic Signet,Sleight of Hand,Izzet signet,Wind Spirit
29,Talisman of Dominance,Arcane denial,Sphinx's Tutelage,Helm of Obedience,Talisman of Curiosity,Manamorphose,Underworld breach,Minister of Impediments
30,Drowned Catacomb,Tarmogoyf,Hedron Crab,Bazaar of Baghdad,Fellwar Stone,Past in Flames,windfall,Panoptic Mirror
31,Chalice of the Void,Demonfire,Ruin Crab,Thespian's Stage,Staff of Domination,Whirlpool Warrior,Demonic Consultation,Mesa Enchantress
32,platinum emperion,Plagiarize,"Jace, Memory Adept",Dark Depths,Void Winnower,Winds of Change,Frantic search,Oblivion Ring
33,welding jar,Wooded Foothills,Visions of Beyond,Animate dead,Wandering Archaic,Grapeshot,Chain of Vapor,Serra's Sanctum
34,Trinisphere,Azorius signet,Acid Rain,Abrupt decay,Paradox Engine,Stifle,Mox Tantalite,Void Slime
35,Sphere of Resistance,Coalition relic,Ravenous Trap,Buried alive,Thran Dynamo,Teferi's Puzzlebox,"Birgi, god of storytelling ",Sphere of Safety
36,Meteor Golem,Banefire,Sanity Grinding,Duress,"Ashiok, Dream Render","Leovold, Emissary of Trest",Wear/tear,Riding the Dilu Horse
37,Steel Hellkite,Glen Elendra Archmage,Reality Shift,Dark confidant,Candelabra of Tawnos,Hurkyll's Recall,Raugrin Triome,Birds of Paradise
38,Blast Zone,Noble hierarch,Opt,Mana Confluence,Vandalblast,City Of Brass,True name nemisis,Moat
39,Spine of Ish Sah,"Rofellos, Llanowar Emissary",Halimar depths,Wrenn and Six,Exploration,Gaea's Blessing,"Teferi, Time Raveler",Unyaro Bee Sting
40,Splinter Twin,Red elemental blast,Witchbane orb,Pyroblast,Manifold Key,Notion Thief,"Lutri, the Spellchaser",Hornet Sting
41,Zagoth Triome,Natural Order,Lonely sandbar,Grim tutor,Crop Rotation,Opposition Agent,Sullfur falls,Absorb
42,hope of ghirapur,Craterhoof Behemoth,Back to Basics,Stomping ground,In the Eye of Chaos,Laboratory Maniac,Shattering spree,Temporal Manipulation
43,soul guide lantern,Arbor elf,Archive trap,Dark petition,City of Solitude ,Fae of Wishes,Dockside extortionist,Herald of the Pantheon
44,dramatic reversal,Oracle of Mul Daya,Bruvac the Grandiloquent,collective brutality,Crawling Barrens,Ketria Triome,Swords to plowshears,Sterling Grove
45,necropede,Reclamation sage,Relic Golem,expedition map,Grafdigger's Cage,Misthollow Griffin,fallen shinobi,Jester's Cap
