A-High-Rise Sawjack,2022-04-29,G,3,{2}{G},Creature
A-Hobbling Zombie,2021-09-24,B,2,{1}{B},Creature
A-Imperial Subduer,2022-02-18,W,2,{1}{W},Creature
A-Incriminate,2022-04-29,B,1,{B},Sorcery
A-Iridescent Hornbeetle,2020-09-25,G,4,{3}{G},Creature
A-Jackhammer,2022-04-29,R,1,{R},Artifact
A-Jade Orb of Dragonkind,2022-07-07,G,3,{2}{G},Artifact
A-Kargan Intimidator,2020-09-25,R,2,{1}{R},Creature
A-Kargan Warleader,2020-09-25,RW,3,{1}{R}{W},Creature
"A-Karn, Living Legacy",2022-09-09,,4,{4},Planeswalker
A-Kenku Artificer,2022-07-07,U,3,{2}{U},Creature
A-Knockout Blow,2022-04-29,W,3,{2}{W},Instant
A-Krydle of Baldur's Gate,2021-07-23,BU,2,{U}{B},Creature
A-Lantern Bearer // A-Lanterns' Lift,2021-11-19,U,1,{U},Creature
A-Lantern of Revealing,2022-07-07,,3,{3},Artifact
A-Lapis Orb of Dragonkind,2022-07-07,U,3,{2}{U},Artifact
A-Leyline of Resonance,2024-09-27,R,4,{2}{R}{R},Enchantment
"A-Lier, Disciple of the Drowned",2021-09-24,U,5,{3}{U}{U},Creature
A-Llanowar Greenwidow,2022-09-09,G,3,{2}{G},Creature
A-Llanowar Loamspeaker,2022-09-09,G,2,{1}{G},Creature
A-Maelstrom Muse,2021-04-23,RU,3,{U}{U/R}{R},Creature
A-Manticore,2022-07-07,B,4,{3}{B},Creature
A-Masked Bandits,2022-04-29,BGR,6,{3}{B}{R}{G},Creature
A-Master of Winds,2020-09-25,U,4,{2}{U}{U},Creature
A-Mentor's Guidance,2021-04-23,U,2,{1}{U},Sorcery
A-Meria's Outrider,2022-09-09,R,5,{4}{R},Creature
A-Metropolis Angel,2022-04-29,UW,5,{3}{W}{U},Creature
A-Midnight Assassin,2022-04-29,B,3,{2}{B},Creature
A-Mightstone's Animation,2022-11-18,U,3,{2}{U},Enchantment
"A-Minsc & Boo, Timeless Heroes",2022-07-07,GR,5,{3}{R}{G},Planeswalker
A-Mischievous Catgeist // A-Catlike Curiosity,2021-11-19,U,2,{1}{U},Creature
"A-Mishra, Excavation Prodigy",2022-11-18,R,2,{1}{R},Creature
A-Moon-Circuit Hacker,2022-02-18,U,2,{1}{U},Enchantment;Creature
A-Moss-Pit Skeleton,2020-09-25,BG,2,{B}{G},Creature
A-Most Wanted,2022-04-29,G,3,{2}{G},Enchantment
"A-Mr. Orfeo, the Boulder",2022-04-29,BGR,4,{1}{B}{R}{G},Creature
"A-Nadu, Winged Wisdom",2024-06-14,GU,3,{1}{G}{U},Creature
"A-Nael, Avizoa Aeronaut",2022-09-09,GU,2,{G}{U},Creature
"A-Nahiri, Heir of the Ancients",2020-09-25,RW,4,{2}{R}{W},Planeswalker
"A-Narfi, Betrayer King",2021-02-05,BU,4,{2}{U}{B},Creature
"A-Nashi, Moon Sage's Scion",2022-02-18,B,3,{1}{B}{B},Creature
A-Navigation Orb,2022-07-07,,3,{3},Artifact
A-Nezumi Prowler,2022-02-18,B,2,{1}{B},Artifact;Creature
A-Ocelot Pride,2024-06-14,W,2,{1}{W},Creature
A-Ochre Jelly,2021-07-23,G,1,{X}{G},Creature
A-Ominous Parcel,2022-04-29,,1,{1},Artifact
"A-Omnath, Locus of Creation",2020-09-25,GRUW,5,{1}{R}{G}{W}{U},Creature
A-Oran-Rief Ooze,2020-09-25,G,3,{2}{G},Creature
A-Orcish Bowmasters,2023-06-23,B,2,{1}{B},Creature
A-Paragon of Modernity,2022-04-29,,4,{4},Artifact;Creature
A-Patrician Geist,2021-09-24,U,3,{2}{U},Creature
A-Peerless Samurai,2022-02-18,R,2,{1}{R},Creature
A-Phantom Carriage,2021-09-24,U,4,{2}{U}{U},Creature
"A-Phylath, World Sculptor",2020-09-25,GR,6,{4}{R}{G},Creature
A-Plate Armor,2021-07-23,W,2,{1}{W},Artifact
A-Precipitous Drop,2021-07-23,B,2,{1}{B},Enchantment
A-Prosperous Thief,2022-02-18,U,3,{2}{U},Creature
A-Pseudodragon Familiar,2022-07-07,U,3,{2}{U},Creature
A-Psionic Snoop,2022-04-29,U,3,{2}{U},Creature
A-Public Enemy,2022-04-29,U,3,{2}{U},Enchantment
A-Pyre-Sledge Arsonist,2022-04-29,R,3,{2}{R},Creature
"A-Queza, Augur of Agonies",2022-04-29,BUW,4,{1}{W}{U}{B},Creature
A-Radha's Firebrand,2022-09-09,R,2,{1}{R},Creature
"A-Radha, Coalition Warlord",2022-09-09,GR,3,{1}{R}{G},Creature
"A-Raiyuu, Storm's Edge",2022-02-18,RW,4,{2}{R}{W},Creature
A-Rakish Revelers,2022-04-29,GRW,5,{2}{R}{G}{W},Creature
A-Ready to Rumble,2022-04-29,R,5,{4}{R},Instant
A-Return Upon the Tide,2021-02-05,B,5,{4}{B},Sorcery
A-Revel Ruiner,2022-04-29,B,4,{3}{B},Creature
A-Riveteers Initiate,2022-04-29,BGR,2,{1}{R},Creature
A-Rockslide Sorcerer,2020-09-25,R,3,{2}{R},Creature
"A-Rowan, Scholar of Sparks // A-Will, Scholar of Frost",2021-04-23,RU,3,{2}{R},Planeswalker
"A-Rulik Mons, Warren Chief",2022-09-09,GR,4,{1}{R}{G}{G},Creature
"A-Saheeli, Filigree Master",2022-11-18,RU,4,{2}{U}{R},Planeswalker
A-Satoru Umezawa,2022-02-18,BU,3,{1}{U}{B},Creature
A-Scout the Wilderness,2022-09-09,GW,3,{2}{G},Sorcery
A-Security Rhox,2022-04-29,GR,4,{2}{R}{G},Creature
A-Sepulcher Ghoul,2021-07-23,B,2,{1}{B},Creature
A-Sewer Crocodile,2022-04-29,U,6,{5}{U},Creature
A-Shattered Seraph,2022-04-29,BUW,7,{4}{W}{U}{B},Creature
"A-Shessra, Death's Whisper",2021-07-23,BG,3,{1}{B}{G},Creature
A-Shipwreck Sifters,2021-09-24,U,2,{1}{U},Creature
A-Sigardian Paladin,2021-11-19,GW,3,{1}{G}{W},Creature
A-Sigil of Myrkul,2022-07-07,B,2,{1}{B},Enchantment
A-Silver-Fur Master,2022-02-18,BU,2,{U}{B},Creature
A-Sizzling Soloist,2022-04-29,R,4,{3}{R},Creature
A-Skemfar Avenger,2021-02-05,B,2,{1}{B},Creature
A-Skemfar Elderhall,2021-02-05,BG,0,,Land
A-Skull Skaab,2021-11-19,BU,2,{U}{B},Creature
A-Skyclave Shadowcat,2020-09-25,B,3,{2}{B},Creature
A-Social Climber,2022-04-29,G,3,{2}{G},Creature
A-Sorcerer Class,2021-07-23,RU,2,{U}{R},Enchantment
A-Soul of Windgrace,2022-09-09,BGR,4,{1}{B}{R}{G},Creature
A-Spara's Adjudicators,2022-04-29,GUW,5,{2}{G}{W}{U},Creature
A-Speakeasy Server,2022-04-29,W,5,{4}{W},Creature
A-Spell Satchel,2021-04-23,,2,{2},Artifact
A-Split the Spoils,2022-07-07,G,2,{1}{G},Sorcery
A-Splitting the Powerstone,2022-11-18,U,3,{2}{U},Instant
A-Sprouting Goblin,2022-09-09,GR,2,{1}{R},Creature
A-Steadfast Unicorn,2022-07-07,W,1,{W},Creature
A-Stimulus Package,2022-04-29,GR,4,{2}{R}{G},Enchantment
A-Stitched Assistant,2021-11-19,U,2,{1}{U},Creature
A-Sunbathing Rootwalla,2022-09-09,G,2,{1}{G},Creature
A-Symmetry Sage,2021-04-23,U,1,{U},Creature
A-Syndicate Infiltrator,2022-04-29,BU,4,{2}{U}{B},Creature
A-Tanazir Quandrix,2021-04-23,GU,5,{3}{G}{U},Creature
"A-Tatyova, Steward of Tides",2022-09-09,GU,3,{G}{G}{U},Creature
"A-Teferi, Time Raveler",2019-05-03,UW,4,{2}{W}{U},Planeswalker
A-Tenured Inkcaster,2021-04-23,B,4,{3}{B},Creature
A-The Meathook Massacre,2021-09-24,B,2,{X}{B}{B},Enchantment
A-The One Ring,2023-06-23,,4,{4},Artifact
A-Thornmantle Striker,2021-02-05,B,4,{3}{B},Creature
A-Thousand-Faced Shadow,2022-02-18,U,1,{U},Creature
A-Thran Portal,2022-09-09,,0,,Land
A-Thran Spider,2022-11-18,,3,{3},Artifact;Creature
A-Tome Shredder,2021-04-23,R,2,{1}{R},Creature
A-Triumphant Adventurer,2021-07-23,BW,2,{W}{B},Creature
A-Tyvar Kell,2021-02-05,BG,4,{2}{G}{G},Planeswalker
A-Umara Mystic,2020-09-25,RU,3,{1}{U}{R},Creature
A-Unholy Heat,2021-06-18,R,1,{R},Instant
A-Urza's Command,2022-11-18,U,4,{2}{U}{U},Instant
"A-Urza, Powerstone Prodigy",2022-11-18,U,2,{1}{U},Creature
"A-Uurg, Spawn of Turg",2022-09-09,BG,3,{B}{B}{G},Creature
A-Vampire Scrivener,2022-04-29,B,4,{3}{B},Creature
"A-Vega, the Watcher",2021-02-05,UW,3,{1}{W}{U},Creature
A-Visions of Phyrexia,2022-11-18,R,4,{2}{R}{R},Enchantment
A-Warm Welcome,2022-04-29,G,4,{3}{G},Sorcery
"A-Winota, Joiner of Forces",2020-04-24,RW,4,{2}{R}{W},Creature
A-Wizard Class,2021-07-23,U,1,{U},Enchantment
A-You Come to a River,2022-07-07,U,3,{2}{U},Sorcery
A-Young Blue Dragon // A-Sand Augury,2022-07-07,U,5,{4}{U},Creature
A-Young Red Dragon // A-Bathe in Gold,2022-07-07,R,4,{3}{R},Creature
"A-Zar Ojanen, Scion of Efrava",2022-09-09,GW,5,{3}{G}{W},Creature
AWOL,2004-11-19,W,3,{2}{W},Instant
Aarakocra Sneak,2022-06-10,U,4,{3}{U},Creature
Aardwolf's Advantage,2022-10-07,R,3,{2}{R},Sorcery
"Aatchik, Emerald Radian",2025-02-14,BG,6,{3}{B}{B}{G},Creature
Abaddon the Despoiler,2022-10-07,BRU,5,{2}{U}{B}{R},Creature
Abandon Hope,1997-10-14,B,2,{X}{1}{B},Sorcery
Abandon Reason,2016-07-22,R,3,{2}{R},Instant
Abandon the Post,2021-09-24,R,2,{1}{R},Sorcery
Abandoned Campground,2024-09-27,UW,0,,Land
Abandoned Outpost,2001-10-01,W,0,,Land
Abandoned Sarcophagus,2017-07-14,,3,{3},Artifact
Abattoir Ghoul,2011-09-30,B,4,{3}{B},Creature
Abbey Gargoyles,1995-10-01,W,5,{2}{W}{W}{W},Creature
Abbey Griffin,2011-09-30,W,4,{3}{W},Creature
Abbey Matron,1995-10-01,W,3,{2}{W},Creature
Abbot of Keral Keep,2015-07-17,R,2,{1}{R},Creature
Abbot of the Sacred Meeple,2024-08-02,W,2,{1}{W},Creature
"Abdel Adrian, Gorion's Ward",2022-06-10,W,5,{4}{W},Creature
Abduction,1997-06-09,U,4,{2}{U}{U},Enchantment
Aberrant,2022-10-07,G,2,{X}{1}{G},Creature
Aberrant Mind Sorcerer,2021-07-23,U,5,{4}{U},Creature
Aberrant Researcher // Perfected Form,2016-04-08,U,4,{3}{U},Creature
Abeyance,1997-06-09,W,2,{1}{W},Instant
Abhorrent Oculus,2024-09-27,U,3,{2}{U},Creature
Abhorrent Overlord,2013-09-27,B,7,{5}{B}{B},Creature
"Abian, Luvion Usurper",2019-11-07,GR,7,{5}{R}{G},Planeswalker
Abiding Grace,2021-06-18,W,3,{2}{W},Enchantment
Abjure,1997-06-09,U,1,{U},Instant
Abnormal Endurance,2018-07-13,B,2,{1}{B},Instant
Aboleth Spawn,2022-06-10,U,3,{2}{U},Creature
Abolish,2000-06-05,W,3,{1}{W}{W},Instant
Abominable Treefolk,2019-06-14,GU,4,{2}{G}{U},Creature
Abomination,1994-06-01,B,5,{3}{B}{B},Creature
Abomination of Gudul,2014-09-26,BGU,6,{3}{B}{G}{U},Creature
Abomination of Llanowar,2020-11-20,BG,3,{1}{B}{G},Creature
Aboroth,1997-06-09,G,6,{4}{G}{G},Creature
Aboshan's Desire,2001-10-01,U,1,{U},Enchantment
"Aboshan, Cephalid Emperor",2001-10-01,U,6,{4}{U}{U},Creature
About Face,1999-02-15,R,1,{R},Instant
Abrade,2017-07-14,R,2,{1}{R},Instant
Abraded Bluffs,2024-04-19,RW,0,,Land
Abrupt Decay,2012-10-05,BG,2,{B}{G},Instant
Absolute Grace,1998-10-12,W,2,{1}{W},Enchantment
Absolute Law,1998-10-12,W,2,{1}{W},Enchantment
Absolver Thrull,2006-02-03,W,4,{3}{W},Creature
Absolving Lammasu,2024-02-09,W,5,{4}{W},Creature
Absorb,2000-10-02,UW,3,{W}{U}{U},Instant
Absorb Energy,2021-12-09,U,3,{1}{U}{U},Instant
Absorb Identity,2021-02-05,U,2,{1}{U},Instant
Absorb Vis,2009-02-06,B,7,{6}{B},Sorcery
Abstergo Entertainment,2024-07-05,,0,,Land
Abstract Iguanart,2020-02-29,R,2,{1}{R},Creature
Abstruse Appropriation,2024-06-14,BW,4,{2}{W}{B},Instant
Abstruse Archaic,2023-08-04,,4,{4},Creature
Abstruse Interference,2016-01-22,U,3,{2}{U},Instant
Abu Ja'far,1993-12-17,W,1,{W},Creature
Abuelo's Awakening,2023-11-17,W,4,{X}{3}{W},Sorcery
"Abuelo, Ancestral Echo",2023-11-17,UW,3,{1}{W}{U},Creature
Abuna Acolyte,2010-10-01,W,2,{1}{W},Creature
Abuna's Chant,2004-06-04,W,4,{3}{W},Instant
Abundance,1998-10-12,G,4,{2}{G}{G},Enchantment
Abundant Growth,2012-05-04,G,1,{G},Enchantment
Abundant Harvest,2021-06-18,G,1,{G},Sorcery
Abundant Maw,2016-07-22,B,8,{8},Creature
Abyssal Gatekeeper,1997-06-09,B,2,{1}{B},Creature
Abyssal Gorestalker,2023-11-17,B,6,{4}{B}{B},Creature
Abyssal Harvester,2024-11-15,B,3,{1}{B}{B},Creature
Abyssal Horror,1998-10-12,B,6,{4}{B}{B},Creature
Abyssal Hunter,1996-10-08,B,4,{3}{B},Creature
Abyssal Nightstalker,1998-06-24,B,4,{3}{B},Creature
Abyssal Nocturnus,2006-02-03,B,3,{1}{B}{B},Creature
Abyssal Persecutor,2010-02-05,B,4,{2}{B}{B},Creature
Abyssal Specter,1995-06-03,B,4,{2}{B}{B},Creature
Abzan Advantage,2015-01-23,W,2,{1}{W},Instant
Abzan Ascendancy,2014-09-26,BGW,3,{W}{B}{G},Enchantment
Abzan Banner,2014-09-26,BGW,3,{3},Artifact
Abzan Battle Priest,2014-09-26,W,4,{3}{W},Creature
Abzan Beastmaster,2015-01-23,G,3,{2}{G},Creature
Abzan Charm,2014-09-26,BGW,3,{W}{B}{G},Instant
Abzan Falconer,2014-09-26,W,3,{2}{W},Creature
Abzan Guide,2014-09-26,BGW,6,{3}{W}{B}{G},Creature
Abzan Kin-Guard,2015-01-23,G,4,{3}{G},Creature
Abzan Runemark,2015-01-23,W,3,{2}{W},Enchantment
Abzan Skycaptain,2015-01-23,W,4,{3}{W},Creature
Academic Dispute,2021-04-23,R,1,{R},Instant
Academic Probation,2021-04-23,W,2,{1}{W},Sorcery
Academy Drake,2018-04-27,U,3,{2}{U},Creature
Academy Elite,2014-06-06,U,4,{3}{U},Creature
Academy Journeymage,2018-04-27,U,5,{4}{U},Creature
Academy Loremaster,2022-09-09,U,2,{U}{U},Creature
Academy Manufactor,2021-06-18,,3,{3},Artifact;Creature
Academy Raider,2013-07-19,R,3,{2}{R},Creature
Academy Rector,1999-06-07,W,4,{3}{W},Creature
Academy Researchers,1998-10-12,U,3,{1}{U}{U},Creature
Academy Ruins,2006-10-06,U,0,,Land
Academy Wall,2022-09-09,U,3,{2}{U},Creature
Academy at Tolaria West,2009-09-04,,0,,Plane
Accelerate,2002-02-04,R,2,{1}{R},Instant
Accelerated Mutation,2003-05-26,G,5,{3}{G}{G},Instant
Acceptable Losses,2001-10-01,R,4,{3}{R},Sorcery
Access Denied,2022-02-18,U,5,{3}{U}{U},Instant
Access Tunnel,2021-04-23,,0,,Land
Accessories to Murder,2017-12-08,,0,,Artifact
Accident-Prone Apprentice // Amphibian Accident,2023-10-10,RU,2,{1}{R},Creature
Acclaimed Contender,2019-10-04,W,3,{2}{W},Creature
Accomplished Alchemist,2021-04-23,G,4,{3}{G},Creature
Accomplished Automaton,2016-09-30,,7,{7},Artifact;Creature
Accorder Paladin,2011-02-04,W,2,{1}{W},Creature
Accorder's Shield,2010-10-01,,0,{0},Artifact
Accumulated Knowledge,2000-02-14,U,2,{1}{U},Instant
Accursed Centaur,2002-10-07,B,1,{B},Creature
Accursed Duneyard,2025-02-14,,0,,Land
Accursed Horde,2017-07-14,B,4,{3}{B},Creature
Accursed Marauder,2024-06-14,B,2,{1}{B},Creature
Accursed Spirit,2013-07-19,B,4,{3}{B},Creature
Accursed Witch // Infectious Curse,2016-04-08,B,4,{3}{B},Creature
Ace Flockbringer,2024-08-20,UW,3,{1}{W}{U},Creature
Ace's Baseball Bat,2023-10-13,,2,{2},Artifact
"Ace, Fearless Rebel",2023-10-13,G,4,{3}{G},Creature
Acererak the Archlich,2021-07-23,B,3,{2}{B},Creature
Achilles Davenport,2024-07-05,BU,4,{2}{U}{B},Creature
Acid Rain,1994-06-01,U,4,{3}{U},Sorcery
Acid Web Spider,2010-10-01,G,5,{3}{G}{G},Creature
Acid-Spewer Dragon,2015-03-27,B,6,{5}{B},Creature
Acidic Dagger,1996-10-08,,4,{4},Artifact
Acidic Slime,2009-07-17,G,5,{3}{G}{G},Creature
Acidic Sliver,1998-03-02,BR,2,{B}{R},Creature
Acidic Soil,1998-10-12,R,3,{2}{R},Sorcery
"Aclazotz, Deepest Betrayal // Temple of the Dead",2023-11-17,B,5,{3}{B}{B},Creature
Acolyte Hybrid,2022-10-07,R,3,{2}{R},Creature
Acolyte of Aclazotz,2023-11-17,B,3,{2}{B},Creature
Acolyte of Affliction,2020-01-24,BG,4,{2}{B}{G},Creature
Acolyte of Bahamut,2022-06-10,G,2,{1}{G},Enchantment
Acolyte of Xathrid,2009-07-17,B,1,{B},Creature
Acolyte of the Inferno,2015-07-17,R,3,{2}{R},Creature
Acolyte's Reward,2014-02-07,W,2,{1}{W},Instant
Acorn Catapult,2011-06-17,,4,{4},Artifact
Acorn Harvest,2002-02-04,G,4,{3}{G},Sorcery
"Acornelia, Fashionable Filcher",2020-02-29,BG,4,{3}{B},Creature
Acquire,2004-06-04,U,5,{3}{U}{U},Sorcery
Acquired Mutation,2024-03-08,R,3,{2}{R},Enchantment
Acquisition Octopus,2022-02-18,U,3,{2}{U},Artifact;Creature
Acquisitions Expert,2020-09-25,B,2,{1}{B},Creature
Acridian,1998-10-12,G,2,{1}{G},Creature
Acrobatic Cheerleader,2024-09-27,W,2,{1}{W},Creature
Acrobatic Leap,2023-11-17,W,1,{W},Instant
Acrobatic Maneuver,2016-09-30,W,3,{2}{W},Instant
Across the Multiverse,2023-02-15,R,3,{2}{R},Enchantment
Act of Aggression,2011-05-13,R,5,{3}{R/P}{R/P},Instant
Act of Authority,2013-11-01,W,3,{1}{W}{W},Enchantment
Act of Heroism,2017-07-14,W,2,{1}{W},Instant
Act of Treason,2009-07-17,R,3,{2}{R},Sorcery
Act on Impulse,2014-07-18,R,3,{2}{R},Sorcery
Activated Sleeper,2022-09-09,B,3,{2}{B},Creature
Active Volcano,1994-06-01,R,1,{R},Instant
Ad Nauseam,2008-10-03,B,5,{3}{B}{B},Instant
Adamant Will,2018-04-27,W,2,{1}{W},Instant
"Adamaro, First to Desire",2005-06-03,R,3,{1}{R}{R},Creature
Adanto Vanguard,2017-09-29,W,2,{1}{W},Creature
Adaptive Automaton,2011-07-15,,3,{3},Artifact;Creature
Adaptive Gemguard,2023-11-17,W,4,{3}{W},Artifact;Creature
Adaptive Omnitool,2025-02-14,,2,{2},Artifact
Adaptive Shimmerer,2020-04-24,,5,{5},Creature
Adaptive Snapjaw,2013-02-01,G,5,{4}{G},Creature
Adaptive Sporesinger,2023-02-03,G,3,{2}{G},Creature
Adarkar Sentinel,1995-06-03,,5,{5},Artifact;Creature
Adarkar Unicorn,1995-06-03,UW,3,{1}{W}{W},Creature
Adarkar Valkyrie,2006-07-21,W,6,{4}{W}{W},Creature
Adarkar Wastes,1995-06-03,UW,0,,Land
Adarkar Windform,2006-07-21,U,5,{4}{U},Creature
Adder-Staff Boggart,2007-10-12,R,2,{1}{R},Creature
Addle,2000-10-02,B,2,{1}{B},Sorcery
"Adeline, Resplendent Cathar",2021-09-24,W,3,{1}{W}{W},Creature
"Adeliz, the Cinder Wind",2018-04-27,RU,3,{1}{U}{R},Creature
Adherent of Hope,2020-07-03,W,2,{1}{W},Creature
Adipose Offspring,2023-10-13,W,4,{3}{W},Creature
Admiral Beckett Brass,2017-09-29,BRU,4,{1}{U}{B}{R},Creature
"Admiral Brass, Unsinkable",2023-11-17,BRU,5,{2}{U}{B}{R},Creature
Admiral's Order,2018-01-19,U,3,{1}{U}{U},Instant
